"GEOID","race","race_pop","tot_pop"
"06063000100","White",4428,5446
"06063000100","Black",130,5446
"06063000100","AI/AN",69,5446
"06063000100","Asian",40,5446
"06063000100","NH/PI",0,5446
"06063000100","Other",94,5446
"06063000100","Multi-Race",141,5446
"06063000100","Latino",544,5446
"06063000201","White",1263,1359
"06063000201","Black",0,1359
"06063000201","AI/AN",0,1359
"06063000201","Asian",13,1359
"06063000201","NH/PI",0,1359
"06063000201","Other",0,1359
"06063000201","Multi-Race",0,1359
"06063000201","Latino",83,1359
"06063000202","White",1081,1142
"06063000202","Black",6,1142
"06063000202","AI/AN",0,1142
"06063000202","Asian",20,1142
"06063000202","NH/PI",0,1142
"06063000202","Other",0,1142
"06063000202","Multi-Race",0,1142
"06063000202","Latino",35,1142
"06063000300","White",3635,4409
"06063000300","Black",5,4409
"06063000300","AI/AN",96,4409
"06063000300","Asian",43,4409
"06063000300","NH/PI",45,4409
"06063000300","Other",0,4409
"06063000300","Multi-Race",146,4409
"06063000300","Latino",439,4409
"06063000400","White",1827,2510
"06063000400","Black",0,2510
"06063000400","AI/AN",99,2510
"06063000400","Asian",92,2510
"06063000400","NH/PI",41,2510
"06063000400","Other",0,2510
"06063000400","Multi-Race",336,2510
"06063000400","Latino",115,2510
"06063000501","White",1835,2145
"06063000501","Black",0,2145
"06063000501","AI/AN",0,2145
"06063000501","Asian",4,2145
"06063000501","NH/PI",0,2145
"06063000501","Other",0,2145
"06063000501","Multi-Race",26,2145
"06063000501","Latino",280,2145
"06063000502","White",1445,1649
"06063000502","Black",0,1649
"06063000502","AI/AN",4,1649
"06063000502","Asian",0,1649
"06063000502","NH/PI",0,1649
"06063000502","Other",0,1649
"06063000502","Multi-Race",26,1649
"06063000502","Latino",174,1649
