fips,year,sex,race7,agerc,perwt
6097,2017,MALE,2,111,0
6097,2020,FEMALE,5,114,0
6097,2022,MALE,3,113,0
6097,2022,FEMALE,6,100,0
6097,2024,FEMALE,2,102,0
6097,2019,FEMALE,5,115,0
6097,2025,MALE,6,92,0
6097,2024,MALE,1,108,0
6097,2023,FEMALE,1,106,0
6097,2019,FEMALE,6,100,0
6097,2025,FEMALE,7,114,0
6097,2024,MALE,7,111,0
6097,2019,MALE,5,97,0
6097,2023,FEMALE,7,107,0
6097,2022,MALE,2,106,0
6097,2024,FEMALE,5,102,0
6097,2018,MALE,6,91,0
6097,2023,FEMALE,5,103,0
6097,2019,FEMALE,3,114,0
6097,2020,FEMALE,1,103,0
6097,2023,MALE,3,103,0
6097,2018,FEMALE,6,108,0
6097,2020,MALE,7,106,0
6097,2021,MALE,5,114,0
6097,2019,MALE,4,103,0
6097,2019,MALE,6,86,0
6097,2015,MALE,4,92,0
6097,2016,MALE,5,92,0
6097,2023,MALE,6,102,0
6097,2023,FEMALE,2,105,0
6097,2022,FEMALE,2,106,0
6097,2020,MALE,3,104,0
6097,2016,FEMALE,4,115,0
6097,2022,MALE,7,102,0
6097,2022,MALE,4,105,0
6097,2022,FEMALE,5,111,0
6097,2021,MALE,5,100,0
6097,2023,FEMALE,7,108,0
6097,2021,MALE,6,113,0
6097,2021,MALE,3,113,0
6097,2023,MALE,3,101,0
6097,2023,FEMALE,3,106,0
6097,2024,FEMALE,2,101,0
6097,2023,FEMALE,1,112,0
6097,2024,MALE,4,108,0
6097,2019,FEMALE,2,111,0
6097,2016,FEMALE,2,103,0
6097,2017,FEMALE,6,115,0
6097,2024,FEMALE,3,103,0
6097,2017,FEMALE,7,113,0
6097,2025,MALE,2,104,0
6097,2018,MALE,4,95,0
6097,2022,FEMALE,5,102,0
6097,2021,FEMALE,4,101,0
6097,2016,MALE,5,112,0
6097,2025,FEMALE,3,110,0
6097,2019,MALE,5,109,0
6097,2022,FEMALE,6,107,0
6097,2022,FEMALE,5,100,0
6097,2019,FEMALE,3,104,0
6097,2025,MALE,4,112,0
6097,2022,FEMALE,3,106,0
6097,2017,MALE,6,96,0
6097,2017,FEMALE,6,110,0
6097,2021,MALE,1,104,0
6097,2017,FEMALE,2,105,0
6097,2019,MALE,5,84,0
6097,2018,MALE,7,103,0
6097,2024,MALE,5,77,0
6097,2015,MALE,4,99,0
6097,2024,FEMALE,5,109,0
6097,2024,MALE,2,103,0
6097,2024,FEMALE,5,112,0
6097,2021,FEMALE,2,115,0
6097,2025,FEMALE,3,104,0
6097,2019,FEMALE,3,103,0
6097,2023,MALE,1,115,0
6097,2024,MALE,6,115,0
6097,2016,MALE,6,113,0
6097,2015,FEMALE,2,113,0
6097,2020,FEMALE,6,112,0
6097,2015,FEMALE,5,98,0
6097,2021,MALE,5,101,0
6097,2020,MALE,2,95,0
6097,2022,MALE,6,114,0
6097,2018,MALE,5,110,0
6097,2021,FEMALE,2,105,0
6097,2022,MALE,1,103,0
6097,2016,FEMALE,3,99,0
6097,2025,FEMALE,3,111,0
6097,2017,FEMALE,2,106,0
6097,2015,FEMALE,3,114,0
6097,2017,FEMALE,7,100,0
6097,2019,MALE,5,96,0
6097,2019,FEMALE,6,104,0
6097,2018,FEMALE,3,105,0
6097,2023,MALE,5,86,0
6097,2024,MALE,5,84,0
6097,2022,FEMALE,3,107,0
6097,2021,FEMALE,1,108,0
6097,2020,MALE,5,101,0
6097,2023,MALE,4,107,0
6097,2021,MALE,3,97,0
6097,2018,MALE,4,103,0
6097,2015,MALE,5,114,0
6097,2025,FEMALE,3,112,0
6097,2024,MALE,7,104,0
6097,2020,MALE,4,104,0
6097,2021,MALE,4,95,0
6097,2017,FEMALE,3,112,0
6097,2025,MALE,2,96,0
6097,2020,FEMALE,7,105,0
6097,2025,FEMALE,6,111,0
6097,2019,MALE,4,113,0
6097,2023,FEMALE,1,108,0
6097,2015,FEMALE,4,107,0
6097,2024,FEMALE,5,101,0
6097,2023,MALE,3,100,0
6097,2024,FEMALE,2,104,0
6097,2020,MALE,1,102,0
6097,2022,MALE,3,99,0
6097,2019,MALE,4,107,0
6097,2021,MALE,7,107,0
6097,2024,MALE,3,114,0
6097,2019,FEMALE,2,113,0
6097,2025,MALE,2,109,0
6097,2023,FEMALE,4,113,0
6097,2021,FEMALE,2,106,0
6097,2020,FEMALE,7,114,0
6097,2019,FEMALE,7,105,0
6097,2021,MALE,5,105,0
6097,2016,MALE,2,108,0
6097,2021,FEMALE,2,97,0
6097,2018,MALE,1,101,0
6097,2019,MALE,7,109,0
6097,2021,FEMALE,3,107,0
6097,2021,FEMALE,3,112,0
6097,2020,FEMALE,4,105,0
6097,2016,MALE,5,113,0
6097,2025,MALE,2,112,0
6097,2016,FEMALE,4,97,0
6097,2021,MALE,5,103,0
6097,2025,FEMALE,2,109,0
6097,2015,MALE,5,99,0
6097,2015,FEMALE,5,100,0
6097,2020,FEMALE,4,104,0
6097,2018,FEMALE,6,105,0
6097,2024,MALE,3,87,0
6097,2020,FEMALE,2,101,0
6097,2015,FEMALE,6,106,0
6097,2017,MALE,3,112,0
6097,2016,MALE,3,102,0
6097,2025,FEMALE,6,102,0
6097,2017,FEMALE,3,107,0
6097,2025,MALE,2,111,0
6097,2023,MALE,5,105,0
6097,2024,MALE,3,106,0
6097,2018,FEMALE,2,112,0
6097,2020,FEMALE,6,85,0
6097,2025,MALE,5,101,0
6097,2019,MALE,1,106,0
6097,2018,MALE,5,107,0
6097,2020,MALE,5,85,0
6097,2024,FEMALE,5,113,0
6097,2019,FEMALE,5,109,0
6097,2024,MALE,7,103,0
6097,2019,FEMALE,7,107,0
6097,2024,MALE,1,111,0
6097,2017,FEMALE,6,107,0
6097,2023,MALE,2,98,0
6097,2021,MALE,5,106,0
6097,2015,MALE,2,105,0
6097,2020,MALE,5,92,0
6097,2015,FEMALE,1,113,0
6097,2020,MALE,3,107,0
6097,2017,MALE,6,93,0
6097,2019,FEMALE,6,103,0
6097,2019,MALE,5,95,0
6097,2025,MALE,6,103,0
6097,2019,MALE,6,94,0
6097,2019,FEMALE,6,108,0
6097,2024,MALE,2,110,0
6097,2021,MALE,5,96,0
6097,2019,MALE,1,100,0
6097,2015,FEMALE,5,106,0
6097,2024,MALE,5,91,0
6097,2021,MALE,4,108,0
6097,2022,MALE,1,106,0
6097,2020,FEMALE,2,112,0
6097,2022,MALE,5,109,0
6097,2018,FEMALE,4,102,0
6097,2019,FEMALE,3,99,0
6097,2015,MALE,7,112,0
