year,lev2,ICD10,nDeath,,,
2018,A99,A020,1,,,
2018,A99,A021,5,,,
2018,A99,A029,1,,,
2018,A99,A047,611,A04.7,Enterocolitis due to Clostridium difficile,
2018,A99,A048,6,,,
2018,A99,A049,2,,,
2018,A99,A081,3,,,
2018,A99,A084,9,,,
2018,A99,A090,50,,,
2018,A99,A099,148,A09.9,"There is not this code in ICD10 site, but we have this in mortality data",diarrhea_other
2018,A99,A269,2,,,
2018,A99,A280,3,,,
2018,A99,A310,24,,,
2018,A99,A319,1,,,
2018,A99,A321,1,,,
2018,A99,A327,3,,,
2018,A99,A328,1,,,
2018,A99,A379,1,,,
2018,A99,A400,4,,,
2018,A99,A401,3,,,
2018,A99,A402,4,,,
2018,A99,A403,11,,,
2018,A99,A408,1,,,
2018,A99,A409,20,,,
2018,A99,A410,56,,,
2018,A99,A411,1,,,
2018,A99,A412,19,,,
2018,A99,A413,2,,,
2018,A99,A414,10,,,
2018,A99,A415,93,,,
2018,A99,A418,3,,,
2018,A99,A419,1361,A41.9,"Sepsis, unspecified organism",_gc
2018,A99,A430,4,,,
2018,A99,A439,3,,,
2018,A99,A480,1,,,
2018,A99,A481,14,,,
2018,A99,A483,2,,,
2018,A99,A490,45,,,
2018,A99,A491,25,,,
2018,A99,A492,2,,,
2018,A99,A498,26,,,
2018,A99,A499,31,,,
2018,A99,A810,50,,,
2018,A99,A811,1,,,
2018,A99,A812,5,,,
2018,A99,A819,3,,,
2018,A99,A879,3,,,
2018,A99,A923,12,,,
2018,A99,A985,1,,,
2018,A99,B003,2,,,
2018,A99,B004,20,,,
2018,A99,B007,2,,,
2018,A99,B008,2,,,
2018,A99,B009,3,,,
2018,A99,B011,1,,,
2018,A99,B020,7,,,
2018,A99,B022,1,,,
2018,A99,B023,2,,,
2018,A99,B027,1,,,
2018,A99,B029,4,,,
2018,A99,B250,6,,,
2018,A99,B258,1,,,
2018,A99,B259,7,,,
2018,A99,B270,5,,,
2018,A99,B279,1,,,
2018,A99,B332,5,,,
2018,A99,B333,1,,,
2018,A99,B334,1,,,
2018,A99,B340,1,,,
2018,A99,B341,4,,,
2018,A99,B342,10,,,
2018,A99,B343,1,,,
2018,A99,B348,75,,,
2018,A99,B349,15,,,
2018,A99,B371,1,,,
2018,A99,B374,2,,,
2018,A99,B375,1,,,
2018,A99,B377,12,,,
2018,A99,B378,2,,,
2018,A99,B379,1,,,
2018,A99,B380,4,,,
2018,A99,B382,29,,,
2018,A99,B384,9,,,
2018,A99,B387,19,,,
2018,A99,B389,16,,,
2018,A99,B399,2,,,
2018,A99,B440,1,,,
2018,A99,B441,29,,,
2018,A99,B447,2,,,
2018,A99,B449,9,,,
2018,A99,B450,2,,,
2018,A99,B451,9,,,
2018,A99,B457,7,,,
2018,A99,B459,2,,,
2018,A99,B460,4,,,
2018,A99,B461,2,,,
2018,A99,B465,6,,,
2018,A99,B479,1,,,
2018,A99,B488,1,,,
2018,A99,B49,33,,,
2018,A99,B509,1,,,
2018,A99,B59,20,,,
2018,A99,B602,1,,,
2018,A99,B679,1,,,
2018,A99,B690,1,,,
2018,A99,B787,1,,,
2018,A99,B811,1,,,
2018,A99,B909,5,,,
2018,A99,B91,13,,,
2018,A99,B942,11,,,
2018,A99,B948,56,,,
2018,A99,B99,15,,,
2018,A99,D500,5,,,
2018,A99,D508,2,,,
2018,A99,D509,4,,,
2018,A99,D510,4,,,
2018,A99,D519,1,,,
2018,A99,D529,1,,,
2018,A99,D531,1,,,
2018,A99,D539,2,,,
2018,A99,D649,150,D64.9,"Anemia, unspecified",
2018,A99,E41,3,,,
2018,A99,E43,390,E43.0,,nutrition_pem
2018,A99,E440,10,,,
2018,A99,E441,4,,,
2018,A99,E45,6,,,
2018,A99,E46,226,E46,Unspecified protein-calorie malnutrition,nutrition_pem
2018,A99,E512,7,,,
2018,A99,E611,2,,,
2018,A99,E639,3,,,
2018,A99,E640,2,,,
2018,A99,G14,23,,,
2018,A99,M726,69,,,
