sex,ageG,rate_Asian-NH,rate_Black-NH,rate_Hisp,rate_NHPI-NH,rate_White-NH,Ndeaths_Asian-NH,Ndeaths_Black-NH,Ndeaths_Hisp,Ndeaths_NHPI-NH,Ndeaths_White-NH,pop_Asian-NH,pop_Black-NH,pop_Hisp,pop_NHPI-NH,pop_White-NH
Male, 0 - 4,78.03143711159066,205.75126555378563,102.06226862217392,125.55633807989338,84.24913963681217,352,398,1990,17,893,451100.23989,193437.449305,1949790.09076,13539.738622500001,1059951.477071
Male,15 - 24,46.40412411170724,150.5801853882501,80.62950632306116,109.05867862646278,74.63293622219106,445,766,3309,36,1835,958966.489549,508699.068224,4103956.6666099997,33009.75259686,2458699.996121
Male,25 - 34,66.33794904873805,230.41195140019272,117.59706944532452,137.75889434271903,141.52121512476373,713,1221,4640,53,4015,1074799.583382,529920.428424,3945676.5563,38473.0149388,2837030.473813
Male,35 - 44,97.57273065223059,340.41991239016164,161.3295248482273,313.6226793501527,185.07247251895436,1091,1475,5485,100,5131,1118140.2761889999,433288.402445,3399873.64691,31885.44916688,2772427.433515
Male,45 - 54,221.39683154812232,664.8167861452656,330.5970322022059,708.8615062574567,414.27176552050764,2390,3121,9581,208,13136,1079509.577119,469452.646961,2898090.1420009998,29342.82623106,3170865.38193
Male, 5 - 14,8.276962968685712,21.317825930526617,11.163181421075533,21.92272401499369,9.825833157206775,70,86,451,6,203,845720.830996,403418.24856,4040066.92168,27368.86162457,2065982.56608
Male,55 - 64,525.1671563270003,1555.404068249825,763.4416007481767,1264.8740734469584,937.9057621382301,4970,6822,14708,311,33948,946365.35056,438599.85577100003,1926538.976339,24587.42783402,3619553.41042
Male,65 - 74,1164.5548077035753,3090.258379982413,1550.5185135642398,2646.2199912433475,1870.521004572816,7357,7300,14510,356,50274,631743.559971,236226.2019023,935815.97853,13453.15208781,2687700.3720939998
Male,75 - 84,3234.2926812474443,6048.372789224306,3915.2392379739294,5878.15535427233,4793.842831202918,10051,6295,15034,314,59903,310763.4648613,104077.5795304,383986.7524361,5341.811862318,1249582.059931
Male,85+,10158.694062488235,12052.187309319863,10155.352953420586,8819.046121917409,15075.895547845219,11793,4193,14828,164,74730,116087.75623578,34790.36537009,146011.66565073,1859.611546791,495691.94588033
Female, 0 - 4,64.24529025113452,175.47297016973118,85.23476864212967,99.45444239505923,62.60158927605689,279,328,1597,13,637,434273.078866,186923.376109,1873648.54207,13071.31153414,1017546.051732
Female,15 - 24,20.594482097417124,45.58637198503927,26.731828695231833,39.61403332304022,29.289172367520674,186,214,1045,12,665,903154.539746,469438.542006,3909197.57834,30292.29541497,2270463.609062
Female,25 - 34,29.333624309625016,100.2476665679024,44.09069555301882,79.62383430658458,60.87666338306876,322,502,1583,29,1619,1097716.383769,500759.785426,3590326.66676,36421.2553346,2659475.585599
Female,35 - 44,56.19045076085746,210.04952423161325,79.69009194704944,171.48495135345436,109.0911552193135,733,898,2607,55,2819,1304492.115786,427518.226135,3271423.00417,32072.7851429,2584077.503197
Female,45 - 54,123.58854671051918,465.18847622873045,175.61759483766258,491.567401137288,267.11963431447094,1572,2221,4986,156,8177,1271962.525526,477440.889767,2839123.269288,31735.2207732,3061175.200013
Female, 5 - 14,9.24849618962218,14.608132735859206,8.585966179501575,7.483878803876099,8.545690019782942,75,57,333,2,168,810942.649078,390193.606744,3878421.98581,26724.10994903,1965903.275348
Female,55 - 64,292.2857412293379,1017.0632376548278,429.4973757964344,964.9138589556063,565.9864495240931,3359,4754,8722,262,20705,1149217.880377,467424.22929,2030745.818604,27152.68286058,3658214.78896
Female,65 - 74,673.7845155602097,1929.1300268902987,995.4554099270412,2039.0025982603245,1240.4100829603701,5385,5596,11044,305,35967,799216.941862,290078.9434614,1109441.958913,14958.2938374,2899605.58158
Female,75 - 84,2208.5882718896246,4255.915845386427,2788.7574864631706,4790.356147302204,3573.343804457918,9250,6227,15074,306,54618,418819.5743739,146313.9833169,540527.459744,6387.83402717,1528484.326973
Female,85+,8855.110141720561,11082.906457779984,9290.149192803428,8461.326112332388,13029.662834909632,17633,7476,22225,229,112510,199127.95795642,67455.22962302,239231.89540612,2706.43155647,863491.2616354
