yearG3,sex,raceCode,Acute hepatitis B.x,Acute hepatitis C.x,Alcohol use disorders.x,Amphetamine use disorders.x,Cocaine use disorders.x,Hepatitis.x,Opioid use disorders.x,Substance use (Mental Health).x,Suicide/Self-harm.x, Acute hepatitis B.y , Acute hepatitis C.y , Alcohol use disorders.y , Amphetamine use disorders.y , Cocaine use disorders.y , Hepatitis.y , Opioid use disorders.y , Substance use (Mental Health).y , Suicide/Self-harm.y 
2000-2002,Total,Asian-NH,1.41,1.22,0.52,0.00,0.00,2.65,0.64,1.31,5.59, 150 , 124 , 60 , -   , -   , 276 , 74 , 154 , 658 
2000-2002,Total,Black-NH,0.28,2.47,3.39,0.00,1.18,2.76,9.85,16.91,6.66, 18 , 140 , 199 , -   , 76 , 159 , 631 ," 1,066 ", 430 
2000-2002,Total,Hisp,0.41,2.52,2.60,0.07,0.06,2.99,4.01,7.90,4.68, 75 , 473 , 593 , 22 , 21 , 555 ," 1,103 "," 2,067 "," 1,380 "
2000-2002,Total,Multi-NH,0.00,0.00,0.00,0.00,0.00,0.00,0.91,2.34,2.18, -   , -   , -   , -   , -   , -   , 14 , 32 , 41 
2000-2002,Total,NHPI-NH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.51,7.17, -   , -   , -   , -   , -   , -   , -   , 11 , 26 
2000-2002,Total,White-NH,0.29,1.79,3.10,0.08,0.05,2.12,6.66,11.83,13.30, 164 ," 1,014 "," 1,712 ", 39 , 24 ," 1,201 "," 3,413 "," 6,182 "," 6,990 "
2003-2005,Total,Asian-NH,1.07,0.92,0.56,0.00,0.00,2.00,0.54,1.39,5.56, 126 , 104 , 71 , -   , -   , 231 , 72 , 184 , 719 
2003-2005,Total,Black-NH,0.36,2.50,3.43,0.00,1.46,2.86,11.28,19.23,5.86, 22 , 156 , 213 , -   , 99 , 178 , 758 ," 1,276 ", 388 
2003-2005,Total,Hisp,0.34,2.30,2.66,0.09,0.12,2.67,3.83,8.39,4.81, 68 , 508 , 691 , 31 , 38 , 583 ," 1,170 "," 2,459 "," 1,563 "
2003-2005,Total,Multi-NH,0.00,0.00,1.12,0.00,0.00,0.00,2.99,5.40,4.56, -   , -   , 15 , -   , -   , -   , 50 , 86 , 88 
2003-2005,Total,NHPI-NH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.70,10.12, -   , -   , -   , -   , -   , -   , -   , 18 , 33 
2003-2005,Total,White-NH,0.19,1.57,3.53,0.17,0.10,1.78,7.86,14.42,13.30, 109 , 928 ," 2,001 ", 86 , 51 ," 1,048 "," 4,022 "," 7,573 "," 7,027 "
2006-2008,Total,Asian-NH,1.28,1.49,0.48,0.00,0.00,2.77,0.76,1.55,5.81, 168 , 187 , 69 , -   , -   , 356 , 106 , 218 , 807 
