year,sex,Level,CAUSE,county,Ndeaths,YLL,mean.age,pop,YLLper,cDeathRate,rateLCI,rateUCI,aRate,aLCI,aUCI,aSE,YLL.adj.rate,SMRcrude,SMR,causeName
2000,Female,lev0,0,Alameda,5023,32080,75.47,738300,4344,680.4,661.5,699.2,684.3,665.4,703.6,9.703,4463,1.017,1.021,All CAUSES
2000,Female,lev0,0,Tuolumne,282,1309,77.9,25800,5073,1093,965.3,1220,727.1,642.9,824,44.25,4879,1.633,1.084,All CAUSES
2000,Female,lev0,0,Sutter,378,2174,76.09,40040,5430,944.1,848.9,1039,828.6,746.6,917.7,42.94,5473,1.411,1.236,All CAUSES
2000,Female,lev0,0,Sonoma,2077,9641,78.41,234100,4118,887.2,849,925.3,685.6,655.9,716.5,15.35,4108,1.326,1.023,All CAUSES
2000,Female,lev0,0,Napa,687,2341,80.54,62390,3752,1101,1019,1184,718.8,664.5,777.3,28.25,3737,1.646,1.072,All CAUSES
2000,Female,lev0,0,Lassen,92,811,72.37,12330,6579,746.3,593.8,898.8,759.9,612.2,935.3,79.48,6246,1.115,1.133,All CAUSES
2000,Female,lev0,0,Placer,977,5173,76.7,128300,4033,761.6,713.9,809.4,637.4,597.9,679.3,20.49,3952,1.138,0.9507,All CAUSES
2000,Female,lev0,0,Nevada,440,1878,78.44,46500,4039,946.3,857.8,1035,644.8,584.9,711.7,31.27,3629,1.414,0.9617,All CAUSES
2000,Female,lev0,0,San Francisco,3029,15260,78.01,383200,3982,790.5,762.3,818.6,605.2,583.3,627.9,11.26,4188,1.181,0.9026,All CAUSES
2000,Female,lev0,0,Plumas,102,742,74.37,10320,7188,988.1,796.3,1180,791.1,640.7,978.1,80.8,7765,1.477,1.18,All CAUSES
2000,Female,lev0,0,Madera,417,3090,73.52,64750,4772,644.1,582.2,705.9,723.6,655.7,796.6,35.48,4947,0.9626,1.079,All CAUSES
2000,Female,lev0,0,Riverside,5769,36950,75.13,781400,4728,738.3,719.2,757.3,731.3,712.4,750.6,9.695,4886,1.103,1.091,All CAUSES
2000,Female,lev0,0,Sierra,15,29,82.53,1791,1619,837.5,413.7,1261,541.5,302,1012,140.6,1061,1.252,0.8076,All CAUSES
2000,Female,lev0,0,Contra Costa,3451,19330,76.62,488900,3953,705.9,682.4,729.5,646.8,625.3,668.9,11.07,3910,1.055,0.9647,All CAUSES
2000,Female,lev0,0,Tulare,1309,9892,74.16,184400,5365,710,671.5,748.4,781.7,739.8,825.4,21.66,5721,1.061,1.166,All CAUSES
2000,Female,lev0,0,Santa Clara,4390,27790,75.7,833500,3334,526.7,511.1,542.3,570.2,553.4,587.4,8.622,3386,0.7872,0.8505,All CAUSES
2000,Female,lev0,0,Humboldt,599,4264,74.15,63860,6678,938.1,862.9,1013,800.8,737.2,869.2,33.11,6728,1.402,1.194,All CAUSES
2000,Female,lev0,0,Santa Barbara,1498,6983,78.69,199800,3495,749.7,711.7,787.7,612.5,581.3,645,16.1,3713,1.12,0.9135,All CAUSES
2000,Female,lev0,0,Kern,2278,18520,72.71,323200,5729,704.8,675.9,733.8,816.3,783.1,850.6,17.13,5983,1.053,1.218,All CAUSES
2000,Female,lev0,0,Solano,1247,9296,73.55,197100,4716,632.7,597.5,667.8,700.6,662.2,740.7,19.87,4805,0.9456,1.045,All CAUSES
2000,Female,lev0,0,Colusa,70,622,71.23,9269,6711,755.2,578.3,932.1,746.8,581.7,946.1,89.5,6756,1.129,1.114,All CAUSES
2000,Female,lev0,0,Del Norte,123,688,75.29,12270,5609,1003,825.5,1180,844.9,701.8,1014,76.43,5341,1.499,1.26,All CAUSES
2000,Female,lev0,0,Mendocino,432,2020,77.3,43410,4653,995.1,901.3,1089,788.1,714.9,868,38.24,4318,1.487,1.175,All CAUSES
2000,Female,lev0,0,Tehama,289,1749,74.8,28250,6192,1023,905.2,1141,802.5,711.8,903.7,47.66,6067,1.529,1.197,All CAUSES
2000,Female,lev0,0,Trinity,67,367,75.24,6316,5811,1061,806.8,1315,855.2,659.6,1113,106.3,4105,1.585,1.276,All CAUSES
2000,Female,lev0,0,Los Angeles,29370,194700,75.26,4832000,4030,607.8,600.9,614.8,655.9,648.4,663.5,3.835,4226,0.9084,0.9783,All CAUSES
2000,Female,lev0,0,Inyo,90,358,79.91,9211,3887,977.1,775.2,1179,603.1,482.9,759.7,64.78,3628,1.46,0.8996,All CAUSES
