"","causeName","CAUSE","sex","county","comName","comID","Ndeaths","cDeathRate","aRate","aLCI","aUCI","aSE","aRateState","aSEState","count","percentGeocoded","myZ","sig","pValue"
"1","ALL Firearm","S","Male","Alameda","Livermore Central and West/Spring Town","1.1",17,11.85,19.42,11.17,32.05,4.805,13.14,0.1168,48693,0.976629084262625,1.30658594386628,2,0.0956766864904577
"2","Firearm-Suicide","S2","Male","Alameda","Livermore Central and West/Spring Town","1.1",15,10.46,10.37,5.726,17.7,2.734,7.108,0.08629,48693,0.976629084262625,1.19252980806952,2,0.116526784999715
"3","Firearm-Homicide","S3","Male","Alameda","Livermore Central and West/Spring Town","1.1",2,1.394,1.418,0.1626,5.837,1.02,5.834,0.07741,48693,0.976629084262625,-4.31699748304078,3,0.999992091701938
"4","ALL Firearm","S","Total","Alameda","Livermore Central and West/Spring Town","1.1",17,5.818,9.296,5.362,15.23,2.291,7.303,0.06097,48693,0.976629084262625,0.86961790076266,2,0.192254625945455
"5","Firearm-Suicide","S2","Total","Alameda","Livermore Central and West/Spring Town","1.1",15,5.133,4.924,2.729,8.335,1.291,3.784,0.04336,48693,0.976629084262625,0.882538774873944,2,0.188742760457673
"6","Firearm-Homicide","S3","Total","Alameda","Livermore Central and West/Spring Town","1.1",2,0.6845,0.7202,0.0823,2.802,0.5186,3.405,0.04217,48693,0.976629084262625,-5.15998387397323,3,0.999999876514443
"7","ALL Firearm","S","Female","Alameda","Altamont/Livermore East/Midway/Mountain House/Scotts Corner","1.2",1,0.9973,6.433,0.1629,35.84,6.433,1.683,0.04131,48693,0.976629084262625,0.738365003265238,2,0.230146337632042
"8","Firearm-Suicide","S2","Female","Alameda","Altamont/Livermore East/Midway/Mountain House/Scotts Corner","1.2",1,0.9973,0.5613,0.01421,5.913,0.5613,0.7903,0.02782,48693,0.976629084262625,-0.407481281170349,2,0.658172730158702
"9","ALL Firearm","S","Male","Alameda","Altamont/Livermore East/Midway/Mountain House/Scotts Corner","1.2",6,5.962,13.69,4.776,32.28,5.812,13.14,0.1168,48693,0.976629084262625,0.0946126929112283,2,0.462311233790118
"10","Firearm-Suicide","S2","Male","Alameda","Altamont/Livermore East/Midway/Mountain House/Scotts Corner","1.2",6,5.962,5.764,2.011,13.86,2.447,7.108,0.08629,48693,0.976629084262625,-0.548902792267301,2,0.708463919078775
