"","causeName","sex","county","Ndeaths","cDeathRate","aRate","aLCI","aUCI"
"1","ALL Firearm","Female","Santa Clara",34,0.7099,0.8115,0.5585,1.147
"2","ALL Firearm","Female","Los Angeles",375,1.448,1.41,1.27,1.563
"3","ALL Firearm","Female","Calaveras",6,5.335,9.739,3.123,25.86
"4","ALL Firearm","Female","Orange",80,0.9984,1.004,0.7921,1.261
"5","ALL Firearm","Female","Glenn",2,2.784,10.17,1.188,38.86
"6","ALL Firearm","Female","Sacramento",86,2.242,2.521,2.009,3.134
"7","ALL Firearm","Female","San Diego",133,1.62,1.617,1.35,1.925
"8","ALL Firearm","Female","Tulare",36,3.079,3.405,2.374,4.755
"9","ALL Firearm","Female","Trinity",5,15.15,26.57,6.717,78.75
"10","ALL Firearm","Female","Madera",6,1.489,2.949,1.064,6.672
"11","ALL Firearm","Female","San Bernardino",124,2.294,2.324,1.928,2.783
"12","ALL Firearm","Female","CALIFORNIA",1715,1.734,1.683,1.603,1.767
"13","ALL Firearm","Female","San Francisco",20,0.9303,1.038,0.6217,1.673
"14","ALL Firearm","Female","Placer",14,1.461,2.084,1.121,3.582
"15","ALL Firearm","Female","Inyo",1,2.164,13.03,0.3299,72.6
"16","ALL Firearm","Female","Yuba",9,4.758,9.415,4.267,18.36
"17","ALL Firearm","Female","Santa Barbara",26,2.341,2.523,1.628,3.79
"18","ALL Firearm","Female","Merced",9,1.33,1.909,0.8594,3.757
"19","ALL Firearm","Female","Yolo",6,1.081,2.629,0.9058,6.183
"20","ALL Firearm","Female","Mono",1,3.069,116.7,2.954,650.1
"21","ALL Firearm","Female","Plumas",3,6.142,32.58,6.718,95.2
"22","ALL Firearm","Female","Contra Costa",49,1.697,2.297,1.687,3.067
"23","ALL Firearm","Female","San Luis Obispo",20,2.931,3.39,1.953,5.689
"24","ALL Firearm","Female","San Mateo",24,1.231,1.608,1.01,2.468
"25","ALL Firearm","Female","San Joaquin",41,2.216,2.225,1.59,3.053
"26","ALL Firearm","Female","Monterey",24,2.24,2.782,1.768,4.208
"27","ALL Firearm","Female","Shasta",21,4.62,5.683,3.42,9.102
"28","ALL Firearm","Female","Sonoma",27,2.109,2.818,1.809,4.263
"29","ALL Firearm","Female","Ventura",27,1.257,1.664,1.088,2.461
"30","ALL Firearm","Female","Sutter",5,2.026,3.728,1.187,9.014
"31","ALL Firearm","Female","Marin",13,1.949,2.499,1.218,4.76
"32","ALL Firearm","Female","Kern",51,2.351,2.735,2.024,3.635
"33","ALL Firearm","Female","Stanislaus",33,2.401,3.366,2.302,4.792
"34","ALL Firearm","Female","Humboldt",21,6.197,8.788,5.315,13.83
"35","ALL Firearm","Female","Riverside",103,1.734,1.837,1.494,2.243
"36","ALL Firearm","Female","Santa Cruz",11,1.594,1.881,0.897,3.642
"37","ALL Firearm","Female","Kings",3,0.8827,2.676,0.525,8.247
"38","ALL Firearm","Female","Lassen",1,1.721,12.28,0.311,68.44
"39","ALL Firearm","Female","Colusa",2,3.656,21.31,2.529,80.17
"40","ALL Firearm","Female","Imperial",4,0.8668,2.302,0.614,6.225
"41","ALL Firearm","Female","Del Norte",4,6.438,17.46,3.885,53.25
"42","ALL Firearm","Female","Siskiyou",5,4.485,9.02,2.525,24.55
"43","ALL Firearm","Female","Solano",29,2.658,3.299,2.176,4.857
"44","ALL Firearm","Female","Tuolumne",6,4.595,8.811,2.955,21.01
"45","ALL Firearm","Female","Alameda",62,1.489,1.777,1.357,2.292
"46","ALL Firearm","Female","Butte",13,2.293,2.747,1.389,5.098
"47","ALL Firearm","Female","Lake",11,6.746,8.917,4.096,18.05
"48","ALL Firearm","Female","Sierra",1,12.83,75.47,1.911,420.5
"49","ALL Firearm","Female","Modoc",2,8.415,33.45,4.051,121.1
"50","ALL Firearm","Female","Fresno",56,2.263,2.528,1.897,3.317
"51","ALL Firearm","Female","Napa",9,2.527,3.154,1.402,6.368
"52","ALL Firearm","Female","Amador",5,5.759,14.05,4.091,36.94
"53","ALL Firearm","Female","Mariposa",3,6.702,26.59,4.851,84.49
"54","ALL Firearm","Female","Tehama",8,4.952,7.078,2.824,15.83
"55","ALL Firearm","Female","El Dorado",18,3.925,4.667,2.672,7.952
"56","ALL Firearm","Female","Nevada",13,5.219,7.569,3.636,15.2
"57","ALL Firearm","Female","San Benito",3,2.063,5.338,1.07,16.47
"58","ALL Firearm","Female","Mendocino",10,4.505,6.382,2.911,12.5
"59","Firearm-Accident","Female","Contra Costa",2,0.06926,0.05389,0.006158,0.2444
"60","Firearm-Accident","Female","Sonoma",1,0.07811,0.08045,0.002037,0.5372
"61","Firearm-Accident","Female","CALIFORNIA",13,0.01315,0.01194,0.006263,0.02117
"62","Firearm-Accident","Female","Siskiyou",1,0.897,1.639,0.04149,9.131
"63","Firearm-Accident","Female","Humboldt",1,0.2951,0.3717,0.009412,2.187
"64","Firearm-Accident","Female","Los Angeles",2,0.007724,0.006567,0.0007647,0.02743
"65","Firearm-Accident","Female","Sutter",1,0.4053,0.4284,0.01085,2.735
"66","Firearm-Accident","Female","Sacramento",2,0.05215,0.03645,0.004415,0.1706
"67","Firearm-Accident","Female","Riverside",1,0.01683,0.01279,0.0003239,0.1007
"68","Firearm-Accident","Female","San Diego",1,0.01218,0.01278,0.0003237,0.07866
"69","Firearm-Accident","Female","El Dorado",1,0.218,0.1187,0.003006,1.461
"70","Firearm-Suicide","Female","Glenn",1,1.392,0.9735,0.02465,8.527
"71","Firearm-Suicide","Female","San Bernardino",62,1.147,1.154,0.8813,1.491
"72","Firearm-Suicide","Female","Madera",5,1.24,1.231,0.3932,3.028
