county,Ndeaths 2000-2002,Ndeaths 2003-2005,Ndeaths 2006-2008,Ndeaths 2009-2011,Ndeaths 2012-2014,Ndeaths 2015-2017,Rate 2000-2002,Rate 2003-2005,Rate 2006-2008,Rate 2009-2011,Rate 2012-2014,Rate 2015-2017,Percent Change,pValue,County to State 2015-2017,low06_08,up06_08,low15_17,up15_17
Alameda,382,389,495,381,356,322,8.241,8.502,10.69,8.116,7.34,6.387,-40.25257249766137,3.838040996129166e-13,Higher,9.767,11.69,5.703,7.135
Amador,2,2,2,7,5,4,1.601,1.697,1.058,5.537,5.63,4.611,335.82230623818526,0.07596357226271566,No Diff,0.1261,6.713,1.203,13
Butte,27,23,31,29,30,27,4.835,3.346,5.065,4.531,4.392,4.296,-15.182625863770978,0.27271629973683353,No Diff,3.39,7.345,2.786,6.415
Calaveras,5,6,4,3,5,8,3.958,4.193,3.93,1.566,4.406,7.552,92.16284987277352,0.14696504713947534,No Diff,1.004,10.96,3.119,16.22
CALIFORNIA,7037,7699,7345,6112,5899,6216,6.616,6.993,6.51,5.327,5.082,5.295,-18.663594470046082,0,No Diff,6.361,6.661,5.163,5.43
Colusa,5,NA,3,4,1,NA,9.294,NA,4.613,6.931,1.365,NA,NA,NA,NA,0.9431,14.57,NA,NA
Contra Costa,187,258,295,252,191,205,6.757,9.041,10.23,8.496,6.18,6.404,-37.39980449657869,1.6625665200109552e-7,Higher,9.091,11.47,5.548,7.359
Del Norte,4,5,6,7,3,9,5.123,5.657,7.401,7.488,4.126,12.6,70.24726388325902,0.16128925468005706,Higher,2.682,16.64,5.663,24.6
El Dorado,13,13,19,10,14,12,2.941,2.639,3.924,1.809,2.913,2.255,-42.533129459734965,0.07442637978373301,Lower,2.324,6.288,1.109,4.221
Fresno,174,230,222,220,235,230,7.049,8.846,8.032,7.698,8.21,7.788,-3.0378486055776865,0.3735382397164918,Higher,6.995,9.194,6.798,8.894
Glenn,1,1,3,1,3,6,1.293,1.21,3.531,1.155,3.998,7.192,103.68167657887284,0.15818154115526772,No Diff,0.7279,11.11,2.533,16.72
Humboldt,26,22,14,23,27,35,6.498,5.683,2.999,6.065,6.276,8.602,186.82894298099365,4.969487779966641e-4,Higher,1.631,5.278,5.92,12.16
Imperial,20,18,22,9,13,16,4.977,4.284,4.492,1.734,2.406,3.075,-31.544968833481743,0.12700745344055964,Lower,2.805,7.017,1.736,5.114
Inyo,NA,3,NA,4,NA,2,NA,4.025,NA,6.587,NA,3.391,NA,NA,No Diff,NA,NA,0.3022,15.8
Kern,150,175,191,226,223,254,7.357,7.832,7.813,8.747,8.648,9.555,22.296173044925123,0.01881533044856154,Higher,6.728,9.052,8.395,10.85
Kings,17,17,18,25,22,36,4.195,3.865,3.728,5.636,5.023,8.039,115.63841201716738,0.0041794180887543275,Higher,2.199,6.257,5.574,11.35
Lake,3,9,15,11,21,25,1.868,4.735,7.886,6.305,11.8,14.54,84.37737763124522,0.03801586293059522,Higher,4.252,13.65,9.153,22.24
Lassen,5,6,3,5,6,4,4.423,6.448,2.36,4.574,6.226,4.481,89.87288135593221,0.21096479301407212,No Diff,0.4849,8.684,1.202,12.78
Los Angeles,3277,3224,2731,1999,1755,1889,10.82,10.43,8.845,6.459,5.656,6.112,-30.898812888637654,0,Higher,8.516,9.185,5.837,6.396
Madera,28,28,24,25,29,19,7.332,6.756,5.318,5.74,6.293,4.532,-14.779992478375323,0.3022636817096469,No Diff,3.399,8.056,2.706,7.186
Marin,13,14,12,19,9,16,1.976,1.9,1.735,2.917,1.337,1.861,7.262247838616708,0.43096903072296133,Lower,0.8702,3.182,1.008,3.246
Mariposa,NA,NA,2,NA,4,NA,NA,NA,2.068,NA,9.068,NA,NA,NA,NA,0.2488,13.28,NA,NA
Mendocino,15,17,16,18,9,16,5.785,7.268,6.567,7.428,3.759,6.02,-8.32952641997869,0.40579646917385703,No Diff,3.716,10.88,3.337,10.19
Merced,33,65,59,60,76,69,4.708,9.328,7.643,7.792,9.224,8.327,8.949365432421827,0.317357555966043,Higher,5.789,9.985,6.442,10.65
Modoc,NA,NA,NA,3,5,3,NA,NA,NA,10.75,19.75,13.26,NA,NA,No Diff,NA,NA,2.32,43.75
Mono,1,NA,NA,NA,NA,2,2.071,NA,NA,NA,NA,7.372,NA,NA,No Diff,NA,NA,0.8316,55.07
Monterey,85,77,89,134,128,159,6.451,5.844,6.907,10.03,9.949,12.13,75.6189373099754,8.868319207544495e-6,Higher,5.54,8.544,10.31,14.21
Napa,6,12,9,5,8,7,1.537,3.237,2.228,1.237,1.767,1.809,-18.806104129263925,0.3413836246259494,Lower,1.009,4.329,0.7089,3.884
Nevada,10,4,7,9,3,6,3.905,0.9589,2.105,3.21,1.279,1.572,-25.32066508313539,0.3177495252749545,Lower,0.7947,4.882,0.465,4.338
Orange,239,265,270,236,189,228,2.729,2.985,2.99,2.573,2.017,2.407,-19.49832775919733,0.0082768355465197,Lower,2.644,3.372,2.102,2.748
Placer,11,18,13,19,24,18,1.345,1.984,1.455,1.896,2.324,1.653,13.60824742268041,0.36410987654342564,Lower,0.7731,2.507,0.9624,2.69
Plumas,NA,3,2,NA,5,NA,NA,4.184,4.09,NA,8.287,NA,NA,NA,NA,0.4953,16.48,NA,NA
Riverside,322,347,369,290,319,317,6.79,6.35,5.99,4.431,4.756,4.605,-23.121869782971615,3.5162564608237634e-4,Lower,5.392,6.641,4.105,5.153
Sacramento,234,299,313,248,270,301,6.109,7.287,7.395,5.72,6.178,6.726,-9.046653144016222,0.1217672257726734,Higher,6.596,8.27,5.981,7.544
San Benito,8,3,8,8,7,6,4.792,2.075,4.842,5.396,4.052,3.504,-27.633209417596028,0.27648401695792313,No Diff,2.084,10.15,1.251,8.095
San Bernardino,433,552,490,394,409,429,8.11,9.486,7.917,6.305,6.59,6.659,-15.889857269167614,0.004882035104462945,Higher,7.223,8.671,6.036,7.335
San Diego,323,411,368,275,305,301,3.608,4.407,3.843,2.815,3.11,3.054,-20.53083528493365,0.0016826069519264575,Lower,3.457,4.262,2.715,3.426
San Francisco,167,202,222,152,99,137,6.936,8.231,8.518,5.841,3.776,5.005,-41.24207560460202,8.819979430141345e-7,No Diff,7.412,9.799,4.168,6.005
San Joaquin,143,132,152,212,221,220,8.189,6.825,7.464,10.3,10.41,10.17,36.2540192926045,0.0016877201762898197,Higher,6.319,8.773,8.853,11.64
San Luis Obispo,13,18,20,17,14,20,1.954,2.259,2.571,1.852,1.676,2.582,0.4278490859587583,0.49485250645919066,Lower,1.541,4.092,1.526,4.157
San Mateo,57,98,73,69,48,49,2.673,4.816,3.565,3.463,2.314,2.264,-36.4936886395512,0.007397574471960988,Lower,2.79,4.497,1.664,3.022
Santa Barbara,30,20,33,34,39,47,2.397,1.645,2.646,2.66,3.036,3.436,29.856386999244144,0.12732018913407595,Lower,1.811,3.759,2.506,4.633
Santa Clara,125,148,145,141,169,167,2.416,2.86,2.717,2.597,3.027,2.89,6.367316893632684,0.29390980098332575,Lower,2.291,3.205,2.466,3.368
Santa Cruz,25,23,23,32,36,23,3.076,2.877,2.822,3.88,4.361,2.812,-0.3543586109142534,0.4952919020494373,Lower,1.777,4.326,1.759,4.331
Shasta,19,24,32,13,29,35,4.241,5.08,6.067,2.741,5.976,6.523,7.516070545574411,0.38688367031211546,No Diff,4.107,8.711,4.476,9.308
Siskiyou,6,7,4,3,8,14,4.904,6.328,4.005,2.487,5.32,10.7,167.1660424469413,0.03789816398217394,Higher,1.041,10.71,5.43,19.64
Solano,71,86,105,97,116,107,5.812,7.003,8.503,7.886,9.481,8.516,0.1528872162766071,0.49560768163611446,Higher,6.949,10.33,6.955,10.35
Sonoma,44,44,40,40,24,40,3.212,3.138,2.882,2.87,1.572,2.861,-0.7286606523247712,0.4871965572630841,Lower,2.052,3.948,2.022,3.951
Stanislaus,71,100,95,105,107,92,5.168,6.757,6.271,6.785,6.652,5.986,-4.544729708180516,0.37643304958110124,No Diff,5.067,7.696,4.811,7.379
Sutter,14,15,11,14,15,17,5.765,5.934,4.103,5.025,5.214,6.065,47.818669266390465,0.15600858865626666,No Diff,2.042,7.452,3.502,9.916
Tehama,7,5,13,9,12,9,4.353,2.915,7.312,5.05,7.174,5.109,-30.128555798687096,0.2100597263258731,No Diff,3.846,12.79,2.222,10.33
Trinity,4,1,3,2,8,5,10.21,3.11,7.036,7.234,19,15.64,122.28538942581014,0.1581662933890835,No Diff,1.28,24.66,4.631,40.04
Tulare,68,101,130,103,124,119,5.944,8.318,10.29,7.391,9.42,8.601,-16.413994169096195,0.08208200098576957,Higher,8.571,12.28,7.107,10.34
Tuolumne,4,9,1,4,3,5,2.535,4.611,0.7883,2.659,2.373,2.855,262.1717620195357,0.09259637977468105,Lower,0.01996,4.843,0.8562,7.798
Ventura,87,119,88,69,88,87,3.811,5.054,3.664,2.791,3.468,3.497,-4.55786026200874,0.3798437862221553,Lower,2.937,4.527,2.792,4.34
Yolo,15,15,4,15,16,16,2.824,2.86,0.8408,2.368,2.845,2.9,244.90960989533772,0.007604414994154984,Lower,0.2268,2.225,1.643,4.793
