county,Ndeaths 2000-2002,Ndeaths 2003-2005,Ndeaths 2006-2008,Ndeaths 2009-2011,Ndeaths 2012-2014,Ndeaths 2015-2017,Rate 2000-2002,Rate 2003-2005,Rate 2006-2008,Rate 2009-2011,Rate 2012-2014,Rate 2015-2017,Percent Change,pValue,County to State 2015-2017,low06_08,up06_08,low15_17,up15_17
Alameda,351,349,355,418,439,442,8.269,7.964,7.856,8.902,8.835,8.496,8.146639511201636,0.1374561166979592,Lower,7.054,8.731,7.714,9.343
Alpine,1,2,1,NA,NA,NA,25.9,58.6,57.44,NA,NA,NA,NA,NA,NA,1.454,320,NA,NA
Amador,17,23,26,34,38,25,15.54,19.1,18.33,24.98,27.63,20.52,11.94762684124387,0.35454666376718114,Higher,11.63,28.61,12.73,32.39
Butte,102,109,117,134,107,128,16.26,16.86,18.04,19.37,15.62,18.31,1.496674057649665,0.45566741545958356,Higher,14.83,21.81,15.12,22.07
Calaveras,19,30,24,37,31,40,13.72,21.84,15.28,23.1,19.99,25.87,69.3062827225131,0.034844938289262495,Higher,9.256,24.61,17.49,37.85
CALIFORNIA,9579,9881,10410,11480,11870,12560,9.644,9.474,9.571,10.07,10.05,10.26,7.1988297983491805,9.629940056488095e-8,No Diff,9.387,9.758,10.08,10.45
Colusa,9,1,8,9,16,6,17.04,1.614,13.94,15.16,26.57,9.486,-31.951219512195113,0.24103850784103453,No Diff,5.976,28,3.405,21.72
Contra Costa,255,289,295,353,318,356,8.875,9.654,9.437,10.67,9.341,10.11,7.131503655822827,0.194253120287328,No Diff,8.381,10.59,9.065,11.26
Del Norte,19,14,8,20,20,10,22.44,15.52,8.783,22.67,22.69,10.22,16.361152225890937,0.37801968441898004,No Diff,3.75,18.08,4.687,20.39
El Dorado,66,76,65,113,92,98,13.92,13.92,12.03,18.81,14.8,17.37,44.38902743142146,0.01426631406157508,Higher,9.184,15.58,13.89,21.59
Fresno,191,228,248,218,273,303,8.538,9.524,9.822,8.178,10.18,10.78,9.753614335165956,0.14118843235958844,No Diff,8.625,11.15,9.576,12.09
Glenn,19,11,10,8,7,26,24.81,13.48,12.4,9.372,7.995,28.31,128.3064516129032,0.01074643958236976,Higher,5.93,23.32,18.27,42.59
Humboldt,79,80,87,94,105,92,20.06,19.39,20.59,21.85,24.72,22.5,9.276347741622146,0.2822567031407486,Higher,16.41,25.64,17.99,27.87
Imperial,26,30,30,36,36,48,6.409,7.223,6.652,7.183,6.798,9,35.29765484064943,0.09692624025269436,No Diff,4.464,9.692,6.593,12.07
Inyo,13,13,5,13,12,12,18.91,20.14,8.513,18.16,16.16,15.7,84.42382238928697,0.13665307203670718,No Diff,2.452,22.43,7.345,31.66
Kern,207,221,228,266,324,356,11.36,10.98,10.51,11.37,13.18,13.96,32.82588011417698,4.1795755937112933e-4,Higher,9.174,12.02,12.52,15.53
Kings,32,37,35,31,41,51,8.313,9.342,8.629,6.967,10.01,12.2,41.38370610731255,0.0613993148637062,No Diff,5.923,12.36,9.014,16.25
Lake,43,33,53,58,52,59,21.43,16.91,27.1,26.51,24.46,28.78,6.199261992619925,0.38297756640676717,Higher,19.93,36.26,21.42,38.26
