county,comName,Ndeaths 2008-2012,Ndeaths 2013-2017,Rate 2008-2012,Rate 2013-2017,Percent Change,pValue,Community 13-17 Compared to State 15-17
Alameda,Alameda/Jack London Square/Oakland Inner Harbor,14,8,3.905,2.341,-40.051216389244544,0.12682205956288306,Lower
Alameda,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,11,15,2.207,2.767,25.373810602628005,0.28909008947798875,Lower
Alameda,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,NA,1,NA,0.5894,NA,NA,Lower
Alameda,Ashland/Brookfield Village/Castro Valley South/Elmhurst/Hayward Northeast/San Leandro North Central/San Lorenzo East,78,76,13.79,12.7,-7.904278462654097,0.30714720458438494,Higher
Alameda,Berkeley South and West/Emeryville/Oakland Northwest,37,21,7.464,2.648,-64.52304394426582,5.82268919594453e-4,Lower
Alameda,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,21,18,4.131,3.382,-18.13120309852336,0.2704400595634956,Lower
Alameda,Centerville/Fremont West/Irvington/Newark East Central,24,16,5.444,3.501,-35.690668626010286,0.08708255510716434,Lower
Alameda,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,57,45,10.88,7.905,-27.343750000000004,0.061780466211054264,Higher
Alameda,Dublin/Pleasanton/Santa Rita/Sunol,6,8,1.179,1.368,16.030534351145043,0.39339688421573626,Lower
Alameda,Fremont East/Niles/Union City Central,16,15,2.958,2.336,-21.027721433400956,0.25994977469078373,Lower
Alameda,Fremont South/Mission San Jose/Newark South/Warm Springs,12,7,2.947,1.294,-56.09093993892094,0.048456020839337866,Lower
Alameda,Fruitvale/Melrose/Oakland Airport,199,149,28.85,21.34,-26.031195840554595,0.0027838367809095432,Higher
Alameda,Hayward Central,63,41,9.967,6.73,-32.47717467643222,0.025356004851273317,No Diff
Alameda,Livermore Central and West/Spring Town,4,3,1.572,1.05,-33.20610687022901,0.30064311681459677,Lower
Alameda,Oakland West Central,99,66,22.76,14.83,-34.84182776801406,0.0039336695421618995,Higher
Alameda,San Leandro West/San Lorenzo West/Hayward West,29,22,5.991,4.312,-28.025371390418954,0.12457455178524979,No Diff
Amador,Ione/Jackson/Pine Grove/Sutter Creek,4,7,2.54,5.976,135.2755905511811,0.09831428470669845,No Diff
Amador,Pioneer,1,1,2.954,8.832,198.98442789438047,0.2639657760782993,No Diff
Amador,Plymouth,1,1,3.218,6.505,102.1441889372281,0.3253053211356284,No Diff
Butte,Berry Creek/Brownsville/Concow/Feather Falls/Forbestown,5,2,16.29,5.759,-64.64702271332105,0.11918194412047489,No Diff
Butte,Biggs/East Biggs/Gridley,1,NA,1.219,NA,NA,NA,NA
Butte,Butte Meadows/Cohasset/Forest Ranch,1,NA,5.066,NA,NA,NA,NA
Butte,Capay/Lake/Nord,1,1,6.091,4.176,-31.439829256279754,0.39769920578402096,No Diff
Butte,Chapmantown/Chico,15,8,3.149,1.328,-57.82788186725944,0.030893553829458353,Lower
Butte,Durham,2,2,7.503,7.461,-0.5597760895641719,0.4978456505885265,No Diff
Butte,Magalia/Paradise/Stirling City,11,8,5.052,4.409,-12.727632620744258,0.3888544725836032,No Diff
Butte,Oroville/Palermo/Thermalito,12,17,5.263,7.705,46.39939198175946,0.16371759312471057,No Diff
Calaveras,Angels Camp/Arnold/Copperopolis/Mountain Ranch/Murphys/San Andreas/Valley Springs/West Point,5,11,1.848,6.589,256.5476190476191,0.015188837082992679,No Diff
Colusa,Arbuckle/Grimes,3,NA,13.05,NA,NA,NA,NA
Colusa,Colusa,1,NA,2.592,NA,NA,NA,NA
Colusa,Williams,1,NA,4.667,NA,NA,NA,NA
Contra Costa,Alamo/Danville/Diablo/San Ramon,8,4,1.225,0.4399,-64.08979591836736,0.056435748936012664,Lower
Contra Costa,Antioch North and West/Nichols/Pittsburg Central and East/West Pittsburg,61,75,11.81,13.97,18.289585097375106,0.16711227873882317,Higher
Contra Costa,Avon/Clyde/Concord Central/Pittsburg Southwest,17,11,4.006,2.478,-38.1427858212681,0.10882845403779451,Lower
Contra Costa,Brentwood Central and West/Oakley,36,51,5.819,7.466,28.30383227358653,0.1279887779183153,Higher
Contra Costa,Brentwood East/Byron/Discovery Bay/Knightsen,13,10,5.181,3.11,-39.9729781895387,0.11825653343826814,Lower
Contra Costa,Clayton/Concord South/Walnut Creek Central and East,3,5,0.5641,1.024,81.52809785499024,0.2155570301720806,Lower
Contra Costa,Concord West/Martinez East/Martinez Waterfront/Pacheco/Pleasant Hill East,20,17,4.899,3.857,-21.26964686670749,0.23703617176906233,No Diff
Contra Costa,Crockett/Hercules/Martinez West/Pinole/Port Costa/Richmond Northeast/Rodeo,39,32,9.583,6.725,-29.82364603986226,0.07415702616941133,No Diff
Contra Costa,El Cerrito/El Sobrante/Kensington/Richmond North/Richmond Southeast/Wildcat Canyon,43,31,11.77,7.624,-35.225148683092605,0.03554613878814372,Higher
Contra Costa,Lafayette/Martinez South/Moraga/Orinda/Pleasant Hill/Rheem Valley/Rossmoor Leisure World/Walnut Creek Southwest,8,1,1.973,0.3039,-84.59706031424227,0.018731951320737572,Lower
Contra Costa,Richmond Central/San Pablo Central,139,81,27.28,14.59,-46.517595307917894,4.112230694963692e-6,Higher
Del Norte,Crescent City/Gasquet/Klamath/Smith River,9,9,6.322,7.381,16.75102815564695,0.37443954427001713,No Diff
