county,comName,Ndeaths 2008-2012,Ndeaths 2013-2017,Rate 2008-2012,Rate 2013-2017,Percent Change,pValue,Community 13-17 Compared to State 15-17
Alameda,Alameda/Jack London Square/Oakland Inner Harbor,29,45,7.454,11.41,53.072176012879,0.03857894477746604,No Diff
Alameda,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,58,67,9.434,10.64,12.783548865804553,0.2569742210184971,No Diff
Alameda,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,12,18,6.374,8.598,34.89174772513338,0.22155334613598066,No Diff
Alameda,Ashland/Brookfield Village/Castro Valley South/Elmhurst/Hayward Northeast/San Leandro North Central/San Lorenzo East,61,54,11.13,9.149,-17.798742138364794,0.15275572172598073,No Diff
Alameda,Berkeley South and West/Emeryville/Oakland Northwest,46,42,12.2,9.555,-21.680327868852455,0.1457350070629655,No Diff
Alameda,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,56,48,9.927,7.699,-22.443840032235318,0.10591915495454729,Lower
Alameda,Centerville/Fremont West/Irvington/Newark East Central,26,23,5.552,4.574,-17.615273775216135,0.25228958863200734,Lower
Alameda,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,52,82,7.597,12.27,61.511122811636156,0.004268375875236652,No Diff
Alameda,Dublin/Pleasanton/Santa Rita/Sunol,46,51,8.48,8.105,-4.422169811320755,0.41426459876260835,Lower
Alameda,Fremont East/Niles/Union City Central,50,37,8.701,5.943,-31.697506033789224,0.041988071512058855,Lower
Alameda,Fremont South/Mission San Jose/Newark South/Warm Springs,33,33,7.23,6.685,-7.538035961272487,0.3777045537121183,Lower
Alameda,Fruitvale/Melrose/Oakland Airport,47,46,7.608,6.687,-12.105678233438478,0.27063337734942516,Lower
Alameda,Hayward Central,45,54,7.828,8.822,12.698007153806833,0.2797933803832908,No Diff
Alameda,Livermore Central and West/Spring Town,37,32,12.84,10.56,-17.757009345794387,0.21456492259747406,No Diff
Alameda,Oakland West Central,34,49,7.728,10.22,32.24637681159422,0.10931589863087865,No Diff
Alameda,San Leandro West/San Lorenzo West/Hayward West,30,42,5.987,7.482,24.970770001670285,0.17722224696985556,Lower
Alpine,Alpine Village/Bear Valley/Kirkwood/Markleeville/Mesa Valley/Woodfords,1,NA,62.03,NA,NA,NA,NA
Amador,Ione/Jackson/Pine Grove/Sutter Creek,31,35,19.65,21.32,8.498727735368966,0.37813081466544385,Higher
Amador,Pioneer,9,9,43.5,38.74,-10.942528735632179,0.42361304826717683,Higher
Amador,Plymouth,6,2,25.37,4.434,-82.52266456444619,0.0995590723236337,Lower
Butte,Berry Creek/Brownsville/Concow/Feather Falls/Forbestown,8,8,29.22,22.93,-21.526351813826142,0.33235545842177006,No Diff
Butte,Biggs/East Biggs/Gridley,3,13,3.767,18.47,390.31059198301034,0.005983230970265874,No Diff
Butte,Butte Meadows/Cohasset/Forest Ranch,8,4,25.46,15.87,-37.66692851531815,0.24782582021987842,No Diff
Butte,Capay/Lake/Nord,5,5,16.96,11.84,-30.188679245283023,0.3142981105841217,No Diff
Butte,Chapmantown/Chico,70,76,16.19,16.08,-0.6794317479926064,0.48423389661933236,Higher
Butte,Durham,5,3,17.9,7.445,-58.40782122905027,0.12651227920259955,No Diff
Butte,Magalia/Paradise/Stirling City,57,43,24.97,20.81,-16.659991990388466,0.2079797080506962,Higher
Butte,Oroville/Palermo/Thermalito,34,45,14.05,17.37,23.629893238434164,0.18524215407217304,Higher
Calaveras,Angels Camp/Arnold/Copperopolis/Mountain Ranch/Murphys/San Andreas/Valley Springs/West Point,49,51,18.59,19.7,5.970952124798275,0.39931453482269263,Higher
Colusa,Arbuckle/Grimes,4,5,19.91,21.89,9.944751381215472,0.44647320024000126,No Diff
Colusa,Colusa,3,8,6.98,23.25,233.0945558739255,0.04184696263827403,No Diff
Colusa,Loduga/Maxwell/Princeton/Stonyford,3,4,28.84,34,17.891816920943135,0.41743872780975433,No Diff
Colusa,Williams,4,NA,13.17,NA,NA,NA,NA
Contra Costa,Alamo/Danville/Diablo/San Ramon,48,44,7.104,5.673,-20.14358108108108,0.15296972094548056,Lower
Contra Costa,Antioch North and West/Nichols/Pittsburg Central and East/West Pittsburg,63,57,13.51,10.99,-18.652849740932638,0.13357220233325995,No Diff
Contra Costa,Avon/Clyde/Concord Central/Pittsburg Southwest,50,51,10.4,9.406,-9.557692307692305,0.31175278282513563,No Diff
Contra Costa,Brentwood Central and West/Oakley,53,60,8.422,8.569,1.745428639278084,0.46426209605262536,No Diff
Contra Costa,Brentwood East/Byron/Discovery Bay/Knightsen,31,35,11.43,11.75,2.7996500437445344,0.45623577298387075,No Diff
Contra Costa,Clayton/Concord South/Walnut Creek Central and East,47,61,8.457,11.48,35.745536242166246,0.06362885207018054,No Diff
Contra Costa,Concord West/Martinez East/Martinez Waterfront/Pacheco/Pleasant Hill East,48,42,12.66,9.658,-23.712480252764617,0.10697501513779883,No Diff
Contra Costa,Crockett/Hercules/Martinez West/Pinole/Port Costa/Richmond Northeast/Rodeo,51,44,11.41,9.47,-17.00262927256792,0.1906983584611207,No Diff
Contra Costa,El Cerrito/El Sobrante/Kensington/Richmond North/Richmond Southeast/Wildcat Canyon,57,39,13.02,8.542,-34.39324116743472,0.023398649322708742,No Diff
Contra Costa,Lafayette/Martinez South/Moraga/Orinda/Pleasant Hill/Rheem Valley/Rossmoor Leisure World/Walnut Creek Southwest,70,65,10.4,10.28,-1.1538461538461633,0.4757058160130878,No Diff
Contra Costa,Richmond Central/San Pablo Central,46,51,9.391,9.945,5.899265253966567,0.3902696069352948,No Diff
Del Norte,Crescent City/Gasquet/Klamath/Smith River,25,25,17.76,15.6,-12.162162162162172,0.3288479008488371,No Diff
El Dorado,Cameron Park/El Dorado Hills/Shingle Springs,47,46,13.55,12.91,-4.723247232472328,0.4130802533403928,No Diff
El Dorado,Camino/Pollock Pines,33,27,31.63,18.34,-42.017072399620616,0.03138694540187292,Higher
El Dorado,Cool/Diamond Springs/Latrobe/Pilot Hill/Placerville,46,35,15.13,11.95,-21.017845340383353,0.1651083241440322,No Diff
El Dorado,Garden Valley/Georgetown/Greenwood/Kelsey/Volcanoville,14,8,21.17,10.63,-49.787435049598486,0.0748937457914649,No Diff
El Dorado,South Lake Tahoe,23,29,15.2,19.46,28.026315789473696,0.19897785928103817,Higher
Fresno,Auberry/Calwa/Centerville/Clovis East/Del Rey/Fowler/Friant/Sanger/Shaver Lake,38,63,8.362,12.14,45.1805788088974,0.03390886578621366,No Diff
Fresno,Biola/Herndon/Highway City/Kerman,6,20,3.622,9.486,161.89950303699615,0.01236704655942289,No Diff
Fresno,Bowles/Caruthers/Easton/Kingsburg/Lanare/Laton/Raisin City/Riverdale/Selma,25,31,5.632,6.814,20.987215909090917,0.24225796929699062,Lower
Fresno,Cantua Creek/San Joaquin/Tranquility,3,1,10.22,3.582,-64.95107632093934,0.1719628941101119,Lower
Fresno,Clovis West/Fresno East,39,60,7.909,11.57,46.289037805032244,0.03314007815610309,No Diff
Fresno,Coalinga,8,9,6.848,11.86,73.18925233644859,0.15093887988182608,No Diff
Fresno,Firebaugh/Mendota,6,2,5.383,1.853,-65.57681590191343,0.08761860379573816,Lower
Fresno,Fresno East Central,32,54,6.979,12.63,80.97148588623013,0.0046358861256279305,No Diff
Fresno,Fresno North Central,34,48,8.923,12.34,38.29429564047966,0.08222631600288577,No Diff
Fresno,Fresno Northwest,54,63,7.78,9.011,15.822622107969138,0.21879934644061005,No Diff
Fresno,Fresno South and West,38,47,9.394,10.39,10.602512241856509,0.32582884982979066,No Diff
Fresno,Fresno West Central,28,55,7.25,14.13,94.89655172413795,0.0021714262767632553,Higher
Fresno,Huron,NA,3,NA,7.893,NA,NA,No Diff
Fresno,Orange Cove/Parlier/Reedley/Squaw Valley/Tivy Valley/Wonder Valley,19,18,6.952,6.361,-8.501150747986195,0.39528459836888574,Lower
Glenn,Artois/Elk Creek/Glenn/Grindstone Indian Rancheria/Willows,7,13,12.11,20.54,69.61189099917424,0.13373996349543693,Higher
Glenn,Hamilton City,2,3,14.63,15.73,7.5187969924812,0.46956594549234965,No Diff
Glenn,Orland,1,15,1.639,22.61,1279.4996949359365,3.4340060406024e-4,Higher
Humboldt,Arcata/Eureka,82,79,21.1,21.93,3.9336492890995176,0.40707971273290344,Higher
Humboldt,Bluelake/McKinleyville/Orick/Trinidad,20,27,15.81,21.33,34.914611005692585,0.16062603186872437,Higher
Humboldt,Ferndale/Fortuna/Rio Dell/Scotia,28,22,20.11,16.02,-20.33814022874192,0.22066083797318903,No Diff
Humboldt,Garberville/Redway,4,7,14.52,15.94,9.77961432506887,0.44550026094409345,No Diff
Humboldt,Hoopa/Willow Creek,2,2,6.95,6.285,-9.568345323741006,0.4600290862892662,No Diff
Imperial,Bard/Winterhaven,1,1,7.474,20.72,177.22772277227722,0.2738004944318253,No Diff
Imperial,Bombay Beach/Calipatria/Desert Shores/Niland/Salton City/Salton Sea Beach,8,11,9.934,13.46,35.4942621300584,0.25709064891669375,No Diff
Imperial,Brawley/Westmorland,10,9,7.25,6.8,-6.20689655172414,0.44508991214721005,No Diff
Imperial,Calexico/Ocotillo,12,11,5.082,5.078,-0.07870916961825186,0.49925733223802693,Lower
Imperial,El Centro/Heber/Holtville/Imperial/Seeley,17,36,4.536,8.753,92.96737213403883,0.011407898469523392,No Diff
Inyo,Aberdeen/Big Pine/Big Pine Reservation/Fort Independence Indian/Independence,4,1,23.57,3.231,-86.29189647857446,0.052187028574227634,Lower
Inyo,Alabama Hills/Cartago/Darwin/Keeler/Lone Pine/Lone Pine Paiute Shoshone Tribe/Olancha/Pearsonville,1,4,4.368,19.94,356.5018315018315,0.08493316534729467,No Diff
Inyo,Bishop/Bishop Paiute Tribe/Mustang Mesa/Round Valley/West Bishop/Wilkerson,12,10,17.74,11.46,-35.40022547914317,0.18413808778615026,No Diff
Kern,Alta Sierra/Bodfish/Glennville/Kernville/Lake Isabella/Weldon/Wofford Heights,28,41,27.08,44.14,62.99852289512557,0.05382714778395559,Higher
Kern,Arvin/Lamont/Weed Patch,8,11,6.922,7.099,2.557064432245023,0.4811108956706146,No Diff
Kern,Bakersfield East/Lakeview/La Loma,57,67,9.46,10.44,10.359408033826622,0.29757792937446315,No Diff
Kern,Bakersfield Northeast/Oildale,70,96,14.05,18.38,30.81850533807828,0.04578072173482961,Higher
Kern,Bakersfield Northwest/Rosedale,53,78,9.521,12.39,30.133389349858202,0.07105754718645785,No Diff
Kern,Bakersfield Southwest,49,83,7,10.38,48.28571428571429,0.015892777434917682,No Diff
Kern,Bear Valley Springs/Keene/Stallion Springs/Tehachapi,29,37,14.16,19.91,40.60734463276836,0.0917066207892292,Higher
Kern,Blackwells Corners/Ford City/Maricopa/McKittrick/Taft,12,17,11.43,16.13,41.11986001749781,0.18141540491683605,No Diff
Kern,Boron/California City/Desert Lake/Mojave/North Edwards/Rosamond,32,37,15.17,15.98,5.3394858272907095,0.4166287036625165,Higher
Kern,Buttonwillow,NA,2,NA,9.642,NA,NA,No Diff
Kern,Delano/McFarland,15,22,4.926,5.954,20.868859114900516,0.2927008393913032,Lower
Kern,Fort Tejon/Frazier Park/Lebec/Pine Mountain,6,12,15.01,27.85,85.542971352431735,0.11814167807087661,Higher
Kern,Inyokern/Ridgecrest,30,30,17.07,15.54,-8.963093145869953,0.36149286589857477,Higher
Kern,Lost Hills/Wasco,9,12,7.27,6.617,-8.98211829436038,0.4241076590726206,Lower
Kern,Shafter,14,12,13.63,11.79,-13.499633162142345,0.36325375677746297,No Diff
Kings,Armona/Hanford/Lemoore,40,65,7.875,12.5,58.73015873015873,0.011113443300340364,No Diff
Kings,Avenal,3,3,4.224,3.72,-11.931818181818182,0.4389831400791062,Lower
Kings,Corcoran/Kettleman City/Stratford,9,11,4.763,8.154,71.19462523619568,0.12966451187633177,No Diff
Lake,Clearlake/Clearlake Oaks,33,31,34.29,30.79,-10.20705745115194,0.34199696511225963,Higher
Lake,Cobb/Hidden Valley/Middletown,10,19,13.86,33.32,140.40404040404042,0.02212747941567239,Higher
Lake,Kelseyville/Lakeport,15,21,19.96,24.68,23.64729458917835,0.2789832538568633,Higher
Lake,Lower Lake,11,12,17.14,26.5,54.60910151691949,0.17395854347159756,Higher
Lake,Lucerne/Nice/Upper Lake,16,7,30.2,14.65,-51.49006622516556,0.0692196644074542,No Diff
Lassen,Bieber/Madeline/Nubieber,1,1,5.74,36.01,527.3519163763066,0.20323547882044668,No Diff
