Indicator,Geography,Year,Strata,Strata Name,Numerator,Denominator,Rate,Age Adjusted Rate
Homicide,CALIFORNIA,2000,Sex,Female,386,17080000,2.26,2.252
Homicide,CALIFORNIA,2000,Sex,Male,1763,16920000,10.42,9.944
Homicide,CALIFORNIA,2000,Sex,Total,2149,34000000,6.32,6.154
Homicide,CALIFORNIA,2001,Sex,Female,442,17340000,2.549,2.553
Homicide,CALIFORNIA,2001,Sex,Male,1941,17170000,11.3,10.72
Homicide,CALIFORNIA,2001,Sex,Total,2383,34510000,6.905,6.716
Homicide,CALIFORNIA,2002,Sex,Female,419,17550000,2.387,2.383
Homicide,CALIFORNIA,2002,Sex,Male,2086,17380000,12,11.41
Homicide,CALIFORNIA,2002,Sex,Total,2505,34940000,7.17,6.972
Homicide,CALIFORNIA,2003,Sex,Female,412,17780000,2.317,2.315
Homicide,CALIFORNIA,2003,Sex,Male,2156,17610000,12.25,11.65
Homicide,CALIFORNIA,2003,Sex,Total,2568,35390000,7.257,7.07
Homicide,CALIFORNIA,2004,Sex,Female,385,17970000,2.143,2.134
Homicide,CALIFORNIA,2004,Sex,Male,2184,17780000,12.28,11.67
Homicide,CALIFORNIA,2004,Sex,Total,2569,35750000,7.185,6.985
Homicide,CALIFORNIA,2005,Sex,Female,374,18090000,2.068,2.067
Homicide,CALIFORNIA,2005,Sex,Male,2187,17900000,12.22,11.6
Homicide,CALIFORNIA,2005,Sex,Total,2562,35990000,7.12,6.926
Homicide,CALIFORNIA,2006,Sex,Female,408,18220000,2.239,2.222
Homicide,CALIFORNIA,2006,Sex,Male,2218,18030000,12.3,11.65
Homicide,CALIFORNIA,2006,Sex,Total,2627,36250000,7.248,7.028
Homicide,CALIFORNIA,2007,Sex,Female,380,18370000,2.068,2.063
Homicide,CALIFORNIA,2007,Sex,Male,2026,18180000,11.14,10.58
Homicide,CALIFORNIA,2007,Sex,Total,2406,36550000,6.582,6.397
Homicide,CALIFORNIA,2008,Sex,Female,392,18530000,2.116,2.114
Homicide,CALIFORNIA,2008,Sex,Male,1920,18330000,10.47,9.967
Homicide,CALIFORNIA,2008,Sex,Total,2312,36860000,6.273,6.111
Homicide,CALIFORNIA,2009,Sex,Female,352,18630000,1.889,1.875
Homicide,CALIFORNIA,2009,Sex,Male,1809,18440000,9.808,9.365
Homicide,CALIFORNIA,2009,Sex,Total,2161,37080000,5.828,5.69
Homicide,CALIFORNIA,2010,Sex,Female,349,18770000,1.859,1.826
Homicide,CALIFORNIA,2010,Sex,Male,1612,18560000,8.686,8.298
