Indicator,Geography,Year,Strata,Strata Name,Numerator,Denominator,Rate,Age Adjusted Rate,SE Adjusted Rate
Homicide,San Bernardino,2000,Sex,Female,27,862188,3.13157,3.07886,0.596293
Homicide,San Diego,2000,Sex,Female,26,1407430,1.84734,1.79201,0.352403
Homicide,Orange,2000,Sex,Female,18,1437510,1.25217,1.25804,0.298354
Homicide,Sacramento,2000,Sex,Female,16,628874,2.54423,2.53373,0.634265
Homicide,CALIFORNIA,2000,Sex,Female,386,17079600,2.26001,2.25211,0.114836
Homicide,Riverside,2000,Sex,Female,19,781403,2.43153,2.52262,0.580311
Homicide,Alameda,2000,Sex,Female,18,738302,2.43803,2.44645,0.579408
Homicide,Santa Clara,2000,Sex,Female,12,833488,1.43973,1.3642,0.397132
Homicide,San Joaquin,2000,Sex,Female,11,284385,3.868,3.95237,1.19379
Homicide,Los Angeles,2000,Sex,Female,145,4832330,3.00062,2.9885100000000002,0.249513
Homicide,Los Angeles,2000,Sex,Male,862,4711650,18.2951,17.174,0.594111
Homicide,Orange,2000,Sex,Male,44,1416390,3.1065,2.95249,0.447969
Homicide,Sacramento,2000,Sex,Male,61,601627,10.1392,9.96449,1.28219
Homicide,CALIFORNIA,2000,Sex,Male,1765,16921200,10.4307,9.9592,0.239679
Homicide,Alameda,2000,Sex,Male,107,710466,15.0605,13.7758,1.34245
Homicide,San Joaquin,2000,Sex,Male,26,283368,9.17534,9.53804,1.90817
Homicide,San Diego,2000,Sex,Male,82,1420940,5.77081,5.49991,0.623547
Homicide,San Bernardino,2000,Sex,Male,113,857002,13.1855,13.4714,1.33911
Homicide,Santa Clara,2000,Sex,Male,35,853927,4.09871,3.86368,0.66891
Homicide,Riverside,2000,Sex,Male,64,775868,8.24882,8.3917,1.05985
Homicide,Santa Barbara,2000,Sex,Total,11,399874,2.75087,2.66314,0.809786
Homicide,Kern,2000,Sex,Total,44,664373,6.62279,6.55088,0.992238
Homicide,Riverside,2000,Sex,Total,83,1557270,5.32984,5.4777,0.602651
Homicide,Sonoma,2000,Sex,Total,13,460477,2.82316,2.88296,0.802059
Homicide,Solano,2000,Sex,Total,25,395991,6.31327,6.07801,1.21694
Homicide,Merced,2000,Sex,Total,11,211109,5.21058,5.07861,1.55021
Homicide,Fresno,2000,Sex,Total,45,802224,5.60941,5.67189,0.855972
Homicide,Monterey,2000,Sex,Total,25,402854,6.20572,5.67961,1.14039
Homicide,Los Angeles,2000,Sex,Total,1007,9543980,10.5512,10.1134,0.321425
Homicide,San Bernardino,2000,Sex,Total,140,1719190,8.1433700000000009,8.12625,0.696342
Homicide,Alameda,2000,Sex,Total,125,1448770,8.62802,8.14728,0.734159
Homicide,Santa Clara,2000,Sex,Total,47,1687420,2.78533,2.66958,0.396138
Homicide,Contra Costa,2000,Sex,Total,59,953675,6.18659,6.52469,0.85409
Homicide,San Diego,2000,Sex,Total,108,2828370,3.81845,3.66715,0.355759
Homicide,San Francisco,2000,Sex,Total,51,778942,6.54734,6.24416,0.923547
Homicide,San Joaquin,2000,Sex,Total,37,567753,6.51692,6.64129,1.09665
Homicide,Tulare,2000,Sex,Total,13,368805,3.5249,3.33711,0.936274
Homicide,CALIFORNIA,2000,Sex,Total,2151,34000800,6.32632,6.16048,0.133344
Homicide,Orange,2000,Sex,Total,62,2853890,2.17247,2.15479,0.275899
Homicide,Ventura,2000,Sex,Total,29,756902,3.83141,3.91382,0.728746
Homicide,San Mateo,2000,Sex,Total,15,708384,2.1175,2.07683,0.545016
Homicide,Sacramento,2000,Sex,Total,77,1230500,6.25761,6.20024,0.708111
Homicide,Stanislaus,2000,Sex,Total,17,449767,3.77973,3.76463,0.917246
Homicide,San Bernardino,2001,Sex,Female,32,885147,3.61522,3.63975,0.647144
Homicide,San Francisco,2001,Sex,Female,16,384805,4.15795,3.82978,1.01731
Homicide,Orange,2001,Sex,Female,16,1456260,1.0987,1.10552,0.277178
Homicide,Riverside,2001,Sex,Female,29,814467,3.56061,3.72244,0.692257
Homicide,Kern,2001,Sex,Female,18,330250,5.45042,5.43607,1.28722
Homicide,San Diego,2001,Sex,Female,25,1428110,1.75056,1.73488,0.347564
Homicide,Los Angeles,2001,Sex,Female,162,4880160,3.31956,3.32126,0.262068
Homicide,Sacramento,2001,Sex,Female,16,646848,2.47353,2.51096,0.628353
Homicide,Alameda,2001,Sex,Female,17,746596,2.277,2.18411,0.532431
Homicide,San Joaquin,2001,Sex,Female,13,295041,4.40617,4.41014,1.22652
Homicide,CALIFORNIA,2001,Sex,Female,442,17339700,2.54906,2.5528,0.121584
Homicide,San Francisco,2001,Sex,Male,49,397418,12.3296,12.0649,1.80283
Homicide,San Diego,2001,Sex,Male,87,1441980,6.03336,5.65195,0.61633
Homicide,CALIFORNIA,2001,Sex,Male,1943,17173000,11.3142,10.732,0.245344
Homicide,San Joaquin,2001,Sex,Male,39,293540,13.2861,13.2148,2.13563
