Indicator,Geography,Year,Strata,Strata Name,Numerator,Denominator,Rate,Age Adjusted Rate,SE Adjusted Rate
Suicide,San Mateo,2000,Sex,Female,11,360214,3.05374,2.85767,0.866879
Suicide,Sacramento,2000,Sex,Female,35,628874,5.5655,5.57168,0.942636
Suicide,Orange,2000,Sex,Female,61,1437510,4.24346,4.33304,0.556939
Suicide,Butte,2000,Sex,Female,12,103680,11.5741,11.7811,3.45493
Suicide,San Diego,2000,Sex,Female,79,1407430,5.61307,5.71116,0.645029
Suicide,Santa Barbara,2000,Sex,Female,14,199809,7.00669,7.49838,2.00647
Suicide,San Bernardino,2000,Sex,Female,43,862188,4.98731,5.31977,0.816002
Suicide,San Joaquin,2000,Sex,Female,11,284385,3.868,4.11137,1.24083
Suicide,Sonoma,2000,Sex,Female,16,234122,6.83406,5.99165,1.52479
Suicide,Alameda,2000,Sex,Female,20,738302,2.70892,2.66721,0.598655
Suicide,Solano,2000,Sex,Female,11,197103,5.58084,5.76859,1.74608
Suicide,CALIFORNIA,2000,Sex,Female,682,17079600,3.99307,4.06709,0.155997
Suicide,Santa Clara,2000,Sex,Female,31,833488,3.71931,3.67282,0.663161
Suicide,Los Angeles,2000,Sex,Female,149,4832330,3.0834,3.27468,0.269122
Suicide,Riverside,2000,Sex,Female,41,781403,5.24698,5.54556,0.868553
Suicide,San Francisco,2000,Sex,Female,19,383182,4.95848,4.16471,0.980908
Suicide,Kern,2000,Sex,Female,11,323195,3.40351,3.73315,1.12704
Suicide,Ventura,2000,Sex,Female,15,379788,3.94957,3.98296,1.02956
Suicide,Los Angeles,2000,Sex,Male,562,4711650,11.9279,13.6801,0.599889
Suicide,Santa Clara,2000,Sex,Male,86,853927,10.0711,10.265,1.15938
Suicide,Kings,2000,Sex,Male,11,74473.2,14.7704,17.8009,6.31411
Suicide,Alameda,2000,Sex,Male,88,710466,12.3862,13.3917,1.46533
Suicide,Butte,2000,Sex,Male,28,99765.9,28.0657,28.0815,5.37654
Suicide,San Bernardino,2000,Sex,Male,137,857002,15.986,19.5506,1.75551
Suicide,San Mateo,2000,Sex,Male,42,348170,12.0631,12.504,1.9507
Suicide,Santa Barbara,2000,Sex,Male,36,200065,17.9941,19.9144,3.3333
Suicide,Kern,2000,Sex,Male,57,341178,16.7068,20.5829,2.90443
Suicide,Solano,2000,Sex,Male,27,198888,13.5755,16.1862,3.26664
Suicide,San Diego,2000,Sex,Male,254,1420940,17.8754,19.2719,1.24229
Suicide,Orange,2000,Sex,Male,174,1416390,12.2848,13.4336,1.04977
Suicide,Sonoma,2000,Sex,Male,38,226355,16.7878,17.8449,2.92556
Suicide,Riverside,2000,Sex,Male,129,775868,16.6265,18.6179,1.68509
Suicide,San Joaquin,2000,Sex,Male,46,283368,16.2333,18.8778,2.85564
Suicide,CALIFORNIA,2000,Sex,Male,2431,16921200,14.3666,15.8863,0.330866
Suicide,Ventura,2000,Sex,Male,50,377114,13.2586,15.2502,2.21288
Suicide,San Francisco,2000,Sex,Male,74,395760,18.6982,17.8447,2.1373
Suicide,Sacramento,2000,Sex,Male,90,601627,14.9594,16.2463,1.7482
Suicide,Santa Barbara,2000,Sex,Total,50,399874,12.5039,13.1843,1.86852
Suicide,Solano,2000,Sex,Total,38,395991,9.59618,10.42,1.7106
Suicide,Nevada,2000,Sex,Total,22,91872,23.9464,23.6786,5.41148
Suicide,Humboldt,2000,Sex,Total,24,126665,18.9476,19.3326,3.96894
Suicide,Monterey,2000,Sex,Total,22,402854,5.46104,5.73725,1.2351
Suicide,San Francisco,2000,Sex,Total,93,778942,11.9393,10.9976,1.16405
Suicide,Marin,2000,Sex,Total,27,247424,10.9124,9.95202,1.95011
Suicide,Siskiyou,2000,Sex,Total,12,44382,27.038,25.3807,7.49137
Suicide,Tehama,2000,Sex,Total,12,55832,21.4931,21.504,6.27135
Suicide,Santa Cruz,2000,Sex,Total,34,255869,13.288,13.3763,2.32206
Suicide,San Diego,2000,Sex,Total,333,2828370,11.7735,12.1277,0.669274
Suicide,Los Angeles,2000,Sex,Total,711,9543980,7.44972,8.03939,0.305322
Suicide,Riverside,2000,Sex,Total,170,1557270,10.9165,11.6099,0.895999
Suicide,Butte,2000,Sex,Total,40,203446,19.6612,19.4329,3.12984
Suicide,Fresno,2000,Sex,Total,59,802224,7.35455,8.0237,1.05537
Suicide,San Luis Obispo,2000,Sex,Total,29,247724,11.7066,11.4002,2.1422
Suicide,Sonoma,2000,Sex,Total,54,460477,11.727,11.4523,1.5677
Suicide,Tulare,2000,Sex,Total,27,368805,7.32094,8.2283,1.59654
Suicide,Kings,2000,Sex,Total,11,129764,8.47693,9.20165,2.91919
Suicide,Sutter,2000,Sex,Total,13,79202,16.4137,17.074,4.74438
Suicide,Alameda,2000,Sex,Total,108,1448770,7.45461,7.64369,0.743125
Suicide,Ventura,2000,Sex,Total,65,756902,8.58764,9.11386,1.13717
Suicide,Kern,2000,Sex,Total,68,664373,10.2352,11.6016,1.42694
Suicide,Contra Costa,2000,Sex,Total,69,953675,7.23517,7.34241,0.887808
Suicide,Stanislaus,2000,Sex,Total,36,449767,8.00414,8.37105,1.39956
Suicide,Merced,2000,Sex,Total,11,211109,5.21058,6.0892,1.86204
Suicide,San Bernardino,2000,Sex,Total,180,1719190,10.47,11.8875,0.901562
Suicide,El Dorado,2000,Sex,Total,19,158288,12.0034,12.3361,2.89162
Suicide,CALIFORNIA,2000,Sex,Total,3113,34000800,9.15566,9.56368,0.172398
Suicide,San Mateo,2000,Sex,Total,53,708384,7.48182,7.4469,1.03096
Suicide,Orange,2000,Sex,Total,235,2853890,8.23437,8.63044,0.568737
Suicide,Imperial,2000,Sex,Total,13,143151,9.08132,9.75071,2.73303
Suicide,Placer,2000,Sex,Total,28,251731,11.123,11.0836,2.11075
Suicide,Mendocino,2000,Sex,Total,16,86506,18.4958,16.85,4.24607
Suicide,San Joaquin,2000,Sex,Total,57,567753,10.0396,10.7668,1.43121
Suicide,Yolo,2000,Sex,Total,19,169818,11.1884,12.3057,2.86673
Suicide,Shasta,2000,Sex,Total,24,164150,14.6208,15.2358,3.15605
Suicide,Santa Clara,2000,Sex,Total,117,1687420,6.93368,6.82091,0.642324
Suicide,Sacramento,2000,Sex,Total,125,1230500,10.1585,10.4623,0.93878
Suicide,Alameda,2001,Sex,Female,24,746596,3.21459,3.25012,0.666401
Suicide,Sacramento,2001,Sex,Female,22,646848,3.40111,3.45152,0.736589
Suicide,Kern,2001,Sex,Female,12,330250,3.63361,3.83625,1.11404
Suicide,Sonoma,2001,Sex,Female,11,236637,4.64847,4.37737,1.33455
Suicide,San Mateo,2001,Sex,Female,11,359709,3.05803,2.93868,0.892816
Suicide,Orange,2001,Sex,Female,57,1456260,3.91413,4.02477,0.534572
Suicide,San Francisco,2001,Sex,Female,32,384805,8.31589,7.12272,1.28749
Suicide,San Bernardino,2001,Sex,Female,25,885147,2.82439,3.04779,0.612307
Suicide,CALIFORNIA,2001,Sex,Female,685,17339700,3.95047,4.0054,0.153249
Suicide,Fresno,2001,Sex,Female,21,407172,5.15753,5.51001,1.2101
Suicide,Riverside,2001,Sex,Female,42,814467,5.15675,5.38473,0.832661
Suicide,Ventura,2001,Sex,Female,15,385918,3.88684,3.9257,1.01508
Suicide,Stanislaus,2001,Sex,Female,11,235061,4.67964,4.94907,1.49356
Suicide,San Diego,2001,Sex,Female,79,1428110,5.53177,5.5252,0.623238
Suicide,Los Angeles,2001,Sex,Female,154,4880160,3.15563,3.23125,0.261705
Suicide,Contra Costa,2001,Sex,Female,19,497442,3.81954,3.55078,0.817899
Suicide,Santa Clara,2001,Sex,Female,29,836732,3.46587,3.4404,0.641806
Suicide,San Francisco,2001,Sex,Male,74,397418,18.6202,17.3619,2.08125
Suicide,Fresno,2001,Sex,Male,61,407831,14.9572,16.7175,2.1964
Suicide,Alameda,2001,Sex,Male,84,718968,11.6834,13.2949,1.50892
Suicide,Santa Clara,2001,Sex,Male,91,856439,10.6254,12.1524,1.35866
Suicide,Stanislaus,2001,Sex,Male,34,228067,14.9079,16.5879,2.88712
Suicide,San Mateo,2001,Sex,Male,40,347751,11.5025,13.2211,2.15983
