, Number of Deaths ,,,,,,,Rate (age-adjusted),,,,,,,Ranking of Rate,,,,,,
CONDITION, AIAN-NH , Asian-NH , Black-NH , Hisp , Multi-NH , NHPI-NH , White-NH ,AIAN-NH1,Asian-NH1,Black-NH1,Hisp1,Multi-NH1,NHPI-NH1,White-NH1,AsianRank,AIANRank,BlackRank,HispRank,NHPIRank,MUltiRank,WhiteRank
Tuberculosis,, 137 , 13 , 100 ,,, 57 ,,0.7,0.2,0.3,,,0.1,45,39,52,47,37,45,52
HIV/ and other Sexually transmitted diseases (STDs),, 71 , 453 , 562 , 25 ,, 798 ,,0.4,6.0,1.4,1.1,,1.4,47,40,33,44,38,42,45
Meningitis,,, 27 , 83 ,,, 77 ,,,0.4,0.2,,,0.1,52,41,50,51,39,46,50
Encephalitis,, 12 , 14 , 44 ,,, 66 ,,0.1,0.2,0.1,,,0.1,51,42,51,52,40,47,51
Hepatitis, 36 , 269 , 238 , 894 ,,," 1,236 ",5.2,1.4,2.9,2.4,,,1.7,42,33,42,39,41,48,44
Respiratory infections, 83 ," 2,789 "," 1,294 "," 3,766 ", 143 , 56 ," 10,984 ",12.8,14.5,18.7,13.8,7.2,15.9,14.5,7,17,15,14,16,18,15
Maternal conditions,, 31 , 37 , 118 ,,, 65 ,,0.2,0.6,0.2,,,0.2,50,43,47,50,42,49,49
Neonatal conditions,, 332 , 380 ," 1,708 ", 176 ,, 672 ,,2.6,6.9,3.1,3.1,,2.2,35,44,31,37,43,32,43
Other Infectious Diseases, 82 ," 1,166 ", 791 ," 2,512 ", 94 , 54 ," 7,272 ",13.1,6.2,11.3,8.4,4.9,15.3,9.9,22,15,26,21,18,25,24
Mouth and oropharynx cancers,, 413 , 192 , 434 , 33 ,," 2,106 ",,2.2,2.4,1.4,1.7,,2.9,36,45,44,43,44,41,39
Oesophagus cancer,, 304 , 160 , 616 , 42 ,," 2,828 ",,1.5,2.2,2.0,1.9,,3.8,41,46,45,42,45,37,35
Stomach cancer, 22 ," 1,020 ", 350 ," 1,768 ", 37 , 30 ," 1,716 ",3.3,5.3,5.0,5.5,1.9,7.9,2.4,27,35,36,30,30,38,42
Colon and rectum cancers, 69 ," 2,016 "," 1,254 "," 3,300 ", 129 , 65 ," 9,218 ",10.6,10.4,17.4,10.6,6.4,16.3,12.8,13,19,16,16,14,19,16
Liver cancer, 70 ," 1,832 ", 715 ," 3,146 ", 96 , 44 ," 4,447 ",9.9,9.3,9.2,10.2,4.7,10.7,5.9,14,23,29,17,25,26,31
Pancreas cancer, 49 ," 1,630 ", 986 ," 2,634 ", 104 , 47 ," 7,937 ",7.7,8.4,13.3,9.0,5.4,12.6,10.7,17,27,24,19,23,23,21
"Trachea, bronchus and lung cancers", 163 ," 4,344 "," 2,627 "," 3,926 ", 333 , 127 ," 22,644 ",23.9,22.4,35.7,14.2,17.7,33.2,30.5,4,9,5,11,6,5,5
Melanoma and other skin cancers,, 119 , 59 , 350 , 13 ,," 3,281 ",,0.6,0.8,1.1,0.7,,4.5,46,47,46,45,46,43,33
Breast cancer, 38 ," 1,443 "," 1,192 "," 2,439 ", 148 , 74 ," 8,119 ",6.0,7.4,16.2,7.3,7.3,17.4,11.5,18,32,18,25,13,17,19
Uterine cancer, 13 , 624 , 533 ," 1,306 ", 69 , 60 ," 2,529 ",1.6,3.2,7.1,3.8,3.4,13.0,3.6,31,38,30,33,21,31,36
Ovary cancer, 16 , 555 , 271 ," 1,004 ", 38 , 19 ," 2,924 ",2.7,2.8,3.6,3.1,1.9,4.3,4.1,34,36,40,36,35,36,34
Prostate cancer, 40 , 775 ," 1,177 "," 1,720 ", 71 , 25 ," 6,911 ",6.4,4.1,17.0,6.7,4.1,7.6,9.1,28,29,17,26,31,29,26
"Kidney, renal pelvis and ureter cancer", 41 , 383 , 273 ," 1,133 ",,," 2,439 ",6.2,2.0,3.8,3.7,,,3.3,37,30,38,35,47,50,38
Bladder cancer,, 362 , 270 , 574 , 31 ,," 3,691 ",,1.9,3.8,2.2,1.8,,4.9,38,48,37,40,48,39,32
Brain and nervous system cancers, 16 , 550 , 266 ," 1,278 ", 59 , 13 ," 4,124 ",2.6,3.0,3.6,3.7,2.7,2.9,6.1,32,37,39,34,36,33,30
Lymphomas and multiple myeloma, 41 ," 1,153 ", 715 ," 2,252 ", 85 , 30 ," 6,295 ",6.1,6.0,10.1,7.8,4.7,8.4,8.6,23,31,27,24,29,27,27
Leukaemia, 28 , 713 , 364 ," 1,404 ", 45 , 20 ," 4,482 ",4.4,3.9,5.2,4.3,2.1,4.8,6.3,29,34,35,32,33,35,29
Other malignant neoplasms, 84 ," 2,229 "," 1,488 "," 4,422 ", 179 , 75 ," 12,460 ",13.0,11.6,20.5,14.2,8.5,17.8,17.3,11,16,14,12,12,14,12
Hypertensive heart disease, 160 ," 3,715 "," 3,635 "," 6,133 ", 241 , 106 ," 19,627 ",25.2,19.2,51.2,22.1,12.9,27.4,25.6,5,8,4,5,7,9,7
Ischaemic heart disease, 495 ," 11,173 "," 8,955 "," 19,063 ", 874 , 500 ," 70,683 ",76.7,57.8,125.1,68.9,46.7,132.7,92.6,1,1,1,1,1,1,1
Stroke, 165 ," 6,464 "," 3,619 "," 9,033 ", 327 , 190 ," 28,069 ",26.5,33.6,52.6,33.2,17.9,54.2,36.5,2,7,3,3,2,4,4
"Cardiomyopathy, myocarditis, endocarditis", 49 , 707 ," 1,104 "," 1,694 ", 86 , 65 ," 5,275 ",8.0,3.8,15.2,5.3,4.4,16.1,7.6,30,26,19,31,15,28,28
Congestive heart failure, 99 ," 1,642 "," 1,526 "," 3,553 ", 145 , 90 ," 14,418 ",15.0,8.5,22.1,13.9,8.3,25.2,18.2,16,13,11,13,9,15,10
Other or unspecified cardiovascular diseases, 125 ," 2,683 "," 2,178 "," 4,652 ", 258 , 125 ," 22,701 ",19.6,14.1,31.1,16.7,13.7,34.5,30.0,8,11,8,9,5,8,6
Diabetes mellitus, 107 ," 2,071 "," 1,873 "," 4,955 ", 184 , 96 ," 8,277 ",17.3,10.8,26.0,16.9,9.2,25.0,11.4,12,12,10,8,10,13,20
