nameOnly,Asian-NH,Black-NH,Hisp,White-NH,AsianRank,BlackRank,HispRank,WhiteRank,Asian-NH1,Black-NH1,Hisp1,White-NH1,AsianRank1,BlackRank1,HispRank1,WhiteRank1,Aratio,Bratio,Hratio,Wratio,2003-2005.x,2015-2017.x,2003-2005.y,2015-2017.y,perChange
Tuberculosis,280,22,182,114,45,51,49,51,1.53,0.2861,0.6202,0.1553,45,51,47,51,9.851899549259498,1.8422408242112043,3.993560849967804,1,88,22,1.615,0.2861,-82.3
HIV/ and other Sexually transmitted diseases (STDs),148,1020,1194,1654,47,31,42,44,0.8198,13.5,2.978,2.822,47,32,44,45,1,16.467431080751403,3.6325933154427914,3.442303000731886,1956,1020,29.19,13.5,-53.8
Meningitis,,48,138,170,51,49,50,48,,0.6485,0.3881,0.2695,51,49,50,49,,2.406307977736549,1.440074211502783,1,80,48,1.285,0.6485,-49.5
Encephalitis,28,30,80,156,50,50,51,49,0.1847,0.4856,0.2336,0.2468,50,50,51,50,1,2.6291283161884134,1.2647536545749865,1.3362208987547373,20,30,0.3217,0.4856,50.9
Hepatitis,564,572,2086,2920,41,37,38,41,2.997,7.026,5.867,4.199,41,41,38,44,1,2.3443443443443446,1.9576242909576245,1.4010677344010678,356,572,5.725,7.026,22.7
Respiratory infections,5414,2428,7048,21440,7,17,14,12,29.47,36.26,27.26,28.5,7,15,13,15,1.0810711665443873,1.33015407190022,1,1.0454878943506969,2838,2428,61.58,36.26,-41.1
Maternal conditions,50,90,226,128,49,48,47,50,0.3254,1.395,0.4712,0.3333,49,46,49,48,1,4.287031346035648,1.4480639213275968,1.024277811923786,90,90,1.308,1.395,6.7
Neonatal conditions,636,856,3610,1456,38,33,29,45,4.989,15.52,6.568,4.83,35,30,36,43,1.032919254658385,3.2132505175983437,1.3598343685300207,1,1358,856,21.98,15.52,-29.4
Other Infectious Diseases,2238,1566,4724,14260,22,26,24,24,12.31,22.72,16.58,19.52,22,26,23,24,1,1.8456539398862712,1.3468724614134848,1.5857026807473598,1208,1566,23.1,22.72,-1.6
Mouth and oropharynx cancers,836,380,904,4192,35,44,44,38,4.487,4.908,3.018,5.806,36,44,43,38,1.4867461895294898,1.6262425447316107,1,1.9237905897945662,414,380,7.47,4.908,-34.3
Oesophagus cancer,572,320,1200,5690,40,45,41,35,2.953,4.432,4.094,7.828,42,45,41,35,1,1.5008465966813411,1.3863867253640367,2.650863528614968,452,320,8.72,4.432,-49.2
Stomach cancer,2030,760,3428,3516,26,34,30,39,10.95,11.03,11.17,4.97,26,34,29,42,2.2032193158953723,2.219315895372233,2.2474849094567406,1,776,760,15.36,11.03,-28.2
