Cause_Name,0 - 4,5-14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,missing
Alzheimer's disease and other dementias,-,-,-,-,13,88,752,4031,16816,52144,-
Asthma,11,26,39,64,79,130,198,149,180,289,-
Bladder cancer,-,-,-,-,-,114,474,1065,1482,1806,-
Brain and nervous system cancers,54,121,85,140,323,665,1390,1610,1186,749,-
Breast cancer,-,-,-,-,654,1610,2941,3134,2575,2421,-
"Cardiomyopathy, myocarditis, endocarditis",55,25,91,256,474,928,1513,1655,1814,2201,-
Chronic obstructive pulmonary disease,11,-,-,21,74,670,3542,8432,12474,14155,-
Cirrhosis of the liver,11,-,32,472,1434,3698,5987,4530,2416,1280,-
Colon and rectum cancers,-,-,-,129,461,1501,3020,3701,3702,3577,-
Congenital anomalies,1494,128,130,156,146,219,347,183,116,128,-
Congestive heart failure,-,-,-,57,130,395,1198,2305,4854,12601,-
Diabetes mellitus,-,-,58,174,392,1359,3093,4228,4217,4123,-
Digestive diseases (excluding cirrhosis),44,22,49,148,239,620,1407,2245,2941,4452,-
Encephalitis,-,-,-,-,-,17,11,33,29,14,-
"Endocrine, blood, immune disorders",133,-,142,299,494,850,1589,2067,2306,2989,-
Hepatitis,-,-,-,-,78,399,1125,737,279,98,-
HIV/ and other Sexually transmitted diseases (STDs),-,-,-,172,272,558,577,244,93,30,-
Homicide/Interpersonal violence,123,59,1509,1621,1120,753,521,210,91,-,-
Hypertensive heart disease,-,-,32,173,576,1736,3861,5040,7007,15329,-
Ischaemic heart disease,-,-,31,231,1068,4957,14111,21182,26633,44035,-
Kidney diseases,-,-,-,150,390,1248,3170,4941,5783,6440,-
"Kidney, renal pelvis and ureter cancer",-,11,-,16,89,292,898,1181,1033,783,-
Leukaemia,62,89,188,165,201,353,788,1602,1961,1665,-
Liver cancer,-,-,12,30,108,701,2761,3234,2286,1250,-
Lymphomas and multiple myeloma,-,-,41,71,149,531,1479,2574,3232,2516,-
Maternal conditions,-,-,33,110,93,-,-,-,-,-,-
Melanoma and other skin cancers,-,-,-,46,88,231,632,937,900,1009,-
Meningitis,19,-,-,-,18,32,46,25,32,20,-
Mental Health disorders,-,-,20,39,37,60,100,114,95,164,-
Mouth and oropharynx cancers,-,-,-,20,74,277,745,897,700,491,-
Neonatal conditions,3303,13,-,-,-,-,-,-,-,-,-
Oesophagus cancer,-,-,-,-,62,291,866,1256,921,579,-
Other Chronic Conditions,29,14,68,161,264,573,1344,2312,3258,4661,-
Other Infectious Diseases,178,51,68,138,257,666,1478,2291,2826,4073,-
Other malignant neoplasms,-,86,213,323,540,1403,3724,5272,5312,4117,-
Other neurological conditions,111,124,299,386,460,944,1845,3514,5736,5442,-
Other or unspecified cardiovascular diseases,64,29,82,364,663,1466,2896,4491,7412,15364,-
Other respiratory diseases,76,26,35,72,128,395,1241,2620,3947,5259,-
Ovary cancer,-,-,-,-,124,514,1137,1305,1102,630,-
Pancreas cancer,-,-,-,22,144,706,2495,3999,3668,2385,-
Prostate cancer,-,-,-,-,-,147,957,2310,3464,3864,-
Respiratory infections,107,-,71,134,265,579,1627,2941,4733,8708,-
Stomach cancer,-,-,-,69,247,469,957,1141,1148,910,-
Stroke,42,-,48,216,643,1786,3997,6583,12039,22676,-
Substance use,28,-,963,2727,2789,4218,4630,1593,300,102,-
Suicide/Self-harm,-,-,1469,2053,1872,2265,2302,1408,862,480,-
"Symptoms, signs and ill-defined conditions, not elsewhere classified",364,32,154,363,383,523,664,369,260,511,15
"Trachea, bronchus and lung cancers",-,-,-,45,200,1246,5636,10269,10697,6183,-
Tuberculosis,-,-,-,-,-,17,45,72,95,71,-
Unintentional injuries,514,345,2769,3055,2455,2991,3789,3448,3709,4840,11
Unknown/Missing Value,-,-,-,16,15,35,77,98,107,111,-
Uterine cancer,-,-,-,-,273,612,1199,1464,961,543,-
