comID,yearG,sex,CAUSE,Ndeaths,YLL,mean.age,Level,county,pop,YLLper,cDeathRate,rateLCI,rateUCI,comName,oDeaths,aRate,aLCI,aUCI,aSE,YLL.adj.rate
1.1,2013-2017,Total,0,1758,11540,75.63,lev0,Alameda,57830,3990,608,579.5,636.4,Livermore Central and West/Spring Town,1758,653.7,623,685.8,15.9,3650
1.1,2013-2017,Total,D01,38,274,71.74,lev2,Alameda,57830,94.76,13.14,8.963,17.32,Livermore Central and West/Spring Town,38,12.86,8.998,17.97,2.147,72.53
1.1,2013-2017,Total,D10,35,198,76.06,lev2,Alameda,57830,68.47,12.1,8.094,16.11,Livermore Central and West/Spring Town,35,13.39,9.266,18.83,2.3,67.1
1.1,2013-2017,Total,E02,32,918,46.5,lev2,Alameda,57830,317.5,11.07,7.232,14.9,Livermore Central and West/Spring Town,32,10.51,7.109,15.16,1.909,316.6
1.2,2013-2017,Total,0,969,6803,74.15,lev0,Alameda,39450,3449,491.2,460.3,522.1,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,969,548.8,513.6,586,18.29,3142
1.2,2013-2017,Total,D01,12,90,71,lev2,Alameda,39450,45.62,6.083,2.641,9.525,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,12,5.715,2.824,10.66,1.745,28.92
1.2,2013-2017,Total,D10,18,35,80.06,lev2,Alameda,39450,17.74,9.125,4.909,13.34,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,18,10.6,6.177,17.15,2.572,13.03
1.2,2013-2017,Total,E02,18,445,51.33,lev2,Alameda,39450,225.6,9.125,4.909,13.34,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,18,8.902,5.124,14.69,2.201,236
10,2013-2017,Total,0,2887,21160,73.37,lev0,Butte,48380,8746,1193,1150,1237,Oroville/Palermo/Thermalito,2887,889.8,856.7,924.2,17.06,8343
10,2013-2017,Total,D01,46,260,73.78,lev2,Butte,48380,107.5,19.02,13.52,24.51,Oroville/Palermo/Thermalito,46,14.13,10.26,19.51,2.136,99.36
10,2013-2017,Total,D10,69,316,76.23,lev2,Butte,48380,130.6,28.52,21.79,35.25,Oroville/Palermo/Thermalito,69,20.43,15.78,26.53,2.525,112.7
10,2013-2017,Total,E02,45,887,57.6,lev2,Butte,48380,366.7,18.6,13.17,24.04,Oroville/Palermo/Thermalito,45,17.11,12.3,23.56,2.661,393.7
10,2013-2017,Total,E03,17,637,37.53,lev2,Butte,48380,263.3,7.027,3.687,10.37,Oroville/Palermo/Thermalito,17,7.605,4.325,12.71,1.916,291
100,2013-2017,Total,0,46,210,76.78,lev0,Modoc,1504,2793,611.7,434.9,788.5,Adin/Lookout/Newell,46,337.1,243,476.4,51.97,2373
102,2013-2017,Total,0,114,915,71.23,lev0,Mono,6016,3042,379,309.4,448.6,Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker,114,246.7,198.5,309,25.92,2903
103,2013-2017,Total,0,72,1053,63.28,lev0,Mono,8035,2621,179.2,137.8,220.6,Mammoth Lakes,NA,NA,NA,NA,NA,NA
104,2013-2017,Total,0,20,70,78.85,lev0,Monterey,1514,924.7,264.2,148.4,380,Big Sur/Lucia,20,188.7,105.5,366.9,48.76,722.8
105,2013-2017,Total,0,338,4237,67.49,lev0,Monterey,16840,5033,401.5,358.7,444.3,King City/San Lucas,338,579.7,510.1,657.6,36.62,5055
105,2013-2017,Total,E03,17,861,24.35,lev2,Monterey,16840,1023,20.19,10.59,29.79,King City/San Lucas,17,16.81,9.72,32.4,4.128,833.2
106,2013-2017,Total,0,81,901,67.28,lev0,Monterey,4844,3720,334.4,261.6,407.3,Bradley/San Ardo,81,447.2,347.8,570.7,53.89,4446
107,2013-2017,Total,0,818,9845,68.2,lev0,Monterey,56920,3459,287.4,267.7,307.1,Chualar/Gonzalez/Greenfield/Soledad,818,502.6,466.5,540.8,18.72,3482
107,2013-2017,Total,D01,22,155,70.27,lev2,Monterey,56920,54.47,7.731,4.5,10.96,Chualar/Gonzalez/Greenfield/Soledad,22,14.13,8.528,22.29,3.228,59.05
107,2013-2017,Total,D10,30,106,76.4,lev2,Monterey,56920,37.25,10.54,6.77,14.31,Chualar/Gonzalez/Greenfield/Soledad,30,21.99,14.6,31.98,4.165,43.7
107,2013-2017,Total,E02,11,380,40.45,lev2,Monterey,56920,133.5,3.865,1.581,6.15,Chualar/Gonzalez/Greenfield/Soledad,11,4.365,2.087,8.984,1.385,128.7
107,2013-2017,Total,E03,24,1069,30.62,lev2,Monterey,56920,375.6,8.433,5.059,11.81,Chualar/Gonzalez/Greenfield/Soledad,24,8.63,5.381,14,1.858,358.3
108,2013-2017,Total,0,1542,12110,72.92,lev0,Monterey,57200,4235,539.2,512.3,566.1,Carmel Valley/Castroville/Marina/Moss Landing/Ord,1542,535.4,508.6,563.4,13.86,3975
108,2013-2017,Total,D01,34,187,74.74,lev2,Monterey,57200,65.39,11.89,7.893,15.89,Carmel Valley/Castroville/Marina/Moss Landing/Ord,34,11.99,8.246,17.09,2.09,63.26
108,2013-2017,Total,D10,44,180,77.57,lev2,Monterey,57200,62.94,15.39,10.84,19.93,Carmel Valley/Castroville/Marina/Moss Landing/Ord,44,15.37,11.12,20.95,2.346,51.7
108,2013-2017,Total,E02,35,902,49.86,lev2,Monterey,57200,315.4,12.24,8.184,16.29,Carmel Valley/Castroville/Marina/Moss Landing/Ord,35,12.4,8.508,17.68,2.176,341.1
108,2013-2017,Total,E03,16,645,35.5,lev2,Monterey,57200,225.5,5.595,2.853,8.336,Carmel Valley/Castroville/Marina/Moss Landing/Ord,16,5.262,2.97,8.945,1.342,211.9
109.1,2013-2017,Total,0,1165,10680,71.11,lev0,Monterey,44330,4819,525.6,495.4,555.8,Aromas/Las Lomas/Pajaro/Prunedale,1165,668.5,629.1,709.8,20.4,4545
109.1,2013-2017,Total,D01,22,76,78.32,lev2,Monterey,44330,34.29,9.925,5.778,14.07,Aromas/Las Lomas/Pajaro/Prunedale,22,13.53,8.325,20.92,2.983,28.15
