nameOnly,Asian-NH,Black-NH,Hisp,White-NH,AsianRank,BlackRank,HispRank,WhiteRank,Asian-NH1,Black-NH1,Hisp1,White-NH1,AsianRank1,BlackRank1,HispRank1,WhiteRank1,Aratio,Bratio,Hratio,Wratio,2003-2005.x,2015-2017.x,2003-2005.y,2015-2017.y,perChange
Tuberculosis,140,11,91,57,44,50,48,50,0.7652,0.1431,0.3101,0.07764,44,50,46,50,9.855744461617723,1.8431221020092736,3.994075218959299,1,44,11,0.8076,0.1431,-82.3
HIV/ and other Sexually transmitted diseases (STDs),74,510,597,827,46,31,42,44,0.4099,6.749,1.489,1.411,46,32,44,45,1,16.464991461332033,3.6325933154427914,3.442303000731886,978,510,14.6,6.749,-53.8
Meningitis,17,24,69,85,49,48,49,47,0.1008,0.3243,0.194,0.1348,49,48,49,48,1,3.2172619047619047,1.9246031746031746,1.3373015873015872,40,24,0.6426,0.3243,-49.5
Encephalitis,14,15,40,78,50,49,50,48,0.09237,0.2428,0.1168,0.1234,50,49,50,49,1,2.628559055970553,1.2644798094619467,1.3359315795171594,,15,,0.2428,
Hepatitis,282,286,1043,1460,41,37,38,41,1.498,3.513,2.933,2.099,41,41,38,44,1,2.3451268357810413,1.9579439252336448,1.4012016021361817,178,286,2.863,3.513,22.7
Respiratory infections,2707,1214,3524,10720,7,17,14,12,14.73,18.13,13.63,14.25,7,15,13,15,1.0807043286867204,1.33015407190022,1,1.0454878943506969,1419,1214,30.79,18.13,-41.1
Maternal conditions,25,45,113,64,48,47,46,49,0.1627,0.6974,0.2356,0.1666,48,45,48,47,1,4.286416717885679,1.4480639213275968,1.0239704978488013,45,45,0.6538,0.6974,6.7
Neonatal conditions,318,428,1805,728,38,33,29,45,2.495,7.759,3.284,2.415,35,30,36,43,1.0331262939958592,3.2128364389233957,1.3598343685300207,1,679,428,10.99,7.759,-29.4
Other Infectious Diseases,1119,783,2362,7131,22,27,24,24,6.155,11.36,8.292,9.761,22,27,23,24,1,1.8456539398862712,1.3471974004874085,1.5858651502843215,604,783,11.55,11.36,-1.6
Mouth and oropharynx cancers,418,190,452,2096,35,43,44,38,2.244,2.454,1.509,2.903,36,43,43,38,1.4870775347912528,1.6262425447316107,1,1.9237905897945662,207,190,3.735,2.454,-34.3
Oesophagus cancer,286,160,600,2845,40,44,41,35,1.477,2.216,2.047,3.914,42,44,41,35,1,1.5003385240352065,1.3859174001354095,2.649966147596479,226,160,4.36,2.216,-49.2
Stomach cancer,1015,380,1714,1758,26,34,30,39,5.473,5.513,5.583,2.485,26,34,29,42,2.2024144869215294,2.2185110663983902,2.2466800804828977,1,388,380,7.679,5.513,-28.2
Colon and rectum cancers,2032,1270,3203,9335,12,15,16,16,10.86,18.11,10.81,13.09,12,16,15,16,1.0046253469010176,1.6753006475485661,1,1.2109158186864013,1331,1270,26.2,18.11,-30.9
Liver cancer,1842,670,3013,4418,14,29,17,30,9.753,8.888,10.16,5.989,14,29,18,31,1.628485556854233,1.4840540991818334,1.696443479712807,1,452,670,8.243,8.888,7.8
Pancreas cancer,1559,936,2487,7915,15,22,21,22,8.355,12.96,8.837,10.85,17,24,19,22,1,1.5511669658886895,1.0576900059844403,1.298623578695392,760,936,14.99,12.96,-13.5
"Trachea, bronchus and lung cancers",4399,2726,3961,23770,4,5,11,5,23.55,37.94,15.01,32.65,4,5,11,5,1.568954030646236,2.5276482345103264,1,2.175216522318454,3056,2726,59.06,37.94,-35.8
Melanoma and other skin cancers,106,46,327,3373,45,46,45,33,0.5655,0.616,1.12,4.744,45,47,45,33,1,1.0893015030946065,1.9805481874447393,8.389036251105216,49,46,0.8955,0.616,-31.2
Breast cancer,1409,1225,2420,8077,19,16,23,20,7.43,17.04,7.432,11.56,19,18,25,19,1,2.2934051144010765,1.0002691790040377,1.5558546433378198,1126,1225,19.98,17.04,-14.7
Uterine cancer,613,521,1261,2511,31,30,35,36,3.228,7.146,3.817,3.639,31,31,34,36,1,2.2137546468401483,1.1824659231722427,1.1273234200743494,333,521,6.206,7.146,15.1
Ovary cancer,553,261,956,3008,32,40,39,34,2.92,3.554,3.144,4.226,33,40,37,34,1,1.2171232876712328,1.0767123287671234,1.4472602739726028,243,261,4.717,3.554,-24.7
Prostate cancer,706,1142,1679,6683,28,18,32,25,3.848,17.05,6.83,8.875,29,17,26,27,1,4.430873180873181,1.774948024948025,2.3063929313929314,1010,1142,21.95,17.05,-22.3
"Kidney, renal pelvis and ureter cancer",403,268,1123,2447,36,38,37,37,2.149,3.756,3.856,3.379,37,38,33,37,1,1.7477896696137738,1.7943229409027455,1.5723592368543509,233,268,4.331,3.756,-13.3
Bladder cancer,341,257,549,3711,37,41,43,32,1.859,3.789,2.204,4.969,38,37,40,32,1,2.038192576654115,1.1855836471221088,2.6729424421732118,222,257,4.696,3.789,-19.3
Brain and nervous system cancers,548,267,1246,4048,33,39,36,31,3.054,3.752,3.739,6.079,32,39,35,30,1,1.2285527177472169,1.2242960052390308,1.9905042567125082,229,267,4.089,3.752,-8.2
Lymphomas and multiple myeloma,1130,756,2216,6446,21,28,27,27,6.104,10.96,8.075,8.924,23,28,24,26,1,1.7955439056356488,1.3229030144167757,1.4619921363040629,691,756,13.35,10.96,-17.9
Leukaemia,674,332,1415,4490,30,36,34,29,3.782,4.887,4.485,6.429,30,36,32,29,1,1.2921734531993654,1.1858804865150714,1.6998942358540456,367,332,6.917,4.887,-29.3
Other malignant neoplasms,2116,1504,4210,12340,11,13,10,10,11.45,21.12,14.12,17.4,11,12,12,12,1,1.8445414847161574,1.233187772925764,1.519650655021834,1370,1504,25.93,21.12,-18.5
Hypertensive heart disease,3502,3480,5708,19150,5,4,7,7,18.88,50.19,21.4,25.2,5,4,6,7,1,2.6583686440677967,1.1334745762711864,1.3347457627118644,2902,3480,56.75,50.19,-11.6
Ischaemic heart disease,10990,8880,18760,72530,1,1,1,1,59.21,128,71.27,96.05,1,1,1,1,1,2.1617969937510555,1.2036818105049822,1.6221921972639757,10820,8880,225.4,128,-43.2
Stroke,6171,3490,8629,27580,2,3,3,4,33.51,52.3,33.13,36.25,2,3,3,4,1.0114699667974645,1.5786296408089342,1,1.094174464231814,3810,3490,80.11,52.3,-34.7
"Cardiomyopathy, myocarditis, endocarditis",698,1141,1707,5416,29,19,31,28,3.874,16.09,5.54,7.895,28,19,30,28,1,4.153329891584925,1.4300464636035106,2.0379452762003094,1237,1141,22.21,16.09,-27.6
Congestive heart failure,1411,1364,3225,13860,18,14,15,9,7.615,20.42,13.22,17.66,18,13,14,11,1,2.6815495732107686,1.7360472751149048,2.319107025607354,708,1364,15.23,20.42,34.1
Other or unspecified cardiovascular diseases,2546,2094,4473,23130,8,8,9,6,13.92,30.69,16.79,30.74,8,8,9,6,1,2.2047413793103448,1.20617816091954,2.208333333333333,1739,2094,34.32,30.69,-10.6
Diabetes mellitus,1948,1846,4796,8229,13,9,8,18,10.55,26.18,17.26,11.5,13,9,8,20,1,2.4815165876777248,1.6360189573459716,1.0900473933649288,2398,1846,47.19,26.18,-44.5
