nameOnly,deaths2000,deaths2010,deaths2017,change_2000_2017,YLL2000,YLL2010,YLL2017,rankYLL2000,rankYLL2010,rankYLL2017,rate2000,rate2010,rate2017,rankRATE2000,rankRATE2010,rankRATE2017
Ischaemic heart disease,53590,39130,37800,-55.3,2612.0,1756.0,1637.0,1,1,1,190.4,107.4,85.2,1,1,1
Unintentional injuries,7149,6781,9279,-1.2,928.5,670.5,846.8,2,3,2,22.38,18.18,22.11,8,8,8
Substance use (Mental Health),2942,4225,5716,52.2,405.1,511.8,640.4,11,6,3,8.913,10.95,13.57,25,17,16
Stroke,18100,13550,16230,-42.5,854.2,594.1,634.6,4,4,4,64.39,37.44,37.04,2,3,3
Alzheimer’s disease and other dementias,6767,17910,24880,128.9,217.5,478.9,606.1,25,7,5,24.66,48.99,56.44,7,2,2
"Trachea, bronchus and lung cancers",13700,12900,11530,-44.6,914.4,741.2,595.3,3,2,6,47.36,36.13,26.26,3,4,5
Chronic obstructive pulmonary disease,12090,12390,13260,-28.7,617.4,537.3,534.1,5,5,7,42.73,35.04,30.47,4,5,4
Cirrhosis of the liver,4867,5443,6648,-7,457.2,468.6,522.2,7,8,8,16.06,14.27,14.94,13,13,13
Hypertensive heart disease,5867,8119,11530,25.5,314.2,387.1,488.0,17,12,9,20.68,22.03,25.95,10,7,6
Suicide/Self-harm,3113,3805,4230,7.2,409.4,446.7,474.7,10,9,10,9.564,10.01,10.25,24,23,20
Other or unspecified cardiovascular diseases,8668,9416,10980,-18.3,467.2,424.9,465.5,6,10,11,30.54,25.74,24.94,5,6,7
Other malignant neoplasms,6020,6332,6965,-23,435.0,402.6,412.9,8,11,12,20.62,17.44,15.87,11,10,11
Kidney diseases,2127,3871,7549,131.8,128.7,189.7,375.7,35,28,13,7.42,10.75,17.2,27,19,9
Other neurological conditions,3407,4601,6403,29.1,254.3,285.8,343.7,20,18,14,11.63,12.83,15.02,20,14,12
Diabetes mellitus,6000,6332,5993,-34.3,393.2,362.8,332.6,12,13,15,20.75,17.54,13.63,9,9,15
Colon and rectum cancers,5248,5224,5376,-32.9,333.8,311.4,302.8,16,16,16,18.21,14.35,12.22,12,12,17
Breast cancer,4263,4244,4600,-27.6,344.9,296.3,296.7,15,17,17,14.38,11.41,10.41,15,16,19
Homicide/Interpersonal violence,2149,1961,2019,-16.4,382.3,315.2,288.5,13,15,18,6.154,5.118,5.143,30,31,31
Neonatal conditions,1572,1385,1133,-30.3,424.6,340.3,262.4,9,14,19,4.431,3.788,3.087,35,36,39
Respiratory infections,8431,5888,6333,-52.2,365.2,239.0,253.4,14,19,20,30.22,16.25,14.46,6,11,14
Pancreas cancer,2879,3792,4500,1.8,183.6,223.1,242.7,27,20,21,9.987,10.49,10.17,23,22,21
Other respiratory diseases,3539,3904,5117,-4.4,220.4,200.3,232.7,24,24,22,12.31,10.88,11.77,17,18,18
Congestive heart failure,3149,4618,7172,41.9,117.4,149.4,230.3,36,32,23,11.4,12.63,16.18,21,15,10
"Endocrine, blood, immune disorders",1993,2731,3673,26.8,173.3,193.3,224.9,28,25,24,6.679,7.424,8.47,29,28,25
Other Infectious Diseases,2177,3267,4044,24.5,166.3,177.1,209.5,30,30,25,7.422,9.006,9.243,26,25,24
Liver cancer,1718,2678,3440,29.6,134.6,186.0,209.4,34,29,26,5.836,7.179,7.563,31,29,28
Digestive diseases (excluding cirrhosis),3866,3793,4116,-30.9,226.9,191.2,198.3,22,27,27,13.54,10.49,9.356,16,22,23
Other Chronic Conditions,4257,3804,4215,-35.6,224.2,193.1,194.0,23,26,28,15.02,10.54,9.679,14,20,22
"Cardiomyopathy, myocarditis, endocarditis",3607,3148,2980,-44.1,275.1,213.3,188.6,19,21,29,12.27,8.568,6.854,18,26,29
Lymphomas and multiple myeloma,3388,3417,3609,-28.5,234.5,200.5,184.1,21,23,30,11.64,9.532,8.322,19,24,26
Congenital anomalies,1278,1100,1015,-31.1,282.8,212.5,167.2,18,22,31,3.734,2.962,2.573,41,42,42
Brain and nervous system cancers,1707,1803,2045,-17.8,160.4,148.2,147.2,32,33,32,5.659,4.896,4.653,32,32,32
Prostate cancer,3008,3045,3456,-25.7,141.4,129.9,140.2,33,34,33,10.69,8.565,7.938,22,27,27
Leukaemia,2104,2344,2338,-22.8,167.9,159.8,138.2,29,31,34,7.127,6.537,5.501,28,30,30
"Symptoms, signs and ill-defined conditions, not elsewhere classified",1169,870,1315,-13.4,166.2,98.9,137.1,31,39,35,3.599,2.288,3.115,42,44,38
Uterine cancer,1121,1368,1687,2,92.8,100.8,115.5,39,37,36,3.767,3.689,3.844,39,37,33
Ovary cancer,1555,1541,1630,-31.2,113.6,100.2,100.5,37,38,37,5.319,4.217,3.657,34,34,36
Stomach cancer,1587,1609,1633,-31.9,111.9,104.3,100.3,38,36,38,5.447,4.441,3.708,33,33,35
"Kidney, renal pelvis and ureter cancer",1099,1232,1417,-15,80.0,77.9,81.3,41,43,39,3.76,3.371,3.197,40,40,37
Oesophagus cancer,1154,1243,1298,-27,81.5,78.3,76.6,40,42,40,3.965,3.386,2.894,37,39,40
Hepatitis,677,1302,912,-11.1,69.3,114.9,68.8,43,35,41,2.198,3.271,1.955,45,41,44
Bladder cancer,1078,1438,1642,-0.1,59.4,65.9,68.0,45,44,42,3.79,4.003,3.786,38,35,34
Melanoma and other skin cancers,1009,1297,1272,-15.8,79.4,83.9,67.3,42,41,43,3.417,3.541,2.876,43,38,41
Mouth and oropharynx cancers,801,918,1053,-13.8,62.2,62.0,65.0,44,45,44,2.72,2.471,2.344,44,43,43
HIV/ and other Sexually transmitted diseases (STDs),1472,744,634,-66.2,208.0,85.6,63.5,26,40,45,4.422,1.946,1.496,36,45,45
NA,211,291,231,-10.6,31.7,38.7,27.1,46,46,46,0.6313,0.7732,0.5641,47,47,46
Mental Health disoders (non-subsance use),270,212,211,-48.5,17.1,15.6,13.5,48,48,47,0.9387,0.5714,0.4835,46,48,47
Maternal conditions,59,80,86,41.5,10.7,12.8,12.7,49,49,48,0.1623,0.22,0.2296,50,50,49
Meningitis,133,75,67,-61.5,19.7,9.3,5.8,47,50,49,0.4144,0.1984,0.1596,48,51,50
Tuberculosis,108,109,108,-31.8,8.2,7.2,5.8,50,51,50,0.3674,0.3009,0.2506,49,49,48
Encephalitis,36,43,50,6.3,4.7,5.3,5.2,51,52,51,0.1122,0.1176,0.1193,51,52,51
Unknown/Missing Value,NA,337,13,NA,NA,24.5,1.1,NA,47,52,NA,0.9026,0.02595,NA,46,52
