,TOTAL,,,,,GENDER SPECIFIC,,,,,,,,
"rankwork[, 1]",Aratio,Bratio,Hratio,Wratio,.t3,Aratio.x,Bratio.x,Hratio.x,Wratio.x,Aratio.y,Bratio.y,Hratio.y,Wratio.y,.t6
HIV/ and other Sexually transmitted diseases (STDs),1.00,16.46,3.63,3.44,1,1.00,15.16,3.59,3.39,1.00,18.91,2.86,2.57,1
Homicide/Interpersonal violence,1.00,13.36,3.25,1.64,2,1.00,16.24,3.79,1.66,1.00,5.08,1.58,1.47,2
Tuberculosis,9.86,1.84,3.99,1.00,3,10.27,,3.70,1.00,10.38,,5.04,1.00,7
Melanoma and other skin cancers,1.00,1.09,1.98,8.39,4,1.00,1.05,2.35,10.86,1.00,1.10,1.61,5.49,6
Substance use (Mental Health),1.00,6.89,2.93,7.01,5,1.00,5.50,2.72,5.49,1.00,12.26,3.34,12.24,4
"Symptoms, signs and ill-defined conditions, not elsewhere classified",1.00,4.72,1.66,2.65,7,1.00,4.47,1.85,2.46,1.00,5.19,1.29,2.84,12
Prostate cancer,1.00,4.43,1.77,2.31,8,1.00,4.40,1.73,2.20,,,,,19
Maternal conditions,1.00,4.29,1.45,1.02,9,,,,,1.00,4.60,1.57,1.11,16
"Cardiomyopathy, myocarditis, endocarditis",1.00,4.15,1.43,2.04,10,1.00,3.90,1.31,1.94,1.00,4.50,1.59,2.13,17
Cirrhosis of the liver,1.00,2.51,3.92,2.76,12,1.00,2.30,3.93,2.47,1.00,2.80,3.65,3.11,22
Meningitis,1.00,3.22,1.92,1.34,16,,2.27,1.47,1.00,1.07,2.48,1.39,1.00,56
Neonatal conditions,1.03,3.21,1.36,1.00,17,,,,,,,,,372
Chronic obstructive pulmonary disease,1.00,2.78,1.21,3.21,18,1.06,2.29,1.00,2.25,1.00,3.81,1.65,5.05,14
"Endocrine, blood, immune disorders",1.00,2.86,1.17,1.86,20,1.00,2.32,1.08,1.73,1.00,3.47,1.26,2.00,31
Suicide/Self-harm,1.17,1.19,1.00,2.83,21,1.06,1.18,1.00,2.63,1.80,1.23,1.00,3.74,27
Mental Health disoders (non-subsance use),1.00,2.80,1.25,2.65,22,1.16,2.46,1.00,2.08,1.00,4.09,2.00,4.36,20
Kidney diseases,1.20,2.74,1.76,1.00,25,1.15,2.56,1.61,1.00,1.27,2.92,1.93,1.00,35
Congestive heart failure,1.00,2.68,1.74,2.32,26,1.00,2.71,1.72,2.37,1.00,2.64,1.74,2.27,45
Bladder cancer,1.00,2.04,1.19,2.67,27,1.00,1.76,1.10,2.72,1.00,2.67,1.40,2.42,44
Hypertensive heart disease,1.00,2.66,1.13,1.33,28,1.00,2.89,1.16,1.36,1.00,2.45,1.09,1.29,37
Oesophagus cancer,1.00,1.50,1.39,2.65,30,1.00,1.28,1.44,2.52,1.00,2.16,1.15,2.71,46
Encephalitis,1.00,2.63,1.26,1.34,32,,,1.10,1.00,,,1.00,1.36,203
"Trachea, bronchus and lung cancers",1.57,2.53,1.00,2.18,33,1.64,2.35,1.00,1.82,1.48,2.75,1.00,2.61,41
Diabetes mellitus,1.00,2.48,1.64,1.09,35,1.00,2.55,1.73,1.23,1.09,2.61,1.66,1.00,50
Hepatitis,1.00,2.35,1.96,1.40,36,1.00,2.47,2.02,1.35,1.00,2.13,1.76,1.39,57
Breast cancer,1.00,2.29,1.00,1.56,39,,3.93,1.00,1.64,1.00,2.33,1.03,1.62,23
Congenital anomalies,1.00,2.27,1.87,1.81,40,1.00,2.28,1.67,1.73,1.00,2.23,2.07,1.88,72
Stomach cancer,2.20,2.22,2.25,1.00,41,1.97,2.26,1.91,1.00,2.72,2.29,2.90,1.00,36
Uterine cancer,1.00,2.21,1.18,1.13,43,,,,,1.00,2.27,1.23,1.20,74
Other or unspecified cardiovascular diseases,1.00,2.20,1.21,2.21,44,1.00,2.26,1.18,2.23,1.00,2.13,1.22,2.18,78
Ischaemic heart disease,1.00,2.16,1.20,1.62,48,1.00,2.03,1.17,1.64,1.00,2.28,1.22,1.55,73
Digestive diseases (excluding cirrhosis),1.00,2.15,1.49,1.91,49,1.00,1.95,1.26,1.64,1.00,2.37,1.70,2.17,63
Other Chronic Conditions,1.00,2.09,1.36,1.76,50,1.00,2.05,1.42,1.96,1.00,2.19,1.33,1.63,83
Other neurological conditions,1.00,1.58,1.21,2.07,51,1.00,1.40,1.15,2.03,1.00,1.82,1.27,2.09,92
Alzheimer’s disease and other dementias,1.00,1.98,1.28,2.01,54,1.00,2.14,1.35,2.05,1.00,1.89,1.26,1.99,87
Brain and nervous system cancers,1.00,1.23,1.22,1.99,55,1.00,1.36,1.19,2.03,1.00,1.07,1.24,1.91,100
Mouth and oropharynx cancers,1.49,1.63,1.00,1.92,60,1.54,1.55,1.00,1.98,1.41,1.78,1.00,1.72,106
Unintentional injuries,1.00,1.90,1.45,1.78,62,1.00,2.11,1.59,1.86,1.00,1.45,1.14,1.54,91
Other Infectious Diseases,1.00,1.85,1.35,1.59,65,1.00,1.58,1.19,1.34,1.00,2.09,1.49,1.85,93
