Disease,County,Year,Sex,Count,Population,Rate,CI.lower,CI.upper,Unstable
Chlamydia,California,2015,Total,189937,39059809,486.27,484.093,488.459,
Gonorrhea,California,2015,Total,54255,39059809,138.9,137.737,140.075,
Early Syphilis,California,2015,Total,9359,39059809,23.96,23.478,24.451,
Campylobacteriosis,California,2015,Total,8272,39059809,21.18,20.724,21.639,
Salmonellosis,California,2015,Total,5568,39059809,14.26,13.883,14.634,
HIV,California,2015,Total,4947,39059809,12.67,12.315,13.023,
Pertussis,California,2015,Total,4706,39059809,12.05,11.706,12.397,
Coccidioidomycosis,California,2015,Total,3060,39059809,7.83,7.559,8.117,
"Botulism, Infant",California,2015,Total,37,491789,7.52,5.297,10.37,
Shigellosis,California,2015,Total,2227,39059809,5.7,5.467,5.943,
Giardiasis,California,2015,Total,2151,39059809,5.51,5.277,5.745,
Tuberculosis,California,2015,Total,2132,39059809,5.46,5.229,5.695,
E. coli Other STEC (non-O157),California,2015,Total,602,39059809,1.54,1.421,1.669,
Legionellosis,California,2015,Total,452,39059809,1.16,1.053,1.269,
Cryptosporidiosis,California,2015,Total,375,39059809,0.96,0.865,1.062,
E. coli O157,California,2015,Total,330,39059809,0.85,0.756,0.941,
Amebiasis,California,2015,Total,309,39059809,0.79,0.705,0.884,
Vibrio Infection (non-Cholera),California,2015,Total,242,39059809,0.62,0.544,0.703,
Hepatitis A,California,2015,Total,181,39059809,0.46,0.398,0.536,
"Hepatitis B, Acute",California,2015,Total,159,39059809,0.41,0.346,0.475,
Dengue,California,2015,Total,135,39059809,0.35,0.29,0.409,
Listeriosis,California,2015,Total,130,39059809,0.33,0.278,0.395,
Measles,California,2015,Total,125,39059809,0.32,0.266,0.381,
Yersiniosis,California,2015,Total,122,39059809,0.31,0.259,0.373,
Lyme Disease,California,2015,Total,100,39059809,0.26,0.208,0.311,
Malaria,California,2015,Total,97,39059809,0.25,0.201,0.303,
Shiga Toxin Positive Feces (without culture confirmation),California,2015,Total,98,39059809,0.25,0.204,0.306,
Typhus Fever,California,2015,Total,78,39059809,0.2,0.158,0.249,
Influenza Death (<65 years of age),California,2015,Total,75,39059809,0.19,0.151,0.241,
"Hepatitis C, Acute",California,2015,Total,58,39059809,0.15,0.113,0.192,
Staphylococcus aureus Infection (cases resulting in death or ICU),California,2015,Total,59,39059809,0.15,0.115,0.195,
Varicella Hospitalizations,California,2015,Total,58,39059809,0.15,0.113,0.192,
"Typhoid Fever, case",California,2015,Total,54,39059809,0.14,0.104,0.18,
Invasive Meningococcal Disease,California,2015,Total,49,39059809,0.13,0.093,0.166,
Hemolytic Uremic Syndrome,California,2015,Total,38,39059809,0.1,0.069,0.134,
Q Fever,California,2015,Total,39,39059809,0.1,0.071,0.136,
"Hepatitis E, acute infection",California,2015,Total,36,39059809,0.09,0.065,0.128,
Brucellosis,California,2015,Total,30,39059809,0.08,0.052,0.11,
Cysticercosis or Taeniasis,California,2015,Total,30,39059809,0.08,0.052,0.11,
Mumps,California,2015,Total,31,39059809,0.08,0.054,0.113,
Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,California,2015,Total,18,39059809,0.05,0.027,0.073,*
Scombroid Fish Poisoning,California,2015,Total,20,39059809,0.05,0.031,0.079,
Streptococcal Infection (cases in food and dairy workers),California,2015,Total,21,39059809,0.05,0.033,0.082,
Cyclosporiasis,California,2015,Total,15,39059809,0.04,0.021,0.063,*
"Botulism, Wound",California,2015,Total,11,39059809,0.03,0.014,0.05,*
Spotted Fever Rickettsiosis,California,2015,Total,10,39059809,0.03,0.012,0.047,*
Babesiosis,California,2015,Total,7,39059809,0.02,0.007,0.037,*
Leprosy,California,2015,Total,7,39059809,0.02,0.007,0.037,*
Relapsing Fever,California,2015,Total,8,39059809,0.02,0.009,0.04,*
Toxic Shock Syndrome (Non-Streptococcal),California,2015,Total,8,39059809,0.02,0.009,0.04,*
Anaplasmosis and Ehrlichiosis,California,2015,Total,4,39059809,0.01,0.003,0.026,*
"Botulism, Other",California,2015,Total,2,39059809,0.01,0.001,0.018,*
Hantavirus Infection,California,2015,Total,2,39059809,0.01,0.001,0.018,*
Tetanus,California,2015,Total,3,39059809,0.01,0.002,0.022,*
Tularemia,California,2015,Total,2,39059809,0.01,0.001,0.018,*
Anthrax,California,2015,Total,0,39059809,0,0,0.009,-
"Botulism, Foodborne",California,2015,Total,1,39059809,0,0,0.014,*
Cholera,California,2015,Total,0,39059809,0,0,0.009,-
Ciguatera Fish Poisoning,California,2015,Total,1,39059809,0,0,0.014,*
Diphtheria,California,2015,Total,0,39059809,0,0,0.009,-
Domoic Acid Poisoning,California,2015,Total,0,39059809,0,0,0.009,-
"Hepatitis B, Chronic",California,2015,Total,0,39059809,0,0,0.009,-
"Hepatitis C, Chronic",California,2015,Total,0,39059809,0,0,0.009,-
Leptospirosis,California,2015,Total,1,39059809,0,0,0.014,*
Paralytic Shellfish Poisoning,California,2015,Total,0,39059809,0,0,0.009,-
"Plague, human",California,2015,Total,1,39059809,0,0,0.014,*
Psittacosis,California,2015,Total,0,39059809,0,0,0.009,-
"Rabies, human",California,2015,Total,0,39059809,0,0,0.009,-
Rubella,California,2015,Total,0,39059809,0,0,0.009,-
Trichinosis,California,2015,Total,0,39059809,0,0,0.009,-
