County_name,County_FIPS,Region
Alameda,6001,SF Bay Area
Alpine,6003,Other
Amador,6005,Other
Butte,6007,Other
Calaveras,6009,Other
Colusa,6011,Other
Contra Costa,6013,SF Bay Area
Del Norte,6015,Other
El Dorado,6017,Sacramento Area
Fresno,6019,San Joaquin Valley
Glenn,6021,Other
Humboldt,6023,Other
Imperial,6025,Southern California
Inyo,6027,Other
Kern,6029,San Joaquin Valley
Kings,6031,San Joaquin Valley
Lake,6033,Other
Lassen,6035,Other
Los Angeles,6037,Southern California
Madera,6039,San Joaquin Valley
Marin,6041,SF Bay Area
Mariposa,6043,Other
Mendocino,6045,Other
Merced,6047,San Joaquin Valley
Modoc,6049,Other
Mono,6051,Other
Monterey,6053,Central Coast
Napa,6055,SF Bay Area
Nevada,6057,Other
Orange,6059,Southern California
Placer,6061,Sacramento Area
Plumas,6063,Other
Riverside,6065,Southern California
Sacramento,6067,Sacramento Area
San Benito,6069,Central Coast
San Bernardino,6071,Southern California
San Diego,6073,San Diego County
San Francisco,6075,SF Bay Area
San Joaquin,6077,San Joaquin Valley
San Luis Obispo,6079,Central Coast
San Mateo,6081,SF Bay Area
Santa Barbara,6083,Central Coast
Santa Clara,6085,SF Bay Area
Santa Cruz,6087,Central Coast
Shasta,6089,Other
Sierra,6091,Other
Siskiyou,6093,Other
Solano,6095,SF Bay Area
Sonoma,6097,SF Bay Area
Stanislaus,6099,San Joaquin Valley
Sutter,6101,Sacramento Area
Tehama,6103,Other
Trinity,6105,Other
Tulare,6107,San Joaquin Valley
Tuolumne,6109,Other
Ventura,6111,Southern California
Yolo,6113,Sacramento Area
Yuba,6115,Sacramento Area
