"Region","Cause","Sex","Age","RRadj"
"California","Acute resp infections",1,"0",1.3941634656961
"California","Acute resp infections",2,"0",1.28613115953768
"California","All Causes",1,"0",1.24302637101613
"California","All Causes",1,"15",1.13644827867867
"California","All Causes",1,"30",1.32497758361624
"California","All Causes",1,"45",1.47080250252879
"California","All Causes",1,"5",1.20030688313584
"California","All Causes",1,"60",1.42868658686286
"California","All Causes",1,"70",1.25572829123458
"California","All Causes",1,"80",0.990749461438227
"California","All Causes",1,"NA",1
"California","All Causes",2,"0",1.19848945917308
"California","All Causes",2,"15",1.07390820779711
"California","All Causes",2,"30",1.32668394785456
"California","All Causes",2,"45",1.45956597390458
"California","All Causes",2,"5",1.1162362686651
"California","All Causes",2,"60",1.41054963376465
"California","All Causes",2,"70",1.18839985063329
"California","All Causes",2,"80",0.958576487591774
"California","All Causes",2,"NA",1
"California","Breast Cancer",1,"0",1
"California","Breast Cancer",1,"15",1
"California","Breast Cancer",1,"30",1
"California","Breast Cancer",1,"45",1
"California","Breast Cancer",1,"5",1
"California","Breast Cancer",1,"60",1.43740168346976
"California","Breast Cancer",1,"70",1.08833880181359
"California","Breast Cancer",1,"80",1
"California","Breast Cancer",1,"NA",1
"California","Breast Cancer",2,"0",1
"California","Breast Cancer",2,"15",0.823872093199642
"California","Breast Cancer",2,"30",0.987436083442548
"California","Breast Cancer",2,"45",1.04001288913717
"California","Breast Cancer",2,"5",1
"California","Breast Cancer",2,"60",1.02765920846845
"California","Breast Cancer",2,"70",0.964437812269136
"California","Breast Cancer",2,"80",0.857405698310381
"California","Breast Cancer",2,"NA",1
"California","Colon Cancer",1,"0",1
"California","Colon Cancer",1,"15",1.16775208606292
"California","Colon Cancer",1,"30",1.04545238559512
"California","Colon Cancer",1,"45",1.16793716006817
"California","Colon Cancer",1,"5",1
"California","Colon Cancer",1,"60",1.20072689252957
"California","Colon Cancer",1,"70",1.36366517860281
"California","Colon Cancer",1,"80",1.02120684848106
"California","Colon Cancer",1,"NA",1
"California","Colon Cancer",2,"0",1
"California","Colon Cancer",2,"15",1
"California","Colon Cancer",2,"30",1.13908358425355
"California","Colon Cancer",2,"45",1.04615555566982
"California","Colon Cancer",2,"5",1
"California","Colon Cancer",2,"60",1.18674604329969
"California","Colon Cancer",2,"70",1.09853034435193
"California","Colon Cancer",2,"80",0.976330362676325
"California","Colon Cancer",2,"NA",1
"California","Dementia",1,"0",1
"California","Dementia",1,"15",1
"California","Dementia",1,"30",1
"California","Dementia",1,"45",1.21917621608094
"California","Dementia",1,"5",1
"California","Dementia",1,"60",1.08740463207914
"California","Dementia",1,"70",1.0329332117894
"California","Dementia",1,"80",0.849203647596617
"California","Dementia",1,"NA",1
"California","Dementia",2,"0",1
"California","Dementia",2,"15",1
"California","Dementia",2,"30",1
"California","Dementia",2,"45",1.22997495796322
"California","Dementia",2,"5",1
"California","Dementia",2,"60",0.950665465988331
"California","Dementia",2,"70",0.96268303127116
"California","Dementia",2,"80",0.828941136533294
"California","Dementia",2,"NA",1
"California","Depression",1,"0",1
"California","Depression",1,"15",1
"California","Depression",1,"30",1
"California","Depression",1,"45",1
"California","Depression",1,"5",1
"California","Depression",1,"60",1
"California","Depression",1,"70",1
"California","Depression",1,"80",1
"California","Depression",1,"NA",1
"California","Depression",2,"0",1
"California","Depression",2,"15",1
"California","Depression",2,"30",1
"California","Depression",2,"45",1
"California","Depression",2,"5",1
"California","Depression",2,"60",1
"California","Depression",2,"70",1
"California","Depression",2,"80",0.905218456325905
"California","Depression",2,"NA",1
"California","Diabetes",1,"0",1
"California","Diabetes",1,"15",1.23475425493539
"California","Diabetes",1,"30",1.57952542725636
"California","Diabetes",1,"45",1.71825252982707
"California","Diabetes",1,"5",1
"California","Diabetes",1,"60",1.63819866926207
"California","Diabetes",1,"70",1.48835265194736
"California","Diabetes",1,"80",1.19805699881046
"California","Diabetes",1,"NA",1
"California","Diabetes",2,"0",1
"California","Diabetes",2,"15",1.44504549680255
"California","Diabetes",2,"30",1.68984927334317
"California","Diabetes",2,"45",1.94423895051232
"California","Diabetes",2,"5",1
"California","Diabetes",2,"60",1.80018036615981
"California","Diabetes",2,"70",1.50247683384597
"California","Diabetes",2,"80",1.29845816156107
"California","Diabetes",2,"NA",1
"California","Hypertensive Heart Disease",1,"0",1
"California","Hypertensive Heart Disease",1,"15",1.1446809962167
"California","Hypertensive Heart Disease",1,"30",1.42756001588616
"California","Hypertensive Heart Disease",1,"45",1.6747092948832
"California","Hypertensive Heart Disease",1,"5",1
"California","Hypertensive Heart Disease",1,"60",1.69006502715153
"California","Hypertensive Heart Disease",1,"70",1.53029180059566
"California","Hypertensive Heart Disease",1,"80",1.11794944834309
"California","Hypertensive Heart Disease",1,"NA",1
"California","Hypertensive Heart Disease",2,"0",1
"California","Hypertensive Heart Disease",2,"15",1.73405459616306
"California","Hypertensive Heart Disease",2,"30",1.89379659943632
"California","Hypertensive Heart Disease",2,"45",1.89032914407671
"California","Hypertensive Heart Disease",2,"5",1
"California","Hypertensive Heart Disease",2,"60",1.71145575950868
"California","Hypertensive Heart Disease",2,"70",1.46357414329658
"California","Hypertensive Heart Disease",2,"80",1.05710564139411
"California","Hypertensive Heart Disease",2,"NA",1
"California","Inflammatory Heart Disease",1,"0",1.20233089580381
"California","Inflammatory Heart Disease",1,"15",1.19093966195827
"California","Inflammatory Heart Disease",1,"30",1.43589945625442
"California","Inflammatory Heart Disease",1,"45",1.38863274823825
"California","Inflammatory Heart Disease",1,"5",1
"California","Inflammatory Heart Disease",1,"60",1.38639288851496
"California","Inflammatory Heart Disease",1,"70",1.39816745950721
"California","Inflammatory Heart Disease",1,"80",0.937641639178897
"California","Inflammatory Heart Disease",1,"NA",1
"California","Inflammatory Heart Disease",2,"0",1.16609225131417
"California","Inflammatory Heart Disease",2,"15",1.23411292973115
"California","Inflammatory Heart Disease",2,"30",1.50637992366591
"California","Inflammatory Heart Disease",2,"45",1.64334890410055
"California","Inflammatory Heart Disease",2,"5",1
"California","Inflammatory Heart Disease",2,"60",1.41482718307012
"California","Inflammatory Heart Disease",2,"70",1.21763094728213
"California","Inflammatory Heart Disease",2,"80",1.0057636260097
"California","Inflammatory Heart Disease",2,"NA",1
"California","Ischemic Heart Disease",1,"0",1
"California","Ischemic Heart Disease",1,"15",0.969369492291617
"California","Ischemic Heart Disease",1,"30",1.21794327333569
"California","Ischemic Heart Disease",1,"45",1.46399496777875
"California","Ischemic Heart Disease",1,"5",1
"California","Ischemic Heart Disease",1,"60",1.54189543235987
"California","Ischemic Heart Disease",1,"70",1.39648987295275
"California","Ischemic Heart Disease",1,"80",1.05151381508098
"California","Ischemic Heart Disease",1,"NA",1
"California","Ischemic Heart Disease",2,"0",1
"California","Ischemic Heart Disease",2,"15",1.83330096414695
"California","Ischemic Heart Disease",2,"30",1.63352096423173
"California","Ischemic Heart Disease",2,"45",1.81392985149692
"California","Ischemic Heart Disease",2,"5",1
"California","Ischemic Heart Disease",2,"60",1.7549267900182
"California","Ischemic Heart Disease",2,"70",1.42231345924319
"California","Ischemic Heart Disease",2,"80",1.06967068042841
"California","Ischemic Heart Disease",2,"NA",1
"California","Lung Cancer",1,"0",1
"California","Lung Cancer",1,"15",1.19555570715966
"California","Lung Cancer",1,"30",1.33928051791294
"California","Lung Cancer",1,"45",1.37898696061781
"California","Lung Cancer",1,"5",1
"California","Lung Cancer",1,"60",1.32153879785347
"California","Lung Cancer",1,"70",1.20107342546643
"California","Lung Cancer",1,"80",1.07599030955524
"California","Lung Cancer",1,"NA",1
"California","Lung Cancer",2,"0",1
"California","Lung Cancer",2,"15",1
"California","Lung Cancer",2,"30",1.34761929445603
"California","Lung Cancer",2,"45",1.25658741923497
"California","Lung Cancer",2,"5",1
"California","Lung Cancer",2,"60",1.25948736016484
"California","Lung Cancer",2,"70",1.01738443404786
"California","Lung Cancer",2,"80",0.908822852909682
"California","Lung Cancer",2,"NA",1
"California","Other",1,"0",1.23848584485783
"California","Other",1,"15",1.16858232026953
"California","Other",1,"30",1.31744367231504
"California","Other",1,"45",1.45427448775336
"California","Other",1,"5",1.149580766527
"California","Other",1,"60",1.37399959896836
"California","Other",1,"70",1.18113508361735
"California","Other",1,"80",0.958542119844921
"California","Other",1,"NA",1
"California","Other",2,"0",1.18961600756431
"California","Other",2,"15",1.04827667554719
"California","Other",2,"30",1.30251486354915
"California","Other",2,"45",1.44733692443132
"California","Other",2,"5",1.08140751297265
"California","Other",2,"60",1.36009282970644
"California","Other",2,"70",1.14347214380604
"California","Other",2,"80",0.938528647357179
"California","Other",2,"NA",1
"California","Respiratory diseases",1,"0",1.09482836864959
"California","Respiratory diseases",1,"15",1.05151285087536
"California","Respiratory diseases",1,"30",1.47210094167665
"California","Respiratory diseases",1,"45",1.54746095350984
"California","Respiratory diseases",1,"5",1.498969966263
"California","Respiratory diseases",1,"60",1.46527452133755
"California","Respiratory diseases",1,"70",1.22755741210806
"California","Respiratory diseases",1,"80",1.01761016391367
"California","Respiratory diseases",1,"NA",1
"California","Respiratory diseases",2,"0",1.38140013431825
"California","Respiratory diseases",2,"15",1.11242632874058
"California","Respiratory diseases",2,"30",1.39982397945311
"California","Respiratory diseases",2,"45",1.77790007372213
"California","Respiratory diseases",2,"5",1.25313316953912
"California","Respiratory diseases",2,"60",1.58334998319612
"California","Respiratory diseases",2,"70",1.24412578429626
"California","Respiratory diseases",2,"80",0.992526676901479
"California","Respiratory diseases",2,"NA",1
"California","Road Traffic Injuries",1,"0",1.52059495645776
"California","Road Traffic Injuries",1,"15",1.03702057775519
"California","Road Traffic Injuries",1,"30",1.27848556878623
"California","Road Traffic Injuries",1,"45",1.44416347044128
"California","Road Traffic Injuries",1,"5",1.3245208753617
"California","Road Traffic Injuries",1,"60",1.49673637517951
"California","Road Traffic Injuries",1,"70",1.58331774840113
"California","Road Traffic Injuries",1,"80",1.33779072844629
"California","Road Traffic Injuries",1,"NA",1
"California","Road Traffic Injuries",2,"0",1.5499529358531
"California","Road Traffic Injuries",2,"15",1.09872030714869
"California","Road Traffic Injuries",2,"30",1.53067637404762
"California","Road Traffic Injuries",2,"45",1.42388651160867
"California","Road Traffic Injuries",2,"5",1.22807050614833
"California","Road Traffic Injuries",2,"60",1.38171126713775
"California","Road Traffic Injuries",2,"70",1.54159102719844
"California","Road Traffic Injuries",2,"80",1.25691481021853
"California","Road Traffic Injuries",2,"NA",1
"California","Stroke",1,"0",1.14889396710142
"California","Stroke",1,"15",0.85553527668306
"California","Stroke",1,"30",1.52174322057533
"California","Stroke",1,"45",1.62094430957251
"California","Stroke",1,"5",1
"California","Stroke",1,"60",1.55131940682962
"California","Stroke",1,"70",1.28480767642392
"California","Stroke",1,"80",1.01192703292372
"California","Stroke",1,"NA",1
"California","Stroke",2,"0",1
"California","Stroke",2,"15",1.09537539664043
"California","Stroke",2,"30",1.48503954141398
"California","Stroke",2,"45",1.58418802756481
"California","Stroke",2,"5",1
"California","Stroke",2,"60",1.5863143300798
"California","Stroke",2,"70",1.23889135538896
"California","Stroke",2,"80",0.952202528730746
"California","Stroke",2,"NA",1
"Central Coast","Acute resp infections",1,"0",1
"Central Coast","Acute resp infections",2,"0",1
"Central Coast","All Causes",1,"0",1.13193772813777
"Central Coast","All Causes",1,"15",0.856789571838925
"Central Coast","All Causes",1,"30",1.2187666732162
"Central Coast","All Causes",1,"45",1.55905387275095
"Central Coast","All Causes",1,"5",1.37691209163317
"Central Coast","All Causes",1,"60",1.55095952932871
"Central Coast","All Causes",1,"70",1.20102716733762
"Central Coast","All Causes",1,"80",1.07751433219093
"Central Coast","All Causes",1,"NA",1
"Central Coast","All Causes",2,"0",1.01347982686778
"Central Coast","All Causes",2,"15",0.585523611093259
"Central Coast","All Causes",2,"30",1.09225176652762
"Central Coast","All Causes",2,"45",1.52047657913966
"Central Coast","All Causes",2,"5",1
"Central Coast","All Causes",2,"60",1.37783105124753
"Central Coast","All Causes",2,"70",1.57113411098683
"Central Coast","All Causes",2,"80",1.06393823791901
"Central Coast","All Causes",2,"NA",1
"Central Coast","Breast Cancer",1,"0",1
"Central Coast","Breast Cancer",1,"15",1
"Central Coast","Breast Cancer",1,"30",1
"Central Coast","Breast Cancer",1,"45",1
"Central Coast","Breast Cancer",1,"5",1
"Central Coast","Breast Cancer",1,"60",1
"Central Coast","Breast Cancer",1,"70",1
"Central Coast","Breast Cancer",1,"80",1
"Central Coast","Breast Cancer",1,"NA",1
"Central Coast","Breast Cancer",2,"0",1
"Central Coast","Breast Cancer",2,"15",1
"Central Coast","Breast Cancer",2,"30",1
"Central Coast","Breast Cancer",2,"45",0.773065276575921
"Central Coast","Breast Cancer",2,"5",1
"Central Coast","Breast Cancer",2,"60",0.695233331480761
"Central Coast","Breast Cancer",2,"70",0.846829358647835
"Central Coast","Breast Cancer",2,"80",0.587287252518235
"Central Coast","Breast Cancer",2,"NA",1
"Central Coast","Colon Cancer",1,"0",1
"Central Coast","Colon Cancer",1,"15",1
"Central Coast","Colon Cancer",1,"30",1
"Central Coast","Colon Cancer",1,"45",1
"Central Coast","Colon Cancer",1,"5",1
"Central Coast","Colon Cancer",1,"60",1
"Central Coast","Colon Cancer",1,"70",1
"Central Coast","Colon Cancer",1,"80",1
"Central Coast","Colon Cancer",1,"NA",1
"Central Coast","Colon Cancer",2,"0",1
"Central Coast","Colon Cancer",2,"15",1
"Central Coast","Colon Cancer",2,"30",1
"Central Coast","Colon Cancer",2,"45",1
"Central Coast","Colon Cancer",2,"5",1
"Central Coast","Colon Cancer",2,"60",1
"Central Coast","Colon Cancer",2,"70",1
"Central Coast","Colon Cancer",2,"80",1.36078753632274
"Central Coast","Colon Cancer",2,"NA",1
"Central Coast","Dementia",1,"0",1
"Central Coast","Dementia",1,"15",1
"Central Coast","Dementia",1,"30",1
"Central Coast","Dementia",1,"45",1
"Central Coast","Dementia",1,"5",1
"Central Coast","Dementia",1,"60",1
"Central Coast","Dementia",1,"70",0.930002782114097
"Central Coast","Dementia",1,"80",1.05893038284874
"Central Coast","Dementia",1,"NA",1
"Central Coast","Dementia",2,"0",1
"Central Coast","Dementia",2,"15",1
"Central Coast","Dementia",2,"30",1
"Central Coast","Dementia",2,"45",1
"Central Coast","Dementia",2,"5",1
"Central Coast","Dementia",2,"60",1
"Central Coast","Dementia",2,"70",1.95565431066032
"Central Coast","Dementia",2,"80",1.05165907704437
"Central Coast","Dementia",2,"NA",1
"Central Coast","Depression",1,"0",1
"Central Coast","Depression",1,"15",1
"Central Coast","Depression",1,"30",1
"Central Coast","Depression",1,"45",1
"Central Coast","Depression",1,"5",1
"Central Coast","Depression",1,"60",1
"Central Coast","Depression",1,"70",1
"Central Coast","Depression",1,"80",1
"Central Coast","Depression",1,"NA",1
"Central Coast","Depression",2,"0",1
"Central Coast","Depression",2,"15",1
"Central Coast","Depression",2,"30",1
"Central Coast","Depression",2,"45",1
"Central Coast","Depression",2,"5",1
"Central Coast","Depression",2,"60",1
"Central Coast","Depression",2,"70",1
"Central Coast","Depression",2,"80",1
"Central Coast","Depression",2,"NA",1
"Central Coast","Diabetes",1,"0",1
"Central Coast","Diabetes",1,"15",1
"Central Coast","Diabetes",1,"30",1
"Central Coast","Diabetes",1,"45",2.40251043822511
"Central Coast","Diabetes",1,"5",1
"Central Coast","Diabetes",1,"60",1.69203763458562
"Central Coast","Diabetes",1,"70",1.42126671020759
"Central Coast","Diabetes",1,"80",1.4865465416936
"Central Coast","Diabetes",1,"NA",1
"Central Coast","Diabetes",2,"0",1
"Central Coast","Diabetes",2,"15",1
"Central Coast","Diabetes",2,"30",1
"Central Coast","Diabetes",2,"45",2.26289415692391
"Central Coast","Diabetes",2,"5",1
"Central Coast","Diabetes",2,"60",2.9510436091577
"Central Coast","Diabetes",2,"70",1.89084705280218
"Central Coast","Diabetes",2,"80",1.78318241688705
"Central Coast","Diabetes",2,"NA",1
"Central Coast","Hypertensive Heart Disease",1,"0",1
"Central Coast","Hypertensive Heart Disease",1,"15",1
"Central Coast","Hypertensive Heart Disease",1,"30",1
"Central Coast","Hypertensive Heart Disease",1,"45",2.19806400322623
"Central Coast","Hypertensive Heart Disease",1,"5",1
"Central Coast","Hypertensive Heart Disease",1,"60",1.90553677033711
"Central Coast","Hypertensive Heart Disease",1,"70",2.05517681812319
"Central Coast","Hypertensive Heart Disease",1,"80",1.66291647036911
"Central Coast","Hypertensive Heart Disease",1,"NA",1
"Central Coast","Hypertensive Heart Disease",2,"0",1
"Central Coast","Hypertensive Heart Disease",2,"15",1
"Central Coast","Hypertensive Heart Disease",2,"30",1
"Central Coast","Hypertensive Heart Disease",2,"45",1
"Central Coast","Hypertensive Heart Disease",2,"5",1
"Central Coast","Hypertensive Heart Disease",2,"60",2.01810786499276
"Central Coast","Hypertensive Heart Disease",2,"70",1.88322266952476
"Central Coast","Hypertensive Heart Disease",2,"80",1.17894095301058
"Central Coast","Hypertensive Heart Disease",2,"NA",1
"Central Coast","Inflammatory Heart Disease",1,"0",1
"Central Coast","Inflammatory Heart Disease",1,"15",1
"Central Coast","Inflammatory Heart Disease",1,"30",1
"Central Coast","Inflammatory Heart Disease",1,"45",1
"Central Coast","Inflammatory Heart Disease",1,"5",1
"Central Coast","Inflammatory Heart Disease",1,"60",1
"Central Coast","Inflammatory Heart Disease",1,"70",1
"Central Coast","Inflammatory Heart Disease",1,"80",1.06272263406181
"Central Coast","Inflammatory Heart Disease",1,"NA",1
