CensusTract,pop2010,pct2010gq,City,ZIP,County_FIPS,County_Name,UrbanType,hpi2score,hpi2_pctile_pos,hpi2_pctile_neg,hpi_top25pct,quintiles,quartiles,education,education_pctile,bachelorsed,bachelorsed_pctile,abovepoverty,abovepoverty_pctile
6001400100,2937,0.1,Oakland,94704,6001,Alameda,urban_area,1.182028296,99.11459002,0.885409983,Yes,1,1,0.948968462,90.09367381,79.7,98.67830104,92.37804878,96.44552804
6001400200,1974,3.5,Oakland,94618,6001,Alameda,urban_area,1.325873799,99.70486334,0.295136661,Yes,1,1,1.137724703,94.64904401,82.9,99.44822276,88.76008065,90.96625176
6001400300,4865,0.8,Oakland,94618,6001,Alameda,urban_area,0.925665702,95.93224689,4.067753112,Yes,1,1,1.348314049,98.16501989,68.8,94.35390735,85.74387947,85.30732709
6001400400,3703,0.9,Oakland,94609,6001,Alameda,urban_area,1.117603414,98.53714872,1.462851277,Yes,1,1,0.939500898,89.91402541,75.5,97.21544976,83.21541839,80.14885153
6001400500,3517,3.6,Oakland,94609,6001,Alameda,urban_area,0.56279906,83.31836263,16.68163737,Yes,1,1,0.486144516,75.37533684,61.9,90.01668164,74.88308116,63.5698704
6001400600,1571,0.4,Oakland,94609,6001,Alameda,urban_area,0.354577392,71.62838445,28.37161555,No,2,2,1.129410562,94.40523547,55.3,84.84537405,74.25802544,62.50481201
6001400700,4206,4,Oakland,94608,6001,Alameda,urban_area,-0.023870322,48.22276402,51.77723598,No,3,3,0.256366641,66.1619402,40.9,70.42217375,49.53785211,26.19017067
6001400800,3594,4.3,Oakland,94608,6001,Alameda,urban_area,0.358112679,71.84652894,28.15347106,No,2,2,0.526390584,76.79969203,49.7,79.82805081,67.6056338,51.39227512
6001400900,2302,0.1,Oakland,94608,6001,Alameda,urban_area,0.320427114,69.34428333,30.65571667,No,2,2,0.420760509,72.89875529,41.6,71.25625561,67.49182625,51.22545875
6001401000,5678,0.4,Oakland,94608,6001,Alameda,urban_area,0.025230133,50.86616194,49.13383806,No,3,2,0.656586023,81.67586295,33.2,60.5800077,57.91938451,37.32837162
6001401100,4156,3.6,Oakland,94609,6001,Alameda,urban_area,0.34528992,70.9354549,29.0645451,No,2,2,0.385915582,71.43590402,57.1,86.28256127,67.10213777,50.73784165
6001401200,2416,1.9,Oakland,94609,6001,Alameda,urban_area,0.508167393,80.29000385,19.70999615,Yes,1,1,0.287818284,67.44514308,62.1,90.1321699,76.98220065,67.49647119
6001401300,3528,16.4,Oakland,94609,6001,Alameda,urban_area,-0.270536194,33.36327473,66.63672527,No,4,3,0.775921969,85.15334274,33.5,61.02912871,43.8156831,19.50468369
