comID,yearG5,sex,CAUSE,Ndeaths,YLL,mean.age,Level,county,pop,YLLper,cDeathRate,rateLCI,rateUCI,comName,oDeaths,aRate,aLCI,aUCI,aSE,YLL.adj.rate,causeName
1.1,2014-2018,Female,0,195,1030,78.65,lev0,Alameda,29750,692.4,131.1,112.7,149.5,Livermore Central and West/Spring Town,195,115,99.1,133,8.405,652.8,All CAUSES
1.1,2014-2018,Female,A,16,270,61.75,lev1,Alameda,29750,181.5,10.76,5.486,16.03,Livermore Central and West/Spring Town,16,9.543,5.384,16.07,2.435,163.1,"Communicable, maternal, perinatal and nutritional conditions"
1.1,2014-2018,Female,B,41,145,77.9,lev1,Alameda,29750,97.48,27.56,19.13,36,Livermore Central and West/Spring Town,41,25.52,18.17,35.17,4.075,85.44,Cancer/Malignant neoplasms
1.1,2014-2018,Female,B07,14,58,79.64,lev2,Alameda,29750,38.99,9.411,4.482,14.34,Livermore Central and West/Spring Town,14,9.114,4.915,15.78,2.484,40.57,"Trachea, bronchus and lung cancers"
1.1,2014-2018,Female,C,64,383,78.77,lev1,Alameda,29750,257.5,43.02,32.48,53.56,Livermore Central and West/Spring Town,64,37.12,28.43,47.99,4.73,250.9,Cardiovascular diseases
1.1,2014-2018,Female,C02,30,266,75,lev2,Alameda,29750,178.8,20.17,12.95,27.38,Livermore Central and West/Spring Town,30,17.69,11.83,25.82,3.295,182.8,Ischaemic heart disease
1.1,2014-2018,Female,C03,16,69,80.81,lev2,Alameda,29750,46.38,10.76,5.486,16.03,Livermore Central and West/Spring Town,16,9.105,5.145,15.39,2.317,42.12,Stroke
1.1,2014-2018,Female,D,65,112,84.58,lev1,Alameda,29750,75.29,43.7,33.07,54.32,Livermore Central and West/Spring Town,65,37.24,28.59,48.06,4.709,66.81,Other Chronic
1.1,2014-2018,Female,D05,25,6,88.76,lev2,Alameda,29750,4.033,16.81,10.22,23.39,Livermore Central and West/Spring Town,25,13.61,8.752,20.67,2.755,3.012,Alzheimer’s disease and other dementias
1.1,2014-2018,Female,D66,14,1,85.36,lev2,Alameda,29750,0.6722,9.411,4.482,14.34,Livermore Central and West/Spring Town,14,9.023,4.861,15.64,2.462,0.502,Chronic obstructive pulmonary disease
1.1,2014-2018,Male,0,207,2309,68.57,lev0,Alameda,28690,1610,144.3,124.6,164,Livermore Central and West/Spring Town,207,159.8,138.2,183.9,11.39,1556,All CAUSES
1.1,2014-2018,Male,B,43,374,70.7,lev1,Alameda,28690,260.7,29.98,21.02,38.94,Livermore Central and West/Spring Town,43,34.18,24.55,46.52,5.321,260.4,Cancer/Malignant neoplasms
1.1,2014-2018,Male,C,73,871,66.53,lev1,Alameda,28690,607.2,50.89,39.22,62.56,Livermore Central and West/Spring Town,73,56.47,43.95,71.64,6.788,603.3,Cardiovascular diseases
1.1,2014-2018,Male,C02,31,224,72.29,lev2,Alameda,28690,156.2,21.61,14,29.22,Livermore Central and West/Spring Town,31,24.26,16.29,34.97,4.477,144.7,Ischaemic heart disease
1.1,2014-2018,Male,C99,14,254,60.36,lev2,Alameda,28690,177.1,9.759,4.647,14.87,Livermore Central and West/Spring Town,14,11.12,6,19.07,3.025,184.6,Other or unspecified cardiovascular diseases
1.1,2014-2018,Male,D,65,724,70.02,lev1,Alameda,28690,504.7,45.31,34.3,56.33,Livermore Central and West/Spring Town,65,49.26,37.73,63.42,6.277,457.4,Other Chronic
1.1,2014-2018,Male,D05,19,227,71.47,lev2,Alameda,28690,158.2,13.25,7.289,19.2,Livermore Central and West/Spring Town,19,14.75,8.769,23.51,3.46,142.5,Alzheimer’s disease and other dementias
1.1,2014-2018,Male,E,17,271,62.65,lev1,Alameda,28690,188.9,11.85,6.217,17.48,Livermore Central and West/Spring Town,17,12.92,7.424,21.17,3.201,189.6,Injuries
1.1,2014-2018,Total,0,402,3339,73.46,lev0,Alameda,58440,1143,137.6,124.1,151,Livermore Central and West/Spring Town,402,135.5,122.4,149.8,6.879,1085,All CAUSES
1.1,2014-2018,Total,A,22,324,65.36,lev1,Alameda,58440,110.9,7.529,4.383,10.68,Livermore Central and West/Spring Town,22,7.175,4.436,11.11,1.569,101.6,"Communicable, maternal, perinatal and nutritional conditions"
1.1,2014-2018,Total,B,84,519,74.21,lev1,Alameda,58440,177.6,28.75,22.6,34.89,Livermore Central and West/Spring Town,84,29.23,23.22,36.42,3.247,168.2,Cancer/Malignant neoplasms
1.1,2014-2018,Total,B07,22,147,74.77,lev2,Alameda,58440,50.31,7.529,4.383,10.68,Livermore Central and West/Spring Town,22,7.994,4.974,12.26,1.728,51.09,"Trachea, bronchus and lung cancers"
1.1,2014-2018,Total,B99,13,137,67.46,lev2,Alameda,58440,46.88,4.449,2.031,6.867,Livermore Central and West/Spring Town,13,4.18,2.192,7.388,1.183,42.85,Other malignant neoplasms
1.1,2014-2018,Total,C,137,1254,72.25,lev1,Alameda,58440,429.2,46.88,39.03,54.74,Livermore Central and West/Spring Town,137,46.12,38.59,54.78,4.009,416.1,Cardiovascular diseases
1.1,2014-2018,Total,C01,16,184,70.06,lev2,Alameda,58440,62.97,5.476,2.793,8.159,Livermore Central and West/Spring Town,16,4.988,2.819,8.346,1.269,53.92,Hypertensive heart disease
1.1,2014-2018,Total,C02,61,490,73.62,lev2,Alameda,58440,167.7,20.88,15.64,26.11,Livermore Central and West/Spring Town,61,20.58,15.67,26.66,2.68,163.1,Ischaemic heart disease
1.1,2014-2018,Total,C03,26,211,74,lev2,Alameda,58440,72.21,8.898,5.478,12.32,Livermore Central and West/Spring Town,26,9.008,5.838,13.39,1.796,73.96,Stroke
1.1,2014-2018,Total,C99,20,254,68.25,lev2,Alameda,58440,86.93,6.845,3.845,9.844,Livermore Central and West/Spring Town,20,7.016,4.25,11.01,1.592,88.96,Other or unspecified cardiovascular diseases
1.1,2014-2018,Total,D,130,836,77.3,lev1,Alameda,58440,286.1,44.49,36.84,52.14,Livermore Central and West/Spring Town,130,43.27,36.04,51.62,3.855,259.5,Other Chronic
1.1,2014-2018,Total,D05,44,233,81.3,lev2,Alameda,58440,79.74,15.06,10.61,19.51,Livermore Central and West/Spring Town,44,14.7,10.64,19.92,2.24,73,Alzheimer’s disease and other dementias
1.1,2014-2018,Total,D09,11,33,82.18,lev2,Alameda,58440,11.29,3.764,1.54,5.989,Livermore Central and West/Spring Town,11,3.486,1.726,6.463,1.062,8.641,Digestive diseases (excluding cirrhosis)
1.1,2014-2018,Total,D66,24,36,83.33,lev2,Alameda,58440,12.32,8.213,4.927,11.5,Livermore Central and West/Spring Town,24,8.526,5.422,12.86,1.767,9.394,Chronic obstructive pulmonary disease
1.1,2014-2018,Total,E,25,391,63.56,lev1,Alameda,58440,133.8,8.556,5.202,11.91,Livermore Central and West/Spring Town,25,8.446,5.425,12.66,1.715,136.8,Injuries
1.1,2014-2018,Total,E01,17,286,64,lev2,Alameda,58440,97.88,5.818,3.052,8.583,Livermore Central and West/Spring Town,17,5.932,3.426,9.675,1.459,104.9,Unintentional injuries
1.2,2014-2018,Female,0,87,350,78.77,lev0,Alameda,20050,349.1,86.77,68.53,105,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,87,79.86,63.75,99.41,8.683,268.9,All CAUSES
1.2,2014-2018,Female,B,25,98,76.44,lev1,Alameda,20050,97.74,24.93,15.16,34.71,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,25,21.78,13.99,33.16,4.422,66.33,Cancer/Malignant neoplasms
1.2,2014-2018,Female,C,19,146,73.84,lev1,Alameda,20050,145.6,18.95,10.43,27.47,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,19,17.42,10.39,28.17,4.062,132.3,Cardiovascular diseases
1.2,2014-2018,Female,D,33,71,83.61,lev1,Alameda,20050,70.81,32.91,21.68,44.14,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,33,31.44,21.53,44.99,5.543,44.3,Other Chronic
1.2,2014-2018,Female,D05,14,0,91.21,lev2,Alameda,20050,0,13.96,6.649,21.28,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,14,14.58,7.966,25.1,3.898,0,Alzheimer’s disease and other dementias
1.2,2014-2018,Male,0,106,899,72.25,lev0,Alameda,20130,893.3,105.3,85.28,125.4,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,106,110.3,89.74,134.7,11.05,893.3,All CAUSES
1.2,2014-2018,Male,B,28,232,70.21,lev1,Alameda,20130,230.5,27.82,17.52,38.13,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,28,28.39,18.51,42.24,5.589,213.3,Cancer/Malignant neoplasms
1.2,2014-2018,Male,C,29,252,72.07,lev1,Alameda,20130,250.4,28.82,18.33,39.31,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,29,31.41,20.78,46.06,5.994,277,Cardiovascular diseases
1.2,2014-2018,Male,C02,12,163,64.83,lev2,Alameda,20130,162,11.92,5.178,18.67,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,12,13.66,6.908,24.7,4.05,187.8,Ischaemic heart disease
1.2,2014-2018,Male,D,35,185,77.51,lev1,Alameda,20130,183.8,34.78,23.26,46.3,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,35,36.74,25.29,52.14,6.396,172.9,Other Chronic
1.2,2014-2018,Male,D05,13,99,74.38,lev2,Alameda,20130,98.38,12.92,5.896,19.94,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,13,14.29,7.444,25.36,4.079,114.2,Alzheimer’s disease and other dementias
1.2,2014-2018,Total,0,193,1249,75.19,lev0,Alameda,40180,621.7,96.07,82.51,109.6,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,193,94.07,81.01,108.9,6.908,589.4,All CAUSES
1.2,2014-2018,Total,A,11,33,78.55,lev1,Alameda,40180,16.43,5.475,2.24,8.711,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,11,5.255,2.601,9.847,1.6,13.3,"Communicable, maternal, perinatal and nutritional conditions"
1.2,2014-2018,Total,B,53,330,73.15,lev1,Alameda,40180,164.3,26.38,19.28,33.48,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,53,24.73,18.38,32.86,3.483,139.3,Cancer/Malignant neoplasms
1.2,2014-2018,Total,B07,14,60,74,lev2,Alameda,40180,29.86,6.968,3.318,10.62,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,14,7.186,3.891,12.44,1.947,33.53,"Trachea, bronchus and lung cancers"
1.2,2014-2018,Total,C,48,398,72.77,lev1,Alameda,40180,198.1,23.89,17.13,30.65,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,48,23.82,17.44,32.03,3.511,204.4,Cardiovascular diseases
1.2,2014-2018,Total,C02,21,251,68.05,lev2,Alameda,40180,124.9,10.45,5.982,14.92,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,21,10.88,6.661,17.04,2.425,139.6,Ischaemic heart disease
1.2,2014-2018,Total,D,68,256,80.47,lev1,Alameda,40180,127.4,33.85,25.8,41.89,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,68,33.54,25.92,42.95,4.14,108.7,Other Chronic
1.2,2014-2018,Total,D05,27,99,83.11,lev2,Alameda,40180,49.28,13.44,8.37,18.51,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,27,14.21,9.318,21.01,2.767,57.44,Alzheimer’s disease and other dementias
1.2,2014-2018,Total,D66,14,32,81.79,lev2,Alameda,40180,15.93,6.968,3.318,10.62,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,14,7.038,3.806,12.22,1.91,9.109,Chronic obstructive pulmonary disease
1.2,2014-2018,Total,E,12,232,60.17,lev1,Alameda,40180,115.5,5.973,2.594,9.352,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,12,6.174,3.158,11.17,1.806,123.6,Injuries
10,2014-2018,Female,0,323,2126,75.18,lev0,Butte,23620,1801,273.6,243.7,303.4,Oroville/Palermo/Thermalito,323,188.4,167.2,212.5,11.15,1914,All CAUSES
10,2014-2018,Female,A,25,133,77.24,lev1,Butte,23620,112.6,21.17,12.87,29.47,Oroville/Palermo/Thermalito,25,13.57,8.634,21.78,2.806,98.93,"Communicable, maternal, perinatal and nutritional conditions"
10,2014-2018,Female,A99,11,29,79.45,lev2,Butte,23620,24.56,9.316,3.811,14.82,Oroville/Palermo/Thermalito,11,5.561,2.766,11.95,1.684,15.67,Other Infectious Diseases
10,2014-2018,Female,B,69,378,75.67,lev1,Butte,23620,320.1,58.44,44.65,72.23,Oroville/Palermo/Thermalito,69,38.25,29.49,50.01,4.764,273.9,Cancer/Malignant neoplasms
10,2014-2018,Female,B07,16,91,75.81,lev2,Butte,23620,77.07,13.55,6.911,20.19,Oroville/Palermo/Thermalito,16,9.642,5.25,17.59,2.592,91.85,"Trachea, bronchus and lung cancers"
