GEOID,county,pop
6037320000,Los Angeles,0
6037504102,Los Angeles,0
6037980001,Los Angeles,0
6037980002,Los Angeles,0
6037980003,Los Angeles,0
6037980005,Los Angeles,0
6037980006,Los Angeles,0
6037980013,Los Angeles,0
6037980020,Los Angeles,0
6037980021,Los Angeles,0
6037980022,Los Angeles,0
6037980025,Los Angeles,0
6037980028,Los Angeles,0
6037980030,Los Angeles,0
6065980004,Riverside,0
6071980100,San Bernardino,0
6075980401,San Francisco,0
6081984300,San Mateo,0
6083980100,Santa Barbara,0
6001990000,Alameda,0
6013990000,Contra Costa,0
6015990000,Del Norte,0
6017990000,El Dorado,0
6023990100,Humboldt,0
6037990100,Los Angeles,0
6037990200,Los Angeles,0
6037990300,Los Angeles,0
6041990100,Marin,0
6045990100,Mendocino,0
6053990000,Monterey,0
6059990100,Orange,0
6061990000,Placer,0
6073990100,San Diego,0
6075990100,San Francisco,0
6079990000,San Luis Obispo,0
6081990100,San Mateo,0
6083990000,Santa Barbara,0
6087990100,Santa Cruz,0
6097990100,Sonoma,0
6111990100,Ventura,0
6037980018,Los Angeles,2
6037980033,Los Angeles,2
6037980007,Los Angeles,4
6037980009,Los Angeles,4
6083980000,Santa Barbara,8
6037980023,Los Angeles,9
6059021813,Orange,11
6037980004,Los Angeles,22
6059980000,Orange,22
6073006200,San Diego,29
6053980000,Monterey,37
6075980300,San Francisco,39
6037575500,Los Angeles,40
6001981900,Alameda,43
6037532400,Los Angeles,60
6111980000,Ventura,64
6017031900,El Dorado,74
6037980026,Los Angeles,78
6037551600,Los Angeles,91
6037980008,Los Angeles,101
6073005500,San Diego,101
6037980014,Los Angeles,102
6001982000,Alameda,105
6065940100,Riverside,130
6037980010,Los Angeles,137
6067007101,Sacramento,149
6037980024,Los Angeles,153
6037574700,Los Angeles,176
6037930101,Los Angeles,193
6037980019,Los Angeles,220
6095980000,Solano,236
6075980900,San Francisco,247
6037910811,Los Angeles,267
6037920011,Los Angeles,270
6075980200,San Francisco,324
6075980600,San Francisco,357
6037920026,Los Angeles,401
6111003012,Ventura,404
6001983200,Alameda,416
6037980015,Los Angeles,419
6037910812,Los Angeles,458
6053012600,Monterey,462
6083002915,Santa Barbara,464
6085504417,Santa Clara,465
6037599100,Los Angeles,488
6085504700,Santa Clara,502
6071011206,San Bernardino,597
6059099502,Orange,602
6107004000,Tulare,625
6001422600,Alameda,627
6017032000,El Dorado,628
6009000504,Calaveras,630
6037920033,Los Angeles,634
6037930200,Los Angeles,639
6073009901,San Diego,639
6025012400,Imperial,642
6065044521,Riverside,644
6075980501,San Francisco,662
6079012800,San Luis Obispo,676
6105000400,Trinity,685
6111000100,Ventura,686
6059011714,Orange,717
6093000400,Siskiyou,728
6037403200,Los Angeles,741
6073009902,San Diego,779
6059063008,Orange,782
6037800331,Los Angeles,810
6061022300,Placer,817
6085504601,Santa Clara,826
6037701100,Los Angeles,844
6059052404,Orange,850
6037900102,Los Angeles,860
6025010300,Imperial,869
6067007019,Sacramento,894
6065043814,Riverside,901
6061022100,Placer,915
6067009325,Sacramento,919
6037800330,Los Angeles,922
6111001206,Ventura,932
6019000800,Fresno,944
6055201403,Napa,945
6001402600,Alameda,955
6059032041,Orange,968
6037207400,Los Angeles,969
6061022200,Placer,981
6055200900,Napa,1006
6037930301,Los Angeles,1008
6063000202,Plumas,1012
6085511705,Santa Clara,1012
6111001601,Ventura,1017
6065030101,Riverside,1029
6083001800,Santa Barbara,1031
6037550000,Los Angeles,1032
6037920012,Los Angeles,1040
6037572100,Los Angeles,1048
6037572400,Los Angeles,1049
6037980031,Los Angeles,1049
6061020104,Placer,1049
6037621002,Los Angeles,1057
6039000400,Madera,1058
6085513500,Santa Clara,1060
6095252802,Solano,1060
6041131100,Marin,1070
6037572800,Los Angeles,1072
6067005301,Sacramento,1076
6071025100,San Bernardino,1090
6037541001,Los Angeles,1097
6061022014,Placer,1135
6037460401,Los Angeles,1142
6067009332,Sacramento,1145
6059099506,Orange,1149
6003010000,Alpine,1165
6107001200,Tulare,1165
6037430200,Los Angeles,1171
6037577504,Los Angeles,1173
6065045116,Riverside,1185
6061020105,Placer,1186
6037901209,Los Angeles,1193
6037910205,Los Angeles,1198
6097154303,Sonoma,1199
6013385200,Contra Costa,1202
6059063005,Orange,1211
6065044404,Riverside,1227
6049000400,Modoc,1229
6019008402,Fresno,1234
6067000600,Sacramento,1249
6071009300,San Bernardino,1252
6001402900,Alameda,1254
6099003400,Stanislaus,1254
6037900201,Los Angeles,1259
6053010306,Monterey,1263
6065044405,Riverside,1267
6065045124,Riverside,1268
6029004200,Kern,1279
6037574602,Los Angeles,1287
6063000201,Plumas,1289
6037577604,Los Angeles,1290
6055201900,Napa,1292
6037920303,Los Angeles,1295
6037275101,Los Angeles,1301
6053011502,Monterey,1303
6019005525,Fresno,1309
6071940100,San Bernardino,1313
6013316000,Contra Costa,1324
6071011203,San Bernardino,1331
6071010422,San Bernardino,1335
6037461902,Los Angeles,1336
6019005605,Fresno,1337
6059042106,Orange,1349
6037910101,Los Angeles,1351
6029001600,Kern,1354
6073010501,San Diego,1360
6001423902,Alameda,1381
6013304002,Contra Costa,1394
6015000203,Del Norte,1398
6065045122,Riverside,1400
6037620201,Los Angeles,1405
6037901210,Los Angeles,1416
6093000100,Siskiyou,1418
6023001300,Humboldt,1424
6089012500,Shasta,1427
6037226002,Los Angeles,1429
6053014104,Monterey,1430
6037573401,Los Angeles,1435
6067009110,Sacramento,1442
6047002401,Merced,1449
6089010100,Shasta,1454
6077003308,San Joaquin,1456
6037530602,Los Angeles,1457
6067000800,Sacramento,1459
6075011700,San Francisco,1461
6037265410,Los Angeles,1466
6009000503,Calaveras,1472
6065044807,Riverside,1474
6079010603,San Luis Obispo,1480
6089010603,Shasta,1483
6037404600,Los Angeles,1497
6111007606,Ventura,1498
6041104300,Marin,1532
6075017700,San Francisco,1534
6001403100,Alameda,1535
6065044520,Riverside,1535
6065042519,Riverside,1538
6079011504,San Luis Obispo,1541
6111004704,Ventura,1556
6071010424,San Bernardino,1557
6001425101,Alameda,1558
6071011204,San Bernardino,1562
6025010800,Imperial,1563
6037461700,Los Angeles,1564
6061022011,Placer,1564
6071011300,San Bernardino,1571
6059062630,Orange,1573
6065045222,Riverside,1576
6037533203,Los Angeles,1577
6037277400,Los Angeles,1578
6081609602,San Mateo,1582
6001402700,Alameda,1583
6111002102,Ventura,1583
6019005515,Fresno,1588
6001422000,Alameda,1591
6065044805,Riverside,1593
6067009800,Sacramento,1594
6047000401,Merced,1596
6037603004,Los Angeles,1599
6111007513,Ventura,1600
6093001200,Siskiyou,1605
6029003303,Kern,1609
6059063009,Orange,1614
6073019002,San Diego,1614
6073012302,San Diego,1619
6111007300,Ventura,1621
6071011205,San Bernardino,1626
6071011002,San Bernardino,1628
6037113235,Los Angeles,1637
6061021039,Placer,1637
6055201800,Napa,1639
6059062900,Orange,1641
6013389200,Contra Costa,1642
6059032011,Orange,1643
6085512100,Santa Clara,1643
6077004202,San Joaquin,1644
6037554103,Los Angeles,1646
