GEOID,comID,comName,county,year
06001451501,1.1,Livermore Central and West/Spring Town,Alameda,2000
06001451101,1.1,Livermore Central and West/Spring Town,Alameda,2000
06001451502,1.1,Livermore Central and West/Spring Town,Alameda,2000
06001451503,1.1,Livermore Central and West/Spring Town,Alameda,2000
06001450701,1.1,Livermore Central and West/Spring Town,Alameda,2000
06001451102,1.1,Livermore Central and West/Spring Town,Alameda,2000
06001451701,1.2,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,Alameda,2000
06001451702,1.2,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,Alameda,2000
06001451202,1.2,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,Alameda,2000
06001451201,1.2,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,Alameda,2000
06001451401,1.2,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,Alameda,2000
06001451300,1.2,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,Alameda,2000
06001451402,1.2,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,Alameda,2000
06001451601,1.2,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,Alameda,2000
06001451602,1.2,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,Alameda,2000
06001423700,2a,Berkeley South and West/Emeryville/Oakland Northwest,Alameda,2000
06001423602,2a,Berkeley South and West/Emeryville/Oakland Northwest,Alameda,2000
06001423500,2a,Berkeley South and West/Emeryville/Oakland Northwest,Alameda,2000
06001423400,2a,Berkeley South and West/Emeryville/Oakland Northwest,Alameda,2000
06001425100,2a,Berkeley South and West/Emeryville/Oakland Northwest,Alameda,2000
06001400700,2a,Berkeley South and West/Emeryville/Oakland Northwest,Alameda,2000
06001420400,2a,Berkeley South and West/Emeryville/Oakland Northwest,Alameda,2000
06001422100,2a,Berkeley South and West/Emeryville/Oakland Northwest,Alameda,2000
06001422900,2a,Berkeley South and West/Emeryville/Oakland Northwest,Alameda,2000
06001420300,2a,Berkeley South and West/Emeryville/Oakland Northwest,Alameda,2000
06001422000,2a,Berkeley South and West/Emeryville/Oakland Northwest,Alameda,2000
06001422500,2a,Berkeley South and West/Emeryville/Oakland Northwest,Alameda,2000
