"","causeCode","causeName","causeNameShort","causeList","topLevCode","topLevName"
"1","0","All CAUSES","All CAUSES",".All CAUSES","0","All Causes"
"2","A","Communicable, maternal, perinatal and nutritional conditions","Communicable, maternal, perinatal and nutritional conditions","..A. - Communicable, maternal, perinatal and nutritional conditions","A","Communicable"
"3","A01","Tuberculosis","Tuberculosis","...A.01. - Tuberculosis","A","Communicable"
"4","A02","HIV/ and other Sexually transmitted diseases (STDs)","HIV and other STDs","...A.02. - HIV/ and other Sexually transmitted diseases (STDs)","A","Communicable"
"5","A02a","Sexually transmitted diseases (STDs) excluding HIV","Sexually transmitted diseases (STDs) excluding HIV","....A.02.a. - Sexually transmitted diseases (STDs) excluding HIV","A","Communicable"
"6","A02b","HIV/AIDS","HIV/AIDS","....A.02.b. - HIV/AIDS","A","Communicable"
"7","A04","Meningitis","Meningitis","...A.04. - Meningitis","A","Communicable"
"8","A05","Encephalitis","Encephalitis","...A.05. - Encephalitis","A","Communicable"
"9","A06","Hepatitis","Hepatitis","...A.06. - Hepatitis","A","Communicable"
"10","A06a","Acute hepatitis B","Acute hepatitis B","....A.06.a. - Acute hepatitis B","A","Communicable"
"11","A06b","Acute hepatitis C","Acute hepatitis C","....A.06.b. - Acute hepatitis C","A","Communicable"
"12","A07","Respiratory infections","Respiratory infections","...A.07. - Respiratory infections","A","Communicable"
"13","A07a","Lower respiratory infections","Lower respiratory infections","....A.07.a. - Lower respiratory infections","A","Communicable"
"14","A07b","Upper respiratory infections","Upper respiratory infections","....A.07.b. - Upper respiratory infections","A","Communicable"
"15","A08","Maternal conditions","Maternal conditions","...A.08. - Maternal conditions","A","Communicable"
"16","A09","Neonatal conditions","Neonatal conditions","...A.09. - Neonatal conditions","A","Communicable"
"17","A10","COVID-19","COVID-19","...A.10. - COVID-19","A","Communicable"
"18","A99","Other Infectious Diseases","Other Infectious Diseases","...A.99. - Other Infectious Diseases","A","Communicable"
"19","B","Cancer/Malignant neoplasms","Cancer/Malignant neoplasms","..B. - Cancer/Malignant neoplasms","B","Cancer"
"20","B01","Mouth and oropharynx cancers","Mouth and oropharynx cancers","...B.01. - Mouth and oropharynx cancers","B","Cancer"
"21","B02","Esophagus cancer","Esophagus cancer","...B.02. - Esophagus cancer","B","Cancer"
"22","B03","Stomach cancer","Stomach cancer","...B.03. - Stomach cancer","B","Cancer"
"23","B04","Colon and rectum cancers","Colon and rectum cancers","...B.04. - Colon and rectum cancers","B","Cancer"
"24","B05","Liver cancer","Liver cancer","...B.05. - Liver cancer","B","Cancer"
"25","B06","Pancreas cancer","Pancreas cancer","...B.06. - Pancreas cancer","B","Cancer"
"26","B07","Trachea, bronchus and lung cancers","Lung Cancer","...B.07. - Trachea, bronchus and lung cancers","B","Cancer"
"27","B08","Melanoma and other skin cancers","Melanoma and other skin cancers","...B.08. - Melanoma and other skin cancers","B","Cancer"
"28","B09","Breast cancer","Breast cancer","...B.09. - Breast cancer","B","Cancer"
"29","B10","Uterine cancer","Uterine cancer","...B.10. - Uterine cancer","B","Cancer"
"30","B11","Ovary cancer","Ovary cancer","...B.11. - Ovary cancer","B","Cancer"
"31","B12","Prostate cancer","Prostate cancer","...B.12. - Prostate cancer","B","Cancer"
"32","B13","Kidney, renal pelvis and ureter cancer","Kidney, renal pelvis and ureter cancer","...B.13. - Kidney, renal pelvis and ureter cancer","B","Cancer"
"33","B14","Bladder cancer","Bladder cancer","...B.14. - Bladder cancer","B","Cancer"
"34","B15","Brain and nervous system cancers","Brain and nervous system cancers","...B.15. - Brain and nervous system cancers","B","Cancer"
"35","B16","Lymphomas and multiple myeloma","Lymphomas and multiple myeloma","...B.16. - Lymphomas and multiple myeloma","B","Cancer"
"36","B16a","Hodgkin lymphoma","Hodgkin lymphoma","....B.16.a. - Hodgkin lymphoma","B","Cancer"
"37","B16b","Non-Hodgkin lymphoma","Non-Hodgkin lymphoma","....B.16.b. - Non-Hodgkin lymphoma","B","Cancer"
"38","B16c","Multiple myeloma","Multiple myeloma","....B.16.c. - Multiple myeloma","B","Cancer"
"39","B17","Leukemia","Leukemia","...B.17. - Leukemia","B","Cancer"
"40","B99","Other malignant neoplasms","Other malignant neoplasms","...B.99. - Other malignant neoplasms","B","Cancer"
"41","C","Cardiovascular diseases","Cardiovascular diseases","..C. - Cardiovascular diseases","C","Cardiovascular"
"42","C01","Hypertensive heart disease","Hypertensive heart disease","...C.01. - Hypertensive heart disease","C","Cardiovascular"
"43","C02","Ischemic heart disease","Ischemic heart disease","...C.02. - Ischemic heart disease","C","Cardiovascular"
"44","C03","Stroke","Stroke","...C.03. - Stroke","C","Cardiovascular"
"45","C04","Cardiomyopathy, myocarditis, endocarditis","Cardiomyopathy, myocarditis, endocarditis","...C.04. - Cardiomyopathy, myocarditis, endocarditis","C","Cardiovascular"
"46","C05","Congestive heart failure","Congestive heart failure","...C.05. -  Congestive heart failure","C","Cardiovascular"
"47","C99","Other or unspecified cardiovascular diseases","Other cardiovascular","...C.99. - Other or unspecified cardiovascular diseases","C","Cardiovascular"
"48","D","Other Chronic","Other Chronic","..D. - Other Chronic","D","Other Chronic"
"49","D01","Diabetes mellitus","Diabetes mellitus","...D.01. - Diabetes mellitus","D","Other Chronic"
"50","D02","Endocrine, blood, immune disorders","Endocrine, blood, immune disorders","...D.02. - Endocrine, blood, immune disorders","D","Other Chronic"
"51","D03","Sickle cell disorders and trait","Sickle cell disorders and trait","...D.03. - Sickle cell disorders and trait","D","Other Chronic"
"52","D04","Mental Health disorders","Mental Health disorders","...D.04. - Mental Health disorders","D","Other Chronic"
"53","D05","Substance use disorders","Substance use disorders","...D.05. - Substance use disorders","D","Other Chronic"
"54","D05a","Alcohol use disorders","Alcohol use disorders","....D.05.a. - Alcohol use disorders","D","Other Chronic"
"55","D05b","Opioid use disorders","Opioid use disorders","....D.05.b. - Opioid use disorders","D","Other Chronic"
"56","D05c","Cocaine use disorders","Cocaine use disorders","....D.05.c. - Cocaine use disorders","D","Other Chronic"
"57","D05d","Amphetamine use disorders","Amphetamine use disorders","....D.05.d. - Amphetamine use disorders","D","Other Chronic"
"58","D06","Alzheimer’s disease and other dementias","Alzheimer’s disease","...D.06. - Alzheimer’s disease and other dementias","D","Other Chronic"
"59","D07","Other neurological conditions","Other neurological conditions","...D.07. - Other neurological conditions","D","Other Chronic"
"60","D09","Digestive diseases (excluding cirrhosis)","Digestive diseases","...D.09. - Digestive diseases (excluding cirrhosis)","D","Other Chronic"
"61","D10","Kidney diseases","Kidney diseases","...D.10. - Kidney diseases","D","Other Chronic"
"62","D10a","Acute glomerulonephritis","Acute glomerulonephritis","....D.10.a. - Acute glomerulonephritis","D","Other Chronic"
"63","D10b","Chronic kidney disease due to diabetes","Chronic kidney disease due to diabetes","....D.10.b. - Chronic kidney disease due to diabetes","D","Other Chronic"
"64","D10c","Other chronic kidney disease","Other chronic kidney disease","....D.10.c. - Other chronic kidney disease","D","Other Chronic"
"65","D11","Cirrhosis of the liver","Cirrhosis of the liver","...D.11. - Cirrhosis of the liver","D","Other Chronic"
"66","D12","Congenital anomalies","Congenital anomalies","...D.12. - Congenital anomalies","D","Other Chronic"
"67","D66","Chronic obstructive pulmonary disease","COPD","...D.66. - Chronic obstructive pulmonary disease","D","Other Chronic"
"68","D67","Asthma","Asthma","...D.67. - Asthma","D","Other Chronic"
"69","D68","Other respiratory diseases","Other respiratory diseases","...D.68. - Other respiratory diseases","D","Other Chronic"
"70","D99","Other Chronic Conditions","Other Chronic Conditions","...D.99. - Other Chronic Conditions","D","Other Chronic"
"71","E","Injuries","Injuries","..E. - Injuries","E","Injury"
"72","E01","Road injury","Road injury","...E.01. - Road injury","E","Injury"
"73","E02","Drug poisonings","Drug poisonings","...E.02. - Drug poisonings","E","Injury"
"74","E03","Poisonings (non-drug)","Poisonings (non-drug)","...E.03. - Poisonings (non-drug)","E","Injury"
"75","E04","Falls","Falls","...E.04. - Falls","E","Injury"
"76","E05","Other unintentional injuries","Other unintentional injuries","...E.05. - Other unintentional injuries","E","Injury"
"77","E07","Suicide/Self-harm","Suicide/Self-harm","...E.07. - Suicide/Self-harm","E","Injury"
"78","E08","Homicide/Interpersonal violence","Homicide/Interpersonal violence","...E.08. - Homicide/Interpersonal violence","E","Injury"
"79","E08a","Homicide excluding legal intervention","Homicide excluding legal intervention","....E.08.a. - Homicide excluding legal intervention","E","Injury"
"80","E08b","Legal intervention","Legal intervention","....E.08.b. - Legal intervention","E","Injury"
"81","E08c","Execution, War, Terrorism","Execution, War, Terrorism","....E.08.c. - Execution, War, Terrorism","E","Injury"
"82","E99","Injuries of unknown intent (e.g., unintentional or self-harm), including overdoses and deaths by firearm","Injuries of unknown intent (e.g., unintentional or self-harm), including overdoses and deaths by firearm","...E.99. - Injuries of unknown intent (e.g., unintentional or self-harm), including overdoses and deaths by firearm","E","Injury"
"83","Z","Unknown/Missing Value","Unknown/Missing Value","..Z. - Unknown/Missing Value","Z","Ill-Defined"
"84","Z01","Symptoms, signs and ill-defined conditions, not elsewhere classified","Not classified","...Z.01. - Symptoms, signs and ill-defined conditions, not elsewhere classified","Z","Ill-Defined"
"85","Z02","Unknown/Missing Value","Unknown/Missing Value","...Z.02. - Unknown/Missing Value","Z","Ill-Defined"
"86","Z03","Code does not map","Code does not map","...Z.03. - Code does not map","Z","Ill-Defined"
