comID,comName
1.1,Livermore Central and West/Spring Town
1.2,Altamont/Livermore East/Midway/Mountain House/Scotts Corner
2a,Berkeley South and West/Emeryville/Oakland Northwest
2b,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks
2c,Oakland West Central
2d,Fruitvale/Melrose/Oakland Airport
2e,Alameda/Jack London Square/Oakland Inner Harbor
2f,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East
2g,San Leandro West/San Lorenzo West/Hayward West
2h,Ashland/Brookfield Village/Castro Valley South/Elmhurst/Hayward Northeast/San Leandro North Central/San Lorenzo East
2i,Fremont South/Mission San Jose/Newark South/Warm Springs
2j,Centerville/Fremont West/Irvington/Newark East Central
2k,Dublin/Pleasanton/Santa Rita/Sunol
2l,Fremont East/Niles/Union City Central
2m,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen
2n,Hayward Central
3,Alpine Village/Bear Valley/Kirkwood/Markleeville/Mesa Valley/Woodfords
4,Ione/Jackson/Pine Grove/Sutter Creek
5,Plymouth
6,Pioneer
10,Oroville/Palermo/Thermalito
11,Berry Creek/Brownsville/Concow/Feather Falls/Forbestown
7.1,Chapmantown/Chico
7.2,Capay/Lake/Nord
7.3,Butte Meadows/Cohasset/Forest Ranch
7.4,Durham
8,Magalia/Paradise/Stirling City
9,Biggs/East Biggs/Gridley
12,Angels Camp/Arnold/Copperopolis/Mountain Ranch/Murphys/San Andreas/Valley Springs/West Point
15,Colusa
16.1,Williams
16.2,Loduga/Maxwell/Princeton/Stonyford
16.3,Arbuckle/Grimes
17,Brentwood East/Byron/Discovery Bay/Knightsen
18a,Crockett/Hercules/Martinez West/Pinole/Port Costa/Richmond Northeast/Rodeo
18b,Concord West/Martinez East/Martinez Waterfront/Pacheco/Pleasant Hill East
18c,Avon/Clyde/Concord Central/Pittsburg Southwest
18d,Antioch North and West/Nichols/Pittsburg Central and East/West Pittsburg
18e,Brentwood Central and West/Oakley
18f,Richmond Central/San Pablo Central
18g,El Cerrito/El Sobrante/Kensington/Richmond North/Richmond Southeast/Wildcat Canyon
18h,Alamo/Danville/Diablo/San Ramon
18i,Lafayette/Martinez South/Moraga/Orinda/Pleasant Hill/Rheem Valley/Rossmoor Leisure World/Walnut Creek Southwest
18j,Clayton/Concord South/Walnut Creek Central and East
19,Crescent City/Gasquet/Klamath/Smith River
22,Garden Valley/Georgetown/Greenwood/Kelsey/Volcanoville
23.1,Cameron Park/El Dorado Hills/Shingle Springs
23.2,Camino/Pollock Pines
23.3,Cool/Diamond Springs/Latrobe/Pilot Hill/Placerville
24,South Lake Tahoe
25,Firebaugh/Mendota
26,Cantua Creek/San Joaquin/Tranquility
27,Coalinga
28,Huron
29,Biola/Herndon/Highway City/Kerman
30,Bowles/Caruthers/Easton/Kingsburg/Lanare/Laton/Raisin City/Riverdale/Selma
31,Auberry/Calwa/Centerville/Clovis East/Del Rey/Fowler/Friant/Sanger/Shaver Lake
32,Orange Cove/Parlier/Reedley/Squaw Valley/Tivy Valley/Wonder Valley
35a,Fresno Northwest
35b,Clovis West/Fresno East
35c,Fresno West Central
35d,Fresno East Central
35e,Fresno South and West
35f,Fresno North Central
36.1,Orland
36.2,Hamilton City
37,Artois/Elk Creek/Glenn/Grindstone Indian Rancheria/Willows
38,Hoopa/Willow Creek
39,Arcata/Eureka
40,Bluelake/McKinleyville/Orick/Trinidad
42,Ferndale/Fortuna/Rio Dell/Scotia
44,Garberville/Redway
46,Bard/Winterhaven
47,Bombay Beach/Calipatria/Desert Shores/Niland/Salton City/Salton Sea Beach
48,El Centro/Heber/Holtville/Imperial/Seeley
49,Calexico/Ocotillo
50,Brawley/Westmorland
53,Bishop/Bishop Paiute Tribe/Mustang Mesa/Round Valley/West Bishop/Wilkerson
54,Aberdeen/Big Pine/Big Pine Reservation/Fort Independence Indian/Independence
55,Alabama Hills/Cartago/Darwin/Keeler/Lone Pine/Lone Pine Paiute Shoshone Tribe/Olancha/Pearsonville
57.1,Fort Tejon/Frazier Park/Lebec/Pine Mountain
57.2,Blackwell?s Corners/Ford City/Maricopa/McKittrick/Taft
58.1,Shafter
58.2,Lost Hills/Wasco
59,Buttonwillow
60,Delano/McFarland
61,Arvin/Lamont/Weed Patch
62,Bear Valley Springs/Keene/Stallion Springs/Tehachapi
63,Alta Sierra/Bodfish/Glennville/Kernville/Lake Isabella/Weldon/Wofford Heights
64,Inyokern/Ridgecrest
65,Boron/California City/Desert Lake/Mojave/North Edwards/Rosamond
66a,Bakersfield Northeast/Oildale
66b,Bakersfield East/Lakeview/La Loma
66c,Bakersfield Southwest
66d,Bakersfield Northwest/Rosedale
67,Avenal
68,Corcoran/Kettleman City/Stratford
69,Armona/Hanford/Lemoore
70.1,Kelseyville/Lakeport
70.2,Lucerne/Nice/Upper Lake
71.1,Clearlake/Clearlake Oaks
71.2,Lower Lake
71.3,Cobb/Hidden Valley/Middletown
72,Susanville
73,Bieber/Madeline/Nubieber
74,Doyle
75,Westwood
76.1a,Canyon Country/Santa Clarita West/Saugus
76.1b,Newhall/Santa Clarita East/Valencia
