OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790141323868|06001400100|Census Tract 4001|6945857|0|G5020|S|20740141323868|06001400100|Census Tract 4001|6935166|0|G5020|S|6889104|0
20790141323868|06001400100|Census Tract 4001|6945857|0|G5020|S|20740141323842|06001421600|Census Tract 4216|1329083|0|G5020|S|7124|0
20790141323868|06001400100|Census Tract 4001|6945857|0|G5020|S|20740141323854|06001422600|Census Tract 4226|1717070|0|G5020|S|10124|0
20790141323868|06001400100|Census Tract 4001|6945857|0|G5020|S|20740141323855|06001422700|Census Tract 4227|343373|0|G5020|S|1537|0
20790141323868|06001400100|Census Tract 4001|6945857|0|G5020|S|20740141323946|06001423700|Census Tract 4237|743938|0|G5020|S|19645|0
20790141323868|06001400100|Census Tract 4001|6945857|0|G5020|S|20740141323846|06001423800|Census Tract 4238|1040209|0|G5020|S|46|0
20790141323868|06001400100|Census Tract 4001|6945857|0|G5020|S|20740146183209|06013353001|Census Tract 3530.01|13693063|1967|G5020|S|223|0
20790141323868|06001400100|Census Tract 4001|6945857|0|G5020|S|20740146183221|06013354001|Census Tract 3540.01|13715189|0|G5020|S|18054|0
20790141324021|06001400200|Census Tract 4002|586560|0|G5020|S|20740141324021|06001400200|Census Tract 4002|593742|0|G5020|S|585874|0
20790141324021|06001400200|Census Tract 4002|586560|0|G5020|S|20740141323846|06001423800|Census Tract 4238|1040209|0|G5020|S|686|0
20790141324020|06001400300|Census Tract 4003|1110840|0|G5020|S|20740141324020|06001400300|Census Tract 4003|1105852|0|G5020|S|1105852|0
20790141324020|06001400300|Census Tract 4003|1110840|0|G5020|S|20740141323873|06001401100|Census Tract 4011|882745|0|G5020|S|4988|0
20790141323866|06001400400|Census Tract 4004|716138|0|G5020|S|20740141323866|06001400400|Census Tract 4004|704084|0|G5020|S|703187|0
20790141323866|06001400400|Census Tract 4004|716138|0|G5020|S|20740141323864|06001423902|Census Tract 4239.02|320770|0|G5020|S|12951|0
20790141323823|06001400500|Census Tract 4005|591424|0|G5020|S|20740141323823|06001400500|Census Tract 4005|589641|0|G5020|S|587772|0
20790141323823|06001400500|Census Tract 4005|591424|0|G5020|S|20740141323861|06001423901|Census Tract 4239.01|395384|0|G5020|S|3652|0
20790141324034|06001400600|Census Tract 4006|297856|0|G5020|S|20740141324034|06001400600|Census Tract 4006|297856|0|G5020|S|297856|0
20790141324023|06001400700|Census Tract 4007|865752|0|G5020|S|20740141324023|06001400700|Census Tract 4007|876566|0|G5020|S|856066|0
20790141324023|06001400700|Census Tract 4007|865752|0|G5020|S|20740141323830|06001424001|Census Tract 4240.01|512380|0|G5020|S|9686|0
20790141323909|06001400800|Census Tract 4008|725817|0|G5020|S|20740141324023|06001400700|Census Tract 4007|876566|0|G5020|S|14551|0
20790141323909|06001400800|Census Tract 4008|725817|0|G5020|S|20740141323909|06001400800|Census Tract 4008|693390|0|G5020|S|686332|0
20790141323909|06001400800|Census Tract 4008|725817|0|G5020|S|20740141323869|06001400900|Census Tract 4009|423961|0|G5020|S|13144|0
20790141323909|06001400800|Census Tract 4008|725817|0|G5020|S|20740141323836|06001422000|Census Tract 4220|4514982|5864364|G5020|S|192|0
20790141323909|06001400800|Census Tract 4008|725817|0|G5020|S|20740141323860|06001424002|Census Tract 4240.02|330010|0|G5020|S|10346|0
20790141323909|06001400800|Census Tract 4008|725817|0|G5020|S|207403717159001|06001425103|Census Tract 4251.03|874800|0|G5020|S|1252|0
20790141323869|06001400900|Census Tract 4009|407733|0|G5020|S|20740141323869|06001400900|Census Tract 4009|423961|0|G5020|S|404701|0
20790141323869|06001400900|Census Tract 4009|407733|0|G5020|S|207403717158731|06001425104|Census Tract 4251.04|1086794|0|G5020|S|3032|0
