County,Year,Sex,Disease,Cases
California,2018,Total,Chlamydia,232181
Alameda,2018,Total,Chlamydia,9719
Alpine,2018,Total,Chlamydia,12
Amador,2018,Total,Chlamydia,63
Butte,2018,Total,Chlamydia,1320
Calaveras,2018,Total,Chlamydia,119
Colusa,2018,Total,Chlamydia,56
Contra Costa,2018,Total,Chlamydia,6146
Del Norte,2018,Total,Chlamydia,89
El Dorado,2018,Total,Chlamydia,447
Fresno,2018,Total,Chlamydia,7140
Glenn,2018,Total,Chlamydia,120
Humboldt,2018,Total,Chlamydia,790
Imperial,2018,Total,Chlamydia,1060
Inyo,2018,Total,Chlamydia,68
Kern,2018,Total,Chlamydia,6957
Kings,2018,Total,Chlamydia,972
Lake,2018,Total,Chlamydia,331
Lassen,2018,Total,Chlamydia,117
Los Angeles,2018,Total,Chlamydia,68021
Madera,2018,Total,Chlamydia,920
Marin,2018,Total,Chlamydia,815
Mariposa,2018,Total,Chlamydia,32
Mendocino,2018,Total,Chlamydia,434
Merced,2018,Total,Chlamydia,1645
Modoc,2018,Total,Chlamydia,19
Mono,2018,Total,Chlamydia,22
Monterey,2018,Total,Chlamydia,2239
Napa,2018,Total,Chlamydia,584
Nevada,2018,Total,Chlamydia,215
Orange,2018,Total,Chlamydia,14338
Placer,2018,Total,Chlamydia,1124
Plumas,2018,Total,Chlamydia,61
Riverside,2018,Total,Chlamydia,11487
Sacramento,2018,Total,Chlamydia,11645
San Benito,2018,Total,Chlamydia,238
San Bernardino,2018,Total,Chlamydia,13379
San Diego,2018,Total,Chlamydia,22101
San Francisco,2018,Total,Chlamydia,9505
San Joaquin,2018,Total,Chlamydia,4347
San Luis Obispo,2018,Total,Chlamydia,1200
San Mateo,2018,Total,Chlamydia,3103
Santa Barbara,2018,Total,Chlamydia,2704
Santa Clara,2018,Total,Chlamydia,8331
Santa Cruz,2018,Total,Chlamydia,1244
Shasta,2018,Total,Chlamydia,646
Sierra,2018,Total,Chlamydia,6
Siskiyou,2018,Total,Chlamydia,141
Solano,2018,Total,Chlamydia,3139
Sonoma,2018,Total,Chlamydia,2277
Stanislaus,2018,Total,Chlamydia,2917
Sutter,2018,Total,Chlamydia,352
Tehama,2018,Total,Chlamydia,191
Trinity,2018,Total,Chlamydia,21
Tulare,2018,Total,Chlamydia,2610
Tuolumne,2018,Total,Chlamydia,154
Ventura,2018,Total,Chlamydia,3018
Yolo,2018,Total,Chlamydia,1076
Yuba,2018,Total,Chlamydia,354
California,2018,Total,Early Syphilis,15368
Alameda,2018,Total,Early Syphilis,438
Alpine,2018,Total,Early Syphilis,0
Amador,2018,Total,Early Syphilis,4
Butte,2018,Total,Early Syphilis,100
Calaveras,2018,Total,Early Syphilis,3
Colusa,2018,Total,Early Syphilis,4
Contra Costa,2018,Total,Early Syphilis,273
Del Norte,2018,Total,Early Syphilis,6
El Dorado,2018,Total,Early Syphilis,9
Fresno,2018,Total,Early Syphilis,368
Glenn,2018,Total,Early Syphilis,5
Humboldt,2018,Total,Early Syphilis,28
Imperial,2018,Total,Early Syphilis,31
Inyo,2018,Total,Early Syphilis,0
Kern,2018,Total,Early Syphilis,481
Kings,2018,Total,Early Syphilis,68
Lake,2018,Total,Early Syphilis,10
Lassen,2018,Total,Early Syphilis,0
Los Angeles,2018,Total,Early Syphilis,5627
Madera,2018,Total,Early Syphilis,63
Marin,2018,Total,Early Syphilis,27
Mariposa,2018,Total,Early Syphilis,1
Mendocino,2018,Total,Early Syphilis,14
Merced,2018,Total,Early Syphilis,111
Modoc,2018,Total,Early Syphilis,0
Mono,2018,Total,Early Syphilis,1
Monterey,2018,Total,Early Syphilis,70
Napa,2018,Total,Early Syphilis,31
Nevada,2018,Total,Early Syphilis,10
Orange,2018,Total,Early Syphilis,772
Placer,2018,Total,Early Syphilis,29
Plumas,2018,Total,Early Syphilis,1
Riverside,2018,Total,Early Syphilis,655
Sacramento,2018,Total,Early Syphilis,633
San Benito,2018,Total,Early Syphilis,6
San Bernardino,2018,Total,Early Syphilis,571
San Diego,2018,Total,Early Syphilis,1090
San Francisco,2018,Total,Early Syphilis,1410
San Joaquin,2018,Total,Early Syphilis,608
San Luis Obispo,2018,Total,Early Syphilis,29
San Mateo,2018,Total,Early Syphilis,151
Santa Barbara,2018,Total,Early Syphilis,95
Santa Clara,2018,Total,Early Syphilis,527
Santa Cruz,2018,Total,Early Syphilis,63
Shasta,2018,Total,Early Syphilis,76
Sierra,2018,Total,Early Syphilis,0
Siskiyou,2018,Total,Early Syphilis,6
Solano,2018,Total,Early Syphilis,119
Sonoma,2018,Total,Early Syphilis,198
Stanislaus,2018,Total,Early Syphilis,251
Sutter,2018,Total,Early Syphilis,18
Tehama,2018,Total,Early Syphilis,9
Trinity,2018,Total,Early Syphilis,2
Tulare,2018,Total,Early Syphilis,45
Tuolumne,2018,Total,Early Syphilis,11
Ventura,2018,Total,Early Syphilis,141
Yolo,2018,Total,Early Syphilis,49
Yuba,2018,Total,Early Syphilis,20
California,2018,Total,Gonorrhea,79397
Alameda,2018,Total,Gonorrhea,3777
