Year,County,Disease,Cases
2017,Alameda,Amebiasis,56
2017,Alameda,Anaplasmosis,1
2017,Alameda,Anthrax,0
2017,Alameda,Babesiosis,0
2017,Alameda,"Botulism, Foodborne",0
2017,Alameda,"Botulism, Other",0
2017,Alameda,"Botulism, Wound",0
2017,Alameda,Brucellosis,2
2017,Alameda,Campylobacteriosis,537
2017,Alameda,Chikungunya Virus Infection,3
2017,Alameda,Chlamydia,9193
2017,Alameda,Cholera,0
2017,Alameda,Ciguatera Fish Poisoning,0
2017,Alameda,Coccidioidomycosis,67
2017,Alameda,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,2
2017,Alameda,Cryptosporidiosis,28
2017,Alameda,Cyclosporiasis,2
2017,Alameda,Cysticercosis or Taeniasis,2
2017,Alameda,Dengue,20
2017,Alameda,Diphtheria,0
2017,Alameda,Domoic Acid Poisoning,0
2017,Alameda,E. coli O157,34
2017,Alameda,E. coli Other STEC (non-O157),72
2017,Alameda,Early Syphilis,434
2017,Alameda,Ehrlichiosis,1
2017,Alameda,Flavivirus Infection of Undetermined Species,0
2017,Alameda,Giardiasis,257
2017,Alameda,Gonorrhea,3593
2017,Alameda,Hantavirus Infection,1
2017,Alameda,Hemolytic Uremic Syndrome,4
2017,Alameda,Hepatitis A,15
2017,Alameda,"Hepatitis B, Acute",7
2017,Alameda,"Hepatitis C, Acute",0
2017,Alameda,"Hepatitis E, acute infection",2
2017,Alameda,Invasive Meningococcal Disease,5
2017,Alameda,Legionellosis,18
2017,Alameda,Leprosy,0
2017,Alameda,Leptospirosis,0
2017,Alameda,Listeriosis,8
2017,Alameda,Lyme Disease,14
2017,Alameda,Malaria,16
2017,Alameda,Measles,0
2017,Alameda,Mumps,10
2017,Alameda,Paralytic Shellfish Poisoning,0
2017,Alameda,Pertussis,123
2017,Alameda,"Plague, human",0
2017,Alameda,Psittacosis,0
2017,Alameda,Q Fever,1
2017,Alameda,"Rabies, human",0
2017,Alameda,Relapsing Fever,0
2017,Alameda,Rubella,0
