County,Year,Sex,Disease,Cases,Branch
Alameda,2021,Total,Anaplasmosis,1,IDB
Alpine,2021,Total,Anaplasmosis,0,IDB
Amador,2021,Total,Anaplasmosis,0,IDB
Butte,2021,Total,Anaplasmosis,0,IDB
Calaveras,2021,Total,Anaplasmosis,0,IDB
CALIFORNIA,2021,Total,Anaplasmosis,14,IDB
Colusa,2021,Total,Anaplasmosis,0,IDB
Contra Costa,2021,Total,Anaplasmosis,2,IDB
Del Norte,2021,Total,Anaplasmosis,0,IDB
El Dorado,2021,Total,Anaplasmosis,0,IDB
Fresno,2021,Total,Anaplasmosis,0,IDB
Glenn,2021,Total,Anaplasmosis,0,IDB
Humboldt,2021,Total,Anaplasmosis,0,IDB
Imperial,2021,Total,Anaplasmosis,0,IDB
Inyo,2021,Total,Anaplasmosis,0,IDB
Kern,2021,Total,Anaplasmosis,0,IDB
Kings,2021,Total,Anaplasmosis,0,IDB
Lake,2021,Total,Anaplasmosis,1,IDB
Lassen,2021,Total,Anaplasmosis,0,IDB
Los Angeles,2021,Total,Anaplasmosis,1,IDB
Madera,2021,Total,Anaplasmosis,0,IDB
Marin,2021,Total,Anaplasmosis,5,IDB
Mariposa,2021,Total,Anaplasmosis,0,IDB
Mendocino,2021,Total,Anaplasmosis,1,IDB
Merced,2021,Total,Anaplasmosis,0,IDB
Modoc,2021,Total,Anaplasmosis,0,IDB
Mono,2021,Total,Anaplasmosis,0,IDB
Monterey,2021,Total,Anaplasmosis,0,IDB
Napa,2021,Total,Anaplasmosis,0,IDB
Nevada,2021,Total,Anaplasmosis,0,IDB
Orange,2021,Total,Anaplasmosis,0,IDB
Placer,2021,Total,Anaplasmosis,0,IDB
Plumas,2021,Total,Anaplasmosis,0,IDB
Riverside,2021,Total,Anaplasmosis,0,IDB
Sacramento,2021,Total,Anaplasmosis,0,IDB
San Benito,2021,Total,Anaplasmosis,0,IDB
San Bernardino,2021,Total,Anaplasmosis,0,IDB
San Diego,2021,Total,Anaplasmosis,0,IDB
San Francisco,2021,Total,Anaplasmosis,0,IDB
San Joaquin,2021,Total,Anaplasmosis,0,IDB
San Luis Obispo,2021,Total,Anaplasmosis,0,IDB
San Mateo,2021,Total,Anaplasmosis,0,IDB
Santa Barbara,2021,Total,Anaplasmosis,0,IDB
Santa Clara,2021,Total,Anaplasmosis,1,IDB
