measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
3,YLDs (Years Lived with Disability),527,California,1,Male,1,<5 years,294,All causes,92,Child and maternal malnutrition,1,Number,2009,3158.460870722428,4474.793802086353,2180.4189087502136
3,YLDs (Years Lived with Disability),527,California,2,Female,1,<5 years,294,All causes,92,Child and maternal malnutrition,1,Number,2009,2714.8705786701935,3700.068245409421,1922.396555019965
3,YLDs (Years Lived with Disability),527,California,3,Both,1,<5 years,294,All causes,92,Child and maternal malnutrition,1,Number,2009,5873.331449392615,7911.988719868905,4351.2161290551985
3,YLDs (Years Lived with Disability),527,California,1,Male,1,<5 years,294,All causes,92,Child and maternal malnutrition,2,Percent,2009,0.09102563361199184,0.12646011763351947,0.06351227504604932
3,YLDs (Years Lived with Disability),527,California,2,Female,1,<5 years,294,All causes,92,Child and maternal malnutrition,2,Percent,2009,0.09915923738270675,0.13091359311433448,0.0715490374201436
3,YLDs (Years Lived with Disability),527,California,3,Both,1,<5 years,294,All causes,92,Child and maternal malnutrition,2,Percent,2009,0.09467471973362228,0.12303138117829189,0.06993751487793501
3,YLDs (Years Lived with Disability),527,California,1,Male,1,<5 years,294,All causes,92,Child and maternal malnutrition,3,Rate,2009,239.61057164602343,339.4716429305487,165.4132954428333
3,YLDs (Years Lived with Disability),527,California,2,Female,1,<5 years,294,All causes,92,Child and maternal malnutrition,3,Rate,2009,215.7172232745367,293.99870995580477,152.74910345249975
3,YLDs (Years Lived with Disability),527,California,3,Both,1,<5 years,294,All causes,92,Child and maternal malnutrition,3,Rate,2009,227.9403775761784,307.0594111237982,168.86801909927394
3,YLDs (Years Lived with Disability),527,California,1,Male,23,5-14 years,294,All causes,92,Child and maternal malnutrition,1,Number,2009,6395.92390796513,9281.606517820946,4462.954890133925
3,YLDs (Years Lived with Disability),527,California,2,Female,23,5-14 years,294,All causes,92,Child and maternal malnutrition,1,Number,2009,5766.152911934414,8194.16330308426,4030.2945948843526
3,YLDs (Years Lived with Disability),527,California,3,Both,23,5-14 years,294,All causes,92,Child and maternal malnutrition,1,Number,2009,12162.076819899552,16745.83751345687,8880.506884366583
3,YLDs (Years Lived with Disability),527,California,1,Male,23,5-14 years,294,All causes,92,Child and maternal malnutrition,2,Percent,2009,0.06055491921596809,0.08443145269056325,0.04242012196628173
3,YLDs (Years Lived with Disability),527,California,2,Female,23,5-14 years,294,All causes,92,Child and maternal malnutrition,2,Percent,2009,0.056210990841809506,0.07709469657473549,0.03903249266161992
3,YLDs (Years Lived with Disability),527,California,3,Both,23,5-14 years,294,All causes,92,Child and maternal malnutrition,2,Percent,2009,0.058433056052836795,0.07753396843176334,0.042987060571866756
3,YLDs (Years Lived with Disability),527,California,1,Male,23,5-14 years,294,All causes,92,Child and maternal malnutrition,3,Rate,2009,242.91028367793223,352.5053932275658,169.49820760909532
3,YLDs (Years Lived with Disability),527,California,2,Female,23,5-14 years,294,All causes,92,Child and maternal malnutrition,3,Rate,2009,229.35812363608935,325.93619154172035,160.3115318135464
