measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),527,California,1,Male,22,All ages,344,Neglected tropical diseases and malaria,1,Number,2009,4312.7729513980885,7852.37167704197,2270.4122117624647
2,DALYs (Disability-Adjusted Life Years),527,California,2,Female,22,All ages,344,Neglected tropical diseases and malaria,1,Number,2009,6483.777395433035,11378.837196559081,3372.546074722573
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,2009,10796.550346831116,19219.665117888697,5648.34875951644
2,DALYs (Disability-Adjusted Life Years),527,California,1,Male,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,2009,0.0008677220057439317,0.0015219734943346989,0.000471403478944761
2,DALYs (Disability-Adjusted Life Years),527,California,2,Female,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,2009,0.001351464000857046,0.0023504107364586495,0.0007121937658475756
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,2009,0.0011051894141784595,0.0019239903270056517,0.0005987234239700319
2,DALYs (Disability-Adjusted Life Years),527,California,1,Male,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,2009,23.47279855079029,42.73750104590758,12.356998403238096
2,DALYs (Disability-Adjusted Life Years),527,California,2,Female,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,2009,34.959769861585436,61.35336015149938,18.184374235756753
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,2009,29.243182110828357,52.057754476782364,15.298932167578046
2,DALYs (Disability-Adjusted Life Years),527,California,1,Male,22,All ages,669,Sense organ diseases,1,Number,2009,135652.67457749567,190764.87531209673,94021.43749043156
2,DALYs (Disability-Adjusted Life Years),527,California,2,Female,22,All ages,669,Sense organ diseases,1,Number,2009,122978.68062293991,170877.29469509548,85823.82061374595
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All ages,669,Sense organ diseases,1,Number,2009,258631.35520043527,358086.6245234488,179358.47960224986
2,DALYs (Disability-Adjusted Life Years),527,California,1,Male,22,All ages,669,Sense organ diseases,2,Percent,2009,0.02722405321045318,0.03529018545334923,0.02083685553100808
2,DALYs (Disability-Adjusted Life Years),527,California,2,Female,22,All ages,669,Sense organ diseases,2,Percent,2009,0.025559124763069926,0.03221946813423737,0.02011600267770943
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All ages,669,Sense organ diseases,2,Percent,2009,0.026403666004401544,0.033363093209487694,0.020450576167008905
2,DALYs (Disability-Adjusted Life Years),527,California,1,Male,22,All ages,669,Sense organ diseases,3,Rate,2009,738.3064072967835,1038.2613551023824,511.7232663391636
2,DALYs (Disability-Adjusted Life Years),527,California,2,Female,22,All ages,669,Sense organ diseases,3,Rate,2009,663.0866715886465,921.3504000489944,462.7520092549636
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All ages,669,Sense organ diseases,3,Rate,2009,700.5204048269479,969.9016848899817,485.80449436512265
2,DALYs (Disability-Adjusted Life Years),527,California,1,Male,22,All ages,955,HIV/AIDS and sexually transmitted infections,1,Number,2009,44370.581670495645,52934.41127065692,38170.75709242435
2,DALYs (Disability-Adjusted Life Years),527,California,2,Female,22,All ages,955,HIV/AIDS and sexually transmitted infections,1,Number,2009,13325.026592927805,17184.567359769506,10903.788669676647
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,1,Number,2009,57695.60826342352,68845.44691242451,49644.97199080913
2,DALYs (Disability-Adjusted Life Years),527,California,1,Male,22,All ages,955,HIV/AIDS and sexually transmitted infections,2,Percent,2009,0.008960229320714504,0.010326146198933435,0.0076819028312473964
2,DALYs (Disability-Adjusted Life Years),527,California,2,Female,22,All ages,955,HIV/AIDS and sexually transmitted infections,2,Percent,2009,0.0027886672566517262,0.003495805874346554,0.002287362961192668
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,2,Percent,2009,0.005930042822907555,0.006854296823140961,0.00505237587218292
2,DALYs (Disability-Adjusted Life Years),527,California,1,Male,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,2009,241.49236161280135,288.10206012770107,207.7490519112944
2,DALYs (Disability-Adjusted Life Years),527,California,2,Female,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,2009,71.84698589689158,92.65717859031021,58.7919540204695
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,2009,156.27243195670488,186.47251917389545,134.46674263324414
2,DALYs (Disability-Adjusted Life Years),527,California,1,Male,22,All ages,956,Respiratory infections and tuberculosis,1,Number,2009,79886.6820332872,92315.162517991,70352.1160168796
2,DALYs (Disability-Adjusted Life Years),527,California,2,Female,22,All ages,956,Respiratory infections and tuberculosis,1,Number,2009,77344.98945623252,90623.07882953896,67211.05335238032
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All ages,956,Respiratory infections and tuberculosis,1,Number,2009,157231.67148951974,183408.13695767173,137641.87420945815
2,DALYs (Disability-Adjusted Life Years),527,California,1,Male,22,All ages,956,Respiratory infections and tuberculosis,2,Percent,2009,0.0161293344172882,0.017953325234259028,0.014353327301183052
2,DALYs (Disability-Adjusted Life Years),527,California,2,Female,22,All ages,956,Respiratory infections and tuberculosis,2,Percent,2009,0.01619337237401746,0.018447532213507423,0.014009368938343604
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All ages,956,Respiratory infections and tuberculosis,2,Percent,2009,0.016159219318170784,0.0181028863381673,0.014231915621274151
2,DALYs (Disability-Adjusted Life Years),527,California,1,Male,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,2009,434.79311695518555,502.4366544187822,382.9000658035374
2,DALYs (Disability-Adjusted Life Years),527,California,2,Female,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,2009,417.0351426995663,488.6290485945045,362.39414373001125
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,2009,425.87254773535113,496.77326343734904,372.81226542553077
2,DALYs (Disability-Adjusted Life Years),527,California,1,Male,22,All ages,957,Enteric infections,1,Number,2009,16457.581540125786,20531.693425820664,13235.45101517657
2,DALYs (Disability-Adjusted Life Years),527,California,2,Female,22,All ages,957,Enteric infections,1,Number,2009,19661.22833933296,24302.5476443547,15829.851371033712
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All ages,957,Enteric infections,1,Number,2009,36118.80987945875,45060.89539304127,29166.636831691194
2,DALYs (Disability-Adjusted Life Years),527,California,1,Male,22,All ages,957,Enteric infections,2,Percent,2009,0.0033109681638462665,0.003735009876559866,0.0029310015679606238
2,DALYs (Disability-Adjusted Life Years),527,California,2,Female,22,All ages,957,Enteric infections,2,Percent,2009,0.004099975382968715,0.004553869547411934,0.003691186324351249
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All ages,957,Enteric infections,2,Percent,2009,0.003698006268827076,0.004115390389461166,0.003337084110243834
2,DALYs (Disability-Adjusted Life Years),527,California,1,Male,22,All ages,957,Enteric infections,3,Rate,2009,89.57241674392996,111.74627301783724,72.03557407476802
2,DALYs (Disability-Adjusted Life Years),527,California,2,Female,22,All ages,957,Enteric infections,3,Rate,2009,106.01104510825903,131.03649630156875,85.35270832466338
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All ages,957,Enteric infections,3,Rate,2009,97.83022363633106,122.05046313172191,78.9997957708667
