measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,527,California,3,Both,22,All Ages,294,All causes,82,"Unsafe water, sanitation, and handwashing",1,Number,2019,190.89256607817234,274.79935469247783,119.04204431859561
1,Deaths,527,California,3,Both,22,All Ages,294,All causes,82,"Unsafe water, sanitation, and handwashing",2,Percent,2019,0.000678030876324713,0.0009742910988208288,0.0004232868087287432
1,Deaths,527,California,3,Both,22,All Ages,294,All causes,82,"Unsafe water, sanitation, and handwashing",3,Rate,2019,0.47876306253600187,0.6892032693489542,0.2985602576329668
1,Deaths,527,California,3,Both,22,All Ages,294,All causes,85,Air pollution,1,Number,2019,7736.998879262423,11035.63202459562,5087.629602044918
1,Deaths,527,California,3,Both,22,All Ages,294,All causes,85,Air pollution,2,Percent,2019,0.02746645758944884,0.03704757901141743,0.018316474261071046
1,Deaths,527,California,3,Both,22,All Ages,294,All causes,85,Air pollution,3,Rate,2019,19.4045758531864,27.677625659619185,12.759895156558237
1,Deaths,527,California,3,Both,22,All Ages,294,All causes,89,Other environmental risks,1,Number,2019,3258.985437966306,5553.967606474029,1366.302944493904
1,Deaths,527,California,3,Both,22,All Ages,294,All causes,89,Other environmental risks,2,Percent,2019,0.011579215845877183,0.020325111448645107,0.004839759113295509
1,Deaths,527,California,3,Both,22,All Ages,294,All causes,89,Other environmental risks,3,Rate,2019,8.173612420307819,13.929481881512096,3.4267200420470187
1,Deaths,527,California,3,Both,22,All Ages,294,All causes,92,Child and maternal malnutrition,1,Number,2019,1215.9270305544744,1339.9100122726518,1083.3927306723856
1,Deaths,527,California,3,Both,22,All Ages,294,All causes,92,Child and maternal malnutrition,2,Percent,2019,0.004329304106568838,0.00491730241041659,0.003739881393199903
1,Deaths,527,California,3,Both,22,All Ages,294,All causes,92,Child and maternal malnutrition,3,Rate,2019,3.0495736996388594,3.360525944921321,2.7171745465119104
1,Deaths,527,California,3,Both,22,All Ages,294,All causes,98,Tobacco,1,Number,2019,42374.59604402632,48841.168304737046,36347.104791782585
1,Deaths,527,California,3,Both,22,All Ages,294,All causes,98,Tobacco,2,Percent,2019,0.15031696827901597,0.15904895373334377,0.1422732099256657
1,Deaths,527,California,3,Both,22,All Ages,294,All causes,98,Tobacco,3,Rate,2019,106.27648730677178,122.4948032069331,91.1593969421767
1,Deaths,527,California,3,Both,22,All Ages,294,All causes,381,Childhood sexual abuse and bullying,1,Number,2019,169.74427581872555,379.676326041616,22.41197690043474
1,Deaths,527,California,3,Both,22,All Ages,294,All causes,381,Childhood sexual abuse and bullying,2,Percent,2019,0.000602240125772406,0.0013600782472180997,8.118775096491702e-05
1,Deaths,527,California,3,Both,22,All Ages,294,All causes,381,Childhood sexual abuse and bullying,3,Rate,2019,0.42572265127207237,0.9522371895491358,0.05620976719409917
1,Deaths,527,California,3,Both,22,All Ages,322,Lower respiratory infections,92,Child and maternal malnutrition,1,Number,2019,23.536647105858215,33.29046848961365,15.045173153279702
1,Deaths,527,California,3,Both,22,All Ages,322,Lower respiratory infections,92,Child and maternal malnutrition,2,Percent,2019,0.0027619477927545728,0.003994422922100422,0.0016699907189127344
1,Deaths,527,California,3,Both,22,All Ages,322,Lower respiratory infections,92,Child and maternal malnutrition,3,Rate,2019,0.05903046662181308,0.08349328093174056,0.03773364947223191
1,Deaths,527,California,3,Both,22,All Ages,322,Lower respiratory infections,98,Tobacco,1,Number,2019,1473.8056787680898,1918.54332099357,1087.0318485173946
1,Deaths,527,California,3,Both,22,All Ages,322,Lower respiratory infections,98,Tobacco,2,Percent,2019,0.17177671036919168,0.21078263698520594,0.134868139698144
1,Deaths,527,California,3,Both,22,All Ages,322,Lower respiratory infections,98,Tobacco,3,Rate,2019,3.69633943765526,4.811751944236145,2.7263015399836847
1,Deaths,527,California,3,Both,22,All Ages,393,Sexually transmitted infections excluding HIV,170,Unsafe sex,1,Number,2019,15.014044888773855,18.633536911155943,12.087692679959373
1,Deaths,527,California,3,Both,22,All Ages,393,Sexually transmitted infections excluding HIV,170,Unsafe sex,2,Percent,2019,0.9915257632509487,0.9943666881962272,0.9880271086098836
1,Deaths,527,California,3,Both,22,All Ages,393,Sexually transmitted infections excluding HIV,170,Unsafe sex,3,Rate,2019,0.03765557904993926,0.04673335049521724,0.03031621862153326
1,Deaths,527,California,3,Both,22,All Ages,322,Lower respiratory infections,102,Alcohol use,1,Number,2019,598.1634999921055,1094.3559882432232,158.51238736774278
