measure,location,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),California,Both,85+ years,Chronic respiratory diseases,Number,2019,31935.03815549117,36936.591070348004,26310.005320277065
YLDs (Years Lived with Disability),California,Both,85+ years,Chronic respiratory diseases,Rate,2019,4149.238549358271,4799.0776402005895,3418.3922930414224
YLDs (Years Lived with Disability),California,Both,65-74 years,Chronic respiratory diseases,Number,2019,77212.87604625305,91154.85656339573,62505.477642464924
YLDs (Years Lived with Disability),California,Both,65-74 years,Chronic respiratory diseases,Rate,2019,2255.253132700004,2662.4740114883193,1825.6757354775389
YLDs (Years Lived with Disability),California,Both,55-59 years,Unintentional injuries,Number,2019,26333.965008475512,37385.106996764844,18188.248341535265
YLDs (Years Lived with Disability),California,Both,55-59 years,Unintentional injuries,Rate,2019,1017.8029684142982,1444.9276006688283,702.9724975450134
YLDs (Years Lived with Disability),California,Both,60-64 years,Unintentional injuries,Number,2019,27633.320518975444,38590.58779963237,18969.764016079636
YLDs (Years Lived with Disability),California,Both,60-64 years,Unintentional injuries,Rate,2019,1183.695028218674,1653.0581941136443,812.5847683377688
YLDs (Years Lived with Disability),California,Both,65-74 years,Unintentional injuries,Number,2019,52123.07469686914,72065.11964991373,35999.360909103016
YLDs (Years Lived with Disability),California,Both,65-74 years,Unintentional injuries,Rate,2019,1522.4238950204845,2104.8961672080536,1051.4784013072972
YLDs (Years Lived with Disability),California,Both,75-84 years,Unintentional injuries,Number,2019,39104.12376458171,53874.357885134086,27802.62114415648
YLDs (Years Lived with Disability),California,Both,75-84 years,Unintentional injuries,Rate,2019,2334.899338903463,3216.8270376584337,1660.0888980428176
YLDs (Years Lived with Disability),California,Both,55-59 years,Digestive diseases,Number,2019,8756.937180661596,12929.348693853139,5788.9563669874315
YLDs (Years Lived with Disability),California,Both,55-59 years,Digestive diseases,Rate,2019,338.45403279856777,499.7169805622469,223.7421129877073
YLDs (Years Lived with Disability),California,Both,60-64 years,Digestive diseases,Number,2019,8739.608188007005,12508.766659451814,5950.7227380419245
YLDs (Years Lived with Disability),California,Both,60-64 years,Digestive diseases,Rate,2019,374.3679936553158,535.8228626115762,254.90389092006254
YLDs (Years Lived with Disability),California,Both,85+ years,Unintentional injuries,Number,2019,29699.109710799232,40877.04888180709,20784.152365866707
YLDs (Years Lived with Disability),California,Both,85+ years,Unintentional injuries,Rate,2019,3858.730034818504,5311.0513342296545,2700.432227207516
YLDs (Years Lived with Disability),California,Both,85+ years,Digestive diseases,Number,2019,3531.231210548276,4710.014518835273,2545.6389930715945
YLDs (Years Lived with Disability),California,Both,85+ years,Digestive diseases,Rate,2019,458.8039191988441,611.9602461232091,330.7484209467285
YLDs (Years Lived with Disability),California,Both,65-74 years,Digestive diseases,Number,2019,14860.487912921077,20847.277485084287,10339.63393443827
YLDs (Years Lived with Disability),California,Both,65-74 years,Digestive diseases,Rate,2019,434.04887416691633,608.912532002286,302.0026324060852
YLDs (Years Lived with Disability),California,Both,75-84 years,Digestive diseases,Number,2019,8064.560943480094,10970.05759377388,5672.036282089761
YLDs (Years Lived with Disability),California,Both,75-84 years,Digestive diseases,Rate,2019,481.5333065341166,655.019925203777,338.67614180587185
YLDs (Years Lived with Disability),California,Both,55-59 years,Self-harm and interpersonal violence,Number,2019,3343.63956323128,4539.308419557492,2352.485506750479
YLDs (Years Lived with Disability),California,Both,55-59 years,Self-harm and interpersonal violence,Rate,2019,129.23106230561876,175.44344660922337,90.92313790010851
YLDs (Years Lived with Disability),California,Both,60-64 years,Self-harm and interpersonal violence,Number,2019,2993.457303884201,4057.0504236300358,2127.4566039996926
YLDs (Years Lived with Disability),California,Both,60-64 years,Self-harm and interpersonal violence,Rate,2019,128.22709906901852,173.78694726121148,91.13127766082852
YLDs (Years Lived with Disability),California,Both,85+ years,Self-harm and interpersonal violence,Number,2019,801.0090814442094,1093.0113167729205,570.4343587268428
YLDs (Years Lived with Disability),California,Both,85+ years,Self-harm and interpersonal violence,Rate,2019,104.07307932221428,142.01218950662914,74.11509012713991
YLDs (Years Lived with Disability),California,Both,85+ years,Neurological disorders,Number,2019,38644.53812045417,50326.61654712308,27923.679223390536
YLDs (Years Lived with Disability),California,Both,85+ years,Neurological disorders,Rate,2019,5020.986870621995,6538.809705482979,3628.0528524649453
YLDs (Years Lived with Disability),California,Both,65-74 years,Neurological disorders,Number,2019,36061.51348610264,57329.374317349306,21617.806460707743
YLDs (Years Lived with Disability),California,Both,65-74 years,Neurological disorders,Rate,2019,1053.293769431906,1674.490805749586,631.4183364107366
YLDs (Years Lived with Disability),California,Both,75-84 years,Neurological disorders,Number,2019,34627.08814536163,46088.80025050406,24653.413820023405
YLDs (Years Lived with Disability),California,Both,75-84 years,Neurological disorders,Rate,2019,2067.5764455304547,2751.952962393832,1472.0503642182018
YLDs (Years Lived with Disability),California,Both,85+ years,Neoplasms,Number,2019,9843.40296096376,12654.638196799107,7249.842421739656
YLDs (Years Lived with Disability),California,Both,85+ years,Neoplasms,Rate,2019,1278.9283928090551,1644.1850602677919,941.9536468561465
YLDs (Years Lived with Disability),California,Both,65-74 years,Neoplasms,Number,2019,35202.58471355198,49458.240334201335,23526.15048894231
YLDs (Years Lived with Disability),California,Both,65-74 years,Neoplasms,Rate,2019,1028.205961487793,1444.5887417109113,687.1577294799346
YLDs (Years Lived with Disability),California,Both,75-84 years,Neoplasms,Number,2019,23054.493620036003,30521.305362348256,16013.271691581838
YLDs (Years Lived with Disability),California,Both,75-84 years,Neoplasms,Rate,2019,1376.5791617336338,1822.420984089783,956.149221280369
YLDs (Years Lived with Disability),California,Both,55-59 years,Mental disorders,Number,2019,57096.39442194733,73696.62598183376,43080.73955600621
YLDs (Years Lived with Disability),California,Both,55-59 years,Mental disorders,Rate,2019,2206.7652823913186,2848.3612195234305,1665.0627654238212
YLDs (Years Lived with Disability),California,Both,60-64 years,Mental disorders,Number,2019,46448.134156906846,60107.18085648427,34400.260745808395
YLDs (Years Lived with Disability),California,Both,60-64 years,Mental disorders,Rate,2019,1989.6423751828977,2574.7383884323385,1473.5622375268986
YLDs (Years Lived with Disability),California,Both,85+ years,Mental disorders,Number,2019,8788.613684253141,11301.879158000223,6527.051832189925
YLDs (Years Lived with Disability),California,Both,85+ years,Mental disorders,Rate,2019,1141.8822960714226,1468.4245077220908,848.0432978948928
YLDs (Years Lived with Disability),California,Both,65-74 years,Mental disorders,Number,2019,58513.54914282046,74524.4377445202,43673.595438395554
YLDs (Years Lived with Disability),California,Both,65-74 years,Mental disorders,Rate,2019,1709.0784823335862,2176.7285495926258,1275.629376500785
YLDs (Years Lived with Disability),California,Both,55-59 years,Neurological disorders,Number,2019,24659.960192984476,48765.277562954616,9967.622976681045
