age_group_id,age_group_name,location_id,location_name,measure_id,measure_name,metric_id,metric_name,mm_title,sex_id,sex,year_id,year_name,cause_id,cause_name
1,Under 5,1,Global,1,Deaths,1,Number,,1,Male,1990,1990,294,All causes
2,Early Neonatal,4,"Southeast Asia, East Asia, and Oceania",2,DALYs (Disability-Adjusted Life Years),2,Percent,,2,Female,1991,1991,295,"Communicable, maternal, neonatal, and nutritional diseases"
3,Late Neonatal,5,East Asia,3,YLDs (Years Lived with Disability),3,Rate,,3,Both,1992,1992,296,HIV/AIDS and tuberculosis
4,Post Neonatal,6,China,4,YLLs (Years of Life Lost),,,,,,1993,1993,297,Tuberculosis
5,1 to 4,7,North Korea,5,Prevalence,,,,,,1994,1994,298,HIV/AIDS
6,5 to 9,8,Taiwan,6,Incidence,,,,,,1995,1995,300,HIV/AIDS resulting in other diseases
7,10 to 14,9,Southeast Asia,25,Maternal mortality ratio,,,,,,1996,1996,301,"Diarrhea, lower respiratory, and other common infectious diseases"
8,15 to 19,10,Cambodia,,,,,,,,1997,1997,302,Diarrheal diseases
9,20 to 24,11,Indonesia,,,,,,,,1998,1998,318,Intestinal infectious diseases
10,25 to 29,12,Laos,,,,,,,,1999,1999,319,Typhoid fever
11,30 to 34,13,Malaysia,,,,, deaths,,,2000,2000,320,Paratyphoid fever
12,35 to 39,14,Maldives,,,,,% of total deaths,,,2001,2001,321,Other intestinal infectious diseases
13,40 to 44,15,Myanmar,,,,," deaths per 100,000",,,2002,2002,322,Lower respiratory infections
14,45 to 49,16,Philippines,,,,,,,,2003,2003,328,Upper respiratory infections
15,50 to 54,17,Sri Lanka,,,,,,,,2004,2004,329,Otitis media
16,55 to 59,18,Thailand,,,,,,,,2005,2005,332,Meningitis
17,60 to 64,19,Timor-Leste,,,,,,,,2006,2006,333,Pneumococcal meningitis
18,65 to 69,20,Vietnam,,,,,,,,2007,2007,334,H influenzae type B meningitis
19,70 to 74,21,Oceania,,,,,,,,2008,2008,335,Meningococcal meningitis
20,75 to 79,22,Fiji,,,,,,,,2009,2009,336,Other meningitis
21,80 plus,23,Kiribati,,,,, DALYs,,,2010,2010,337,Encephalitis
22,All Ages,24,Marshall Islands,,,,,% of total DALYs,,,2011,2011,338,Diphtheria
23,5-14 years,25,Federated States of Micronesia,,,,," DALYs per 100,000",,,2012,2012,339,Whooping cough
24,15-49 years,26,Papua New Guinea,,,,,,,,2013,2013,340,Tetanus
25,50-69 years,27,Samoa,,,,,,,,2014,2014,341,Measles
26,70+ years,28,Solomon Islands,,,,,,,,2015,2015,342,Varicella and herpes zoster
27,Age-standardized,29,Tonga,,,,,,,,2016,2016,344,Neglected tropical diseases and malaria
28,<1 year,30,Vanuatu,,,,,,,,,,345,Malaria
30,80 to 84,31,"Central Europe, Eastern Europe, and Central Asia",,,,,,,,,,346,Chagas disease
31,85 to 89,32,Central Asia,,,,,,,,,,347,Leishmaniasis
32,90 to 94,33,Armenia,,,,, YLDs,,,,,348,Visceral leishmaniasis
158,<20 years,34,Azerbaijan,,,,,% of total YLDs,,,,,349,Cutaneous and mucocutaneous leishmaniasis
159,10 to 24,35,Georgia,,,,," YLDs per 100,000",,,,,350,African trypanosomiasis
162,10 to 19,36,Kazakhstan,,,,,,,,,,351,Schistosomiasis
163,20 to 64,37,Kyrgyzstan,,,,,,,,,,352,Cysticercosis
169,10 to 54,38,Mongolia,,,,,,,,,,353,Cystic echinococcosis
188,5 to 19,39,Tajikistan,,,,,,,,,,354,Lymphatic filariasis
235,95 plus,40,Turkmenistan,,,,,,,,,,355,Onchocerciasis
,,41,Uzbekistan,,,,,,,,,,356,Trachoma
,,42,Central Europe,,,,,,,,,,357,Dengue
,,43,Albania,,,,, YLLs,,,,,358,Yellow fever
,,44,Bosnia and Herzegovina,,,,,% of total YLLs,,,,,359,Rabies
,,45,Bulgaria,,,,," YLLs per 100,000",,,,,360,Intestinal nematode infections
,,46,Croatia,,,,,,,,,,361,Ascariasis
,,47,Czech Republic,,,,,,,,,,362,Trichuriasis
,,48,Hungary,,,,,,,,,,363,Hookworm disease
,,49,Macedonia,,,,,,,,,,364,Food-borne trematodiases
,,50,Montenegro,,,,,,,,,,365,Other neglected tropical diseases
,,51,Poland,,,,,,,,,,366,Maternal disorders
,,52,Romania,,,,,,,,,,367,Maternal hemorrhage
,,53,Serbia,,,,,,,,,,368,Maternal sepsis and other maternal infections
,,54,Slovakia,,,,,,,,,,369,Maternal hypertensive disorders
,,55,Slovenia,,,,,,,,,,370,Maternal obstructed labor and uterine rupture
,,56,Eastern Europe,,,,,,,,,,371,"Maternal abortion, miscarriage, and ectopic pregnancy"
,,57,Belarus,,,,,,,,,,375,Indirect maternal deaths
,,58,Estonia,,,,,,,,,,376,Late maternal deaths
,,59,Latvia,,,,,,,,,,379,Other maternal disorders
,,60,Lithuania,,,,,,,,,,380,Neonatal disorders
,,61,Moldova,,,,,,,,,,381,Neonatal preterm birth
,,62,Russian Federation,,,,,,,,,,382,Neonatal encephalopathy due to birth asphyxia and trauma
,,63,Ukraine,,,,,,,,,,383,Neonatal sepsis and other neonatal infections
,,64,High-income,,,,,,,,,,384,Hemolytic disease and other neonatal jaundice
,,65,High-income Asia Pacific,,,,,,,,,,385,Other neonatal disorders
,,66,Brunei,,,,,,,,,,386,Nutritional deficiencies
,,67,Japan,,,,,,,,,,387,Protein-energy malnutrition
,,68,South Korea,,,,,,,,,,388,Iodine deficiency
,,69,Singapore,,,,,,,,,,389,Vitamin A deficiency
,,70,Australasia,,,,,,,,,,390,Dietary iron deficiency
,,71,Australia,,,,,,,,,,391,Other nutritional deficiencies
,,72,New Zealand,,,,,,,,,,392,"Other communicable, maternal, neonatal, and nutritional diseases"
,,73,Western Europe,,,,,,,,,,393,Sexually transmitted diseases excluding HIV
,,74,Andorra,,,,,,,,,,394,Syphilis
,,75,Austria,,,,,,,,,,395,Chlamydial infection
,,76,Belgium,,,,,,,,,,396,Gonococcal infection
,,77,Cyprus,,,,,,,,,,397,Trichomoniasis
,,78,Denmark,,,,,,,,,,398,Genital herpes
,,79,Finland,,,,,,,,,,399,Other sexually transmitted diseases
,,80,France,,,,,,,,,,400,Acute hepatitis
,,81,Germany,,,,,,,,,,401,Acute hepatitis A
,,82,Greece,,,,,,,,,,402,Acute hepatitis B
