measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,527,California,1,Male,9,20-24 years,322,Lower respiratory infections,1,Number,1990,105.98480590389426,140.7286651463603,77.79433943570824
5,Prevalence,527,California,2,Female,9,20-24 years,322,Lower respiratory infections,1,Number,1990,99.61313339616568,134.29043854808717,71.47514906261145
5,Prevalence,527,California,3,Both,9,20-24 years,322,Lower respiratory infections,1,Number,1990,205.5979393000601,272.65181268978586,150.78372296497042
5,Prevalence,527,California,1,Male,9,20-24 years,322,Lower respiratory infections,3,Rate,1990,7.68499216308,10.20428050556,5.64089242601
5,Prevalence,527,California,2,Female,9,20-24 years,322,Lower respiratory infections,3,Rate,1990,8.38709404068,11.30680763135,6.01796948175
5,Prevalence,527,California,3,Both,9,20-24 years,322,Lower respiratory infections,3,Rate,1990,8.00986364442,10.62220686395,5.87436364809
5,Prevalence,527,California,1,Male,9,20-24 years,322,Lower respiratory infections,1,Number,2000,85.00857995126051,108.96728320221384,63.51830428135166
5,Prevalence,527,California,2,Female,9,20-24 years,322,Lower respiratory infections,1,Number,2000,86.82052114364004,111.15462409951068,64.50849522839525
5,Prevalence,527,California,3,Both,9,20-24 years,322,Lower respiratory infections,1,Number,2000,171.82910109490064,216.80268990813823,128.74432074747028
5,Prevalence,527,California,1,Male,9,20-24 years,322,Lower respiratory infections,3,Rate,2000,6.7099633881,8.601090398250001,5.01367622476
5,Prevalence,527,California,2,Female,9,20-24 years,322,Lower respiratory infections,3,Rate,2000,7.54764918418,9.6631084086,5.60797706544
5,Prevalence,527,California,3,Both,9,20-24 years,322,Lower respiratory infections,3,Rate,2000,7.10860195468,8.969167710479999,5.32617655734
5,Prevalence,527,California,1,Male,9,20-24 years,322,Lower respiratory infections,1,Number,2010,91.64345720715023,109.689455599595,73.11716982945356
5,Prevalence,527,California,2,Female,9,20-24 years,322,Lower respiratory infections,1,Number,2010,83.66251395746251,100.22301496863764,66.99427748077849
5,Prevalence,527,California,3,Both,9,20-24 years,322,Lower respiratory infections,1,Number,2010,175.3059711646127,208.37152321945476,141.85324248239317
5,Prevalence,527,California,1,Male,9,20-24 years,322,Lower respiratory infections,3,Rate,2010,6.27147947433,7.50642970386,5.00366140455
5,Prevalence,527,California,2,Female,9,20-24 years,322,Lower respiratory infections,3,Rate,2010,6.21124112181,7.44071965423,4.9737641332
5,Prevalence,527,California,3,Both,9,20-24 years,322,Lower respiratory infections,3,Rate,2010,6.242586419529999,7.42003955955,5.05134605059
5,Prevalence,527,California,1,Male,9,20-24 years,322,Lower respiratory infections,1,Number,2019,79.05642865307126,95.613042072724,62.05796198858084
5,Prevalence,527,California,2,Female,9,20-24 years,322,Lower respiratory infections,1,Number,2019,77.76125665464488,94.86135640066044,61.830076205019424
5,Prevalence,527,California,3,Both,9,20-24 years,322,Lower respiratory infections,1,Number,2019,156.81768530771606,188.647500818826,124.67733041707424
5,Prevalence,527,California,1,Male,9,20-24 years,322,Lower respiratory infections,3,Rate,2019,5.58499462141,6.75464772203,4.38412650087
5,Prevalence,527,California,2,Female,9,20-24 years,322,Lower respiratory infections,3,Rate,2019,5.86179547328,7.1508344059799995,4.66087196122
5,Prevalence,527,California,3,Both,9,20-24 years,322,Lower respiratory infections,3,Rate,2019,5.71890614824,6.87969185469,4.54679553565
5,Prevalence,527,California,1,Male,9,20-24 years,322,Lower respiratory infections,1,Number,2020,71.3224925514588,88.79377089537721,56.058648182090494
5,Prevalence,527,California,2,Female,9,20-24 years,322,Lower respiratory infections,1,Number,2020,72.48148939684947,90.24555232777672,56.00226773529273
