measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,558,Mental disorders,169,All risk factors,1,Number,2019,61892.046203458856,104835.20564186164,28220.700156629362
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,558,Mental disorders,169,All risk factors,2,Percent,2019,0.07213934888679455,0.11785540676898623,0.03789163774569126
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,558,Mental disorders,169,All risk factors,3,Rate,2019,155.22671309711035,262.92917082027907,70.77818225967583
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,410,Neoplasms,169,All risk factors,1,Number,2019,662361.4350095507,792195.8898257528,551449.5286580736
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,410,Neoplasms,169,All risk factors,2,Percent,2019,0.42124398554948617,0.4605602522083338,0.38545399969303057
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,410,Neoplasms,169,All risk factors,3,Rate,2019,1661.2181167969204,1986.8459947575634,1383.048437131165
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,508,Chronic respiratory diseases,169,All risk factors,1,Number,2019,347250.6182514973,395958.0813994582,300442.7803131488
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,508,Chronic respiratory diseases,169,All risk factors,2,Percent,2019,0.5339331410985217,0.5709730386445471,0.49640361445225667
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,508,Chronic respiratory diseases,169,All risk factors,3,Rate,2019,870.9127488679967,993.0722163850696,753.5175862251756
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,491,Cardiovascular diseases,169,All risk factors,1,Number,2019,1331346.0427598613,1536130.2663331593,1147953.270504762
