cause_id,cause_name,parent_id,level,cause_outline,sort_order,yll_only,yld_only
294,All causes,294,0,Total,1,,
295,"Communicable, maternal, neonatal, and nutritional diseases",294,1,A,2,,
955,HIV/AIDS and sexually transmitted infections,295,2,A.1,3,,
298,HIV/AIDS,955,3,A.1.1,4,,
948,HIV/AIDS - Drug-susceptible Tuberculosis,298,4,A.1.1.1,5,,
949,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,298,4,A.1.1.2,6,,
950,HIV/AIDS - Extensively drug-resistant Tuberculosis,298,4,A.1.1.3,7,,
300,HIV/AIDS resulting in other diseases,298,4,A.1.1.4,8,,
393,Sexually transmitted infections excluding HIV,955,3,A.1.2,9,,
394,Syphilis,393,4,A.1.2.1,10,,
395,Chlamydial infection,393,4,A.1.2.2,11,,
396,Gonococcal infection,393,4,A.1.2.3,12,,
397,Trichomoniasis,393,4,A.1.2.4,13,,X
398,Genital herpes,393,4,A.1.2.5,14,,X
399,Other sexually transmitted infections,393,4,A.1.2.6,15,,
956,Respiratory infections and tuberculosis,295,2,A.2,16,,
297,Tuberculosis,956,3,A.2.1,17,,
954,Latent tuberculosis infection,297,4,A.2.1.1,18,,X
934,Drug-susceptible tuberculosis,297,4,A.2.1.2,19,,
946,Multidrug-resistant tuberculosis without extensive drug resistance,297,4,A.2.1.3,20,,
947,Extensively drug-resistant tuberculosis,297,4,A.2.1.4,21,,
322,Lower respiratory infections,956,3,A.2.2,22,,
328,Upper respiratory infections,956,3,A.2.3,23,,
329,Otitis media,956,3,A.2.4,24,,
957,Enteric infections,295,2,A.3,25,,
302,Diarrheal diseases,957,3,A.3.1,26,,
958,Typhoid and paratyphoid,957,3,A.3.2,27,,
319,Typhoid fever,958,4,A.3.2.1,28,,
320,Paratyphoid fever,958,4,A.3.2.2,29,,
959,Invasive Non-typhoidal Salmonella (iNTS),957,3,A.3.3,30,,
321,Other intestinal infectious diseases,957,3,A.3.5,32,,
344,Neglected tropical diseases and malaria,295,2,A.4,33,,
345,Malaria,344,3,A.4.1,34,,
346,Chagas disease,344,3,A.4.2,35,,
347,Leishmaniasis,344,3,A.4.3,36,,
348,Visceral leishmaniasis,347,4,A.4.3.1,37,,
349,Cutaneous and mucocutaneous leishmaniasis,347,4,A.4.3.2,38,,X
350,African trypanosomiasis,344,3,A.4.4,39,,
351,Schistosomiasis,344,3,A.4.5,40,,
352,Cysticercosis,344,3,A.4.6,41,,
353,Cystic echinococcosis,344,3,A.4.7,42,,
354,Lymphatic filariasis,344,3,A.4.8,43,,X
355,Onchocerciasis,344,3,A.4.9,44,,X
356,Trachoma,344,3,A.4.10,45,,X
357,Dengue,344,3,A.4.11,46,,
358,Yellow fever,344,3,A.4.12,47,,
359,Rabies,344,3,A.4.13,48,,
360,Intestinal nematode infections,344,3,A.4.14,49,,
361,Ascariasis,360,4,A.4.14.1,50,,
362,Trichuriasis,360,4,A.4.14.2,51,,X
363,Hookworm disease,360,4,A.4.14.3,52,,X
364,Food-borne trematodiases,344,3,A.4.15,53,,X
405,Leprosy,344,3,A.4.16,54,,X
843,Ebola,344,3,A.4.17,55,,
935,Zika virus,344,3,A.4.18,56,,
936,Guinea worm disease,344,3,A.4.19,57,,X
365,Other neglected tropical diseases,344,3,A.4.20,58,,
961,Other infectious diseases,295,2,A.5,59,,
332,Meningitis,961,3,A.5.1,60,,
333,Pneumococcal meningitis,332,4,A.5.1.1,61,,
334,H influenzae type B meningitis,332,4,A.5.1.2,62,,
335,Meningococcal meningitis,332,4,A.5.1.3,63,,
336,Other meningitis,332,4,A.5.1.4,64,,
337,Encephalitis,961,3,A.5.2,65,,
338,Diphtheria,961,3,A.5.3,66,,
339,Whooping cough,961,3,A.5.4,67,,
340,Tetanus,961,3,A.5.5,68,,
341,Measles,961,3,A.5.6,69,,
342,Varicella and herpes zoster,961,3,A.5.7,70,,
400,Acute hepatitis,961,3,A.5.8,71,,
401,Acute hepatitis A,400,4,A.5.8.1,72,,
402,Acute hepatitis B,400,4,A.5.8.2,73,,
403,Acute hepatitis C,400,4,A.5.8.3,74,,
404,Acute hepatitis E,400,4,A.5.8.4,75,,
408,Other unspecified infectious diseases,961,3,A.5.9,76,,
962,Maternal and neonatal disorders,295,2,A.6,77,,
366,Maternal disorders,962,3,A.6.1,78,,
367,Maternal hemorrhage,366,4,A.6.1.1,79,,
368,Maternal sepsis and other maternal infections,366,4,A.6.1.2,80,,
369,Maternal hypertensive disorders,366,4,A.6.1.3,81,,
370,Maternal obstructed labor and uterine rupture,366,4,A.6.1.4,82,,
995,Maternal abortion and miscarriage,366,4,A.6.1.5,83,,
374,Ectopic pregnancy,366,4,A.6.1.6,84,,
375,Indirect maternal deaths,366,4,A.6.1.7,85,X,
376,Late maternal deaths,366,4,A.6.1.8,86,X,
741,Maternal deaths aggravated by HIV/AIDS,366,4,A.6.1.9,87,X,
379,Other maternal disorders,366,4,A.6.1.10,88,,
380,Neonatal disorders,962,3,A.6.2,89,,
381,Neonatal preterm birth,380,4,A.6.2.1,90,,
382,Neonatal encephalopathy due to birth asphyxia and trauma,380,4,A.6.2.2,91,,
383,Neonatal sepsis and other neonatal infections,380,4,A.6.2.3,92,,
384,Hemolytic disease and other neonatal jaundice,380,4,A.6.2.4,93,,
385,Other neonatal disorders,380,4,A.6.2.5,94,,
386,Nutritional deficiencies,295,2,A.7,95,,
387,Protein-energy malnutrition,386,3,A.7.1,96,,
388,Iodine deficiency,386,3,A.7.2,97,,X
389,Vitamin A deficiency,386,3,A.7.3,98,,X
390,Dietary iron deficiency,386,3,A.7.4,99,,X
391,Other nutritional deficiencies,386,3,A.7.5,100,,
409,Non-communicable diseases,294,1,B,101,,
410,Neoplasms,409,2,B.1,102,,
444,Lip and oral cavity cancer,410,3,B.1.1,103,,
447,Nasopharynx cancer,410,3,B.1.2,104,,
450,Other pharynx cancer,410,3,B.1.3,105,,
411,Esophageal cancer,410,3,B.1.4,106,,
414,Stomach cancer,410,3,B.1.5,107,,
441,Colon and rectum cancer,410,3,B.1.6,108,,
417,Liver cancer,410,3,B.1.7,109,,
418,Liver cancer due to hepatitis B,417,4,B.1.7.1,110,,
419,Liver cancer due to hepatitis C,417,4,B.1.7.2,111,,
420,Liver cancer due to alcohol use,417,4,B.1.7.3,112,,
996,Liver cancer due to NASH,417,4,B.1.7.4,113,,
421,Liver cancer due to other causes,417,4,B.1.7.5,114,,
453,Gallbladder and biliary tract cancer,410,3,B.1.8,115,,
456,Pancreatic cancer,410,3,B.1.9,116,,
423,Larynx cancer,410,3,B.1.10,117,,
426,"Tracheal, bronchus, and lung cancer",410,3,B.1.11,118,,
459,Malignant skin melanoma,410,3,B.1.12,119,,
462,Non-melanoma skin cancer,410,3,B.1.13,120,,
849,Non-melanoma skin cancer (squamous-cell carcinoma),462,4,B.1.13.1,121,,
850,Non-melanoma skin cancer (basal-cell carcinoma),462,4,B.1.13.2,122,,X
429,Breast cancer,410,3,B.1.14,123,,
