rei_id,rei_name,parent_id,rei_type,level,sort_order
169,All risk factors,169,Risk,0,1
202,Environmental/occupational risks,169,Risk,1,2
203,Behavioral risks,169,Risk,1,3
104,Metabolic risks,169,Risk,1,4
171,Etiologies,171,Etiology,0,5
191,Impairments,191,Impairment,0,6
362,Injuries,362,Injury n-codes,0,7
82,"Unsafe water, sanitation, and handwashing",202,Risk,2,8
83,Unsafe water source,82,Risk,3,9
84,Unsafe sanitation,82,Risk,3,10
238,No access to handwashing facility,82,Risk,3,11
85,Air pollution,202,Risk,2,12
380,Particulate matter pollution,85,Risk,3,13
86,Ambient particulate matter pollution,380,Risk,4,14
87,Household air pollution from solid fuels,380,Risk,4,15
88,Ambient ozone pollution,85,Risk,3,16
89,Other environmental risks,202,Risk,2,17
90,Residential radon,89,Risk,3,18
91,Lead exposure,89,Risk,3,19
126,Occupational risks,202,Risk,2,20
127,Occupational carcinogens,126,Risk,3,21
150,Occupational exposure to asbestos,127,Risk,4,22
151,Occupational exposure to arsenic,127,Risk,4,23
152,Occupational exposure to benzene,127,Risk,4,24
153,Occupational exposure to beryllium,127,Risk,4,25
154,Occupational exposure to cadmium,127,Risk,4,26
155,Occupational exposure to chromium,127,Risk,4,27
156,Occupational exposure to diesel engine exhaust,127,Risk,4,28
158,Occupational exposure to formaldehyde,127,Risk,4,29
159,Occupational exposure to nickel,127,Risk,4,30
160,Occupational exposure to polycyclic aromatic hydrocarbons,127,Risk,4,31
161,Occupational exposure to silica,127,Risk,4,32
162,Occupational exposure to sulfuric acid,127,Risk,4,33
237,Occupational exposure to trichloroethylene,127,Risk,4,34
128,Occupational asthmagens,126,Risk,3,35
129,"Occupational particulate matter, gases, and fumes",126,Risk,3,36
130,Occupational noise,126,Risk,3,37
131,Occupational injuries,126,Risk,3,38
132,Occupational ergonomic factors,126,Risk,3,39
92,Child and maternal malnutrition,203,Risk,2,40
93,Suboptimal breastfeeding,92,Risk,3,41
136,Non-exclusive breastfeeding,93,Risk,4,42
137,Discontinued breastfeeding,93,Risk,4,43
239,Child growth failure,92,Risk,3,44
94,Child underweight,239,Risk,4,45
240,Child wasting,239,Risk,4,46
241,Child stunting,239,Risk,4,47
339,Low birth weight and short gestation,92,Risk,3,48
334,Short gestation for birth weight,339,Risk,4,49
335,Low birth weight for gestation,339,Risk,4,50
95,Iron deficiency,92,Risk,3,51
96,Vitamin A deficiency,92,Risk,3,52
97,Zinc deficiency,92,Risk,3,53
98,Tobacco,203,Risk,2,54
99,Smoking,98,Risk,3,55
332,Chewing tobacco,98,Risk,3,56
100,Secondhand smoke,98,Risk,3,57
102,Alcohol use,203,Risk,2,58
103,Drug use,203,Risk,2,59
110,Dietary risks,203,Risk,2,60
111,Diet low in fruits,110,Risk,3,61
112,Diet low in vegetables,110,Risk,3,62
333,Diet low in legumes,110,Risk,3,63
113,Diet low in whole grains,110,Risk,3,64
114,Diet low in nuts and seeds,110,Risk,3,65
115,Diet low in milk,110,Risk,3,66
116,Diet high in red meat,110,Risk,3,67
117,Diet high in processed meat,110,Risk,3,68
118,Diet high in sugar-sweetened beverages,110,Risk,3,69
119,Diet low in fiber,110,Risk,3,70
147,Diet low in calcium,110,Risk,3,71
121,Diet low in seafood omega-3 fatty acids,110,Risk,3,72
122,Diet low in polyunsaturated fatty acids,110,Risk,3,73
123,Diet high in trans fatty acids,110,Risk,3,74
124,Diet high in sodium,110,Risk,3,75
135,Intimate partner violence,203,Risk,2,76
381,Childhood maltreatment,203,Risk,2,77
134,Childhood sexual abuse,381,Risk,3,78
363,Bullying victimization,381,Risk,3,79
170,Unsafe sex,203,Risk,2,80
125,Low physical activity,203,Risk,2,81
105,High fasting plasma glucose,104,Risk,2,82
367,High LDL cholesterol,104,Risk,2,83
107,High systolic blood pressure,104,Risk,2,84
108,High body-mass index,104,Risk,2,85
109,Low bone mineral density,104,Risk,2,86
341,Impaired kidney function,104,Risk,2,87
172,Diarrheal disease etiologies,171,Etiology,1,88
173,Cholera,172,Etiology,2,89
174,Non-typhoidal Salmonella,172,Etiology,2,90
175,Shigella,172,Etiology,2,91
176,Enteropathogenic E coli,172,Etiology,2,92
177,Enterotoxigenic E coli,172,Etiology,2,93
178,Campylobacter,172,Etiology,2,94
179,Entamoeba,172,Etiology,2,95
