TRACT,STATE_FIPS,CNTY_FIPS,TRACT_CODE,GEOID,COUNTY,TRACT_ID,MSSA_ID,MSSA_NAME,AREA_SQMI,pop2013,pop2013civ,POP100POV,PCT100POV,POP200POV,PCT200POV,POVERTY_POPULATION_UNIVERSE,WHITE,PCT_WHITE,NHS_WHITE,PCT_NHS_WHITE,BLACK,PCT_BLACK,NHS_BLACK,PCT_NHS_BLACK,ASIAN,PCT_ASIAN,NHS_ASIAN,PCT_NHS_ASIAN,AMIND_ESK,PCT_AMIND_ESK,NHS_AMIND_ESK,PCT_NHS_AMIND_ESK,ISLANDER,PCT_ISLAND,NHS_ISLANDER,PCT_NHS_ISLANDER,OTHER_RACE,PCT_OTHER,NHS_OTHER_RACE,PCT_NHS_OTHER_RACE,MULTI_RACE,PCT_MULTI,NHS_MULTI_RACE,PCT_NHS_MULTI_RACE,HISPANIC,PCT_HSPNC,AGE_UNDER5,PCT_UNDER5,AGE_UNDR18,PCT_UNDR18,AGE_18_64,PCT_18_64,AGE_65OVER,PCT_65OVER,ELD_RATIO,YTH_RATIO
4512.01,6,1,451201,6001451201,Alameda,4512.01,1.1,Livermore Central and West/Spring Town,1.417791397,6382,6382,364,5.7,935,14.65,6382,4531,71,3865,60.6,211,3.3,211,3.3,933,14.6,915,14.3,12,0.2,12,0.2,0,0,0,0,418,6.55,0,0,277,4.3,225,3.5,1154,18.1,570,8.93,1561,24.46,4300,67.38,521,8.16,0.121,0.363
4512.02,6,1,451202,6001451202,Alameda,4512.02,1.1,Livermore Central and West/Spring Town,17.69207427,3917,3911,296,7.57,524,13.4,3911,2992,76.4,2541,64.9,33,0.8,33,0.8,396,10.1,389,9.9,6,0.2,0,0,77,2,77,2,215,5.49,0,0,198,5.1,76,1.9,801,20.4,312,7.97,890,22.72,2797,71.41,230,5.87,0.082,0.318
4513,6,1,451300,6001451300,Alameda,4513,1.1,Livermore Central and West/Spring Town,4.902011447,6846,6846,215,3.14,731,10.68,6846,5952,86.9,5174,75.6,143,2.1,143,2.1,409,6,409,6,0,0,0,0,33,0.5,33,0.5,171,2.5,0,0,138,2,58,0.8,1029,15,279,4.08,1652,24.13,4716,68.89,478,6.98,0.101,0.35
4514.01,6,1,451401,6001451401,Alameda,4514.01,1.1,Livermore Central and West/Spring Town,1.789282433,6255,6200,866,13.97,1759,28.37,6200,4654,74.4,3587,57.3,82,1.3,82,1.3,888,14.2,829,13.3,2,0,2,0,0,0,0,0,247,3.95,0,0,382,6.1,183,2.9,1572,25.1,365,5.84,1512,24.17,4169,66.65,574,9.18,0.138,0.363
4514.03,6,1,451403,6001451403,Alameda,4514.03,1.1,Livermore Central and West/Spring Town,0.260436477,2166,2166,155,7.16,397,18.33,2166,1814,83.7,1139,52.6,0,0,0,0,288,13.3,288,13.3,0,0,0,0,0,0,0,0,12,0.55,0,0,52,2.4,28,1.3,711,32.8,203,9.37,474,21.88,1490,68.79,202,9.33,0.136,0.318
4514.04,6,1,451404,6001451404,Alameda,4514.04,1.1,Livermore Central and West/Spring Town,0.646693335,6243,6133,553,9.02,1993,32.5,6133,5195,83.2,2372,38,141,2.3,141,2.3,368,5.9,368,5.9,0,0,0,0,0,0,0,0,440,7.05,40,0.64,99,1.6,18,0.3,3304,52.9,477,7.64,1777,28.46,4075,65.27,391,6.26,0.096,0.436
4516.01,6,1,451601,6001451601,Alameda,4516.01,1.1,Livermore Central and West/Spring Town,1.519836404,4842,4842,166,3.43,572,11.81,4842,4136,85.4,3660,75.6,8,0.2,8,0.2,470,9.7,400,8.3,13,0.3,13,0.3,11,0.2,11,0.2,0,0,0,0,204,4.2,157,3.2,593,12.2,222,4.58,1116,23.05,3231,66.73,495,10.22,0.153,0.345
4516.02,6,1,451602,6001451602,Alameda,4516.02,1.1,Livermore Central and West/Spring Town,1.163494663,6656,6540,196,3,1258,19.24,6540,5357,80.5,4923,74,16,0.2,16,0.2,800,12,800,12,0,0,0,0,0,0,0,0,212,3.19,0,0,271,4.1,234,3.5,683,10.3,417,6.27,1337,20.09,3812,57.27,1507,22.64,0.395,0.351
4517.01,6,1,451701,6001451701,Alameda,4517.01,1.1,Livermore Central and West/Spring Town,0.472101743,2916,2916,244,8.37,493,16.91,2916,2372,81.3,1979,67.9,64,2.2,64,2.2,213,7.3,213,7.3,10,0.3,10,0.3,11,0.4,11,0.4,25,0.86,0,0,221,7.6,125,4.3,514,17.6,198,6.79,795,27.26,1670,57.27,451,15.47,0.27,0.476
4517.03,6,1,451703,6001451703,Alameda,4517.03,1.1,Livermore Central and West/Spring Town,0.65823383,4362,4360,247,5.67,295,6.77,4360,3225,73.9,2884,66.1,80,1.8,80,1.8,678,15.5,665,15.2,33,0.8,17,0.4,9,0.2,0,0,41,0.94,0,0,296,6.8,100,2.3,616,14.1,280,6.42,1351,30.97,2518,57.73,493,11.3,0.196,0.537
