GEOID,COUNTYFP,ALAND,AWATER,GEOID_0,county
6001400200,1,587450,0,06001400200,Alameda
6001400800,1,697978,0,06001400800,Alameda
6001401500,1,467999,0,06001401500,Alameda
6001402400,1,337079,0,06001402400,Alameda
6001405100,1,1256531,0,06001405100,Alameda
6001405301,1,227753,0,06001405301,Alameda
6001406400,1,487913,77534,06001406400,Alameda
6001407500,1,494511,0,06001407500,Alameda
6001409200,1,716800,0,06001409200,Alameda
6001410500,1,724476,0,06001410500,Alameda
6001421700,1,573822,0,06001421700,Alameda
6001422900,1,544282,0,06001422900,Alameda
6001423602,1,404545,0,06001423602,Alameda
6001428000,1,525762,0,06001428000,Alameda
6001430600,1,2261417,0,06001430600,Alameda
6001432502,1,816163,0,06001432502,Alameda
6001433104,1,1053445,0,06001433104,Alameda
6001433800,1,1600708,0,06001433800,Alameda
6001436602,1,891670,0,06001436602,Alameda
6001436800,1,1025366,0,06001436800,Alameda
6001438400,1,1723690,0,06001438400,Alameda
6001440335,1,2005296,0,06001440335,Alameda
6001441523,1,467065,0,06001441523,Alameda
6001441926,1,408690,0,06001441926,Alameda
6001443002,1,1580323,0,06001443002,Alameda
6001444400,1,1027754,0,06001444400,Alameda
6001451201,1,3662203,9862,06001451201,Alameda
6001451704,1,2005360,0,06001451704,Alameda
6001402700,1,398820,0,06001402700,Alameda
6001403502,1,182461,0,06001403502,Alameda
6001404102,1,230172,0,06001404102,Alameda
6001405401,1,313930,0,06001405401,Alameda
6001405902,1,487280,0,06001405902,Alameda
6001406300,1,485745,0,06001406300,Alameda
6001407000,1,862936,0,06001407000,Alameda
6001407400,1,511491,0,06001407400,Alameda
6001408300,1,1521669,0,06001408300,Alameda
6001409100,1,490550,0,06001409100,Alameda
6001409400,1,1253613,0,06001409400,Alameda
6001410300,1,578329,0,06001410300,Alameda
6001420400,1,1108467,1632801,06001420400,Alameda
6001421800,1,528477,0,06001421800,Alameda
6001422100,1,551943,0,06001422100,Alameda
6001423000,1,730083,0,06001423000,Alameda
6001423500,1,635744,0,06001423500,Alameda
6001425102,1,746230,0,06001425102,Alameda
6001427600,1,582861,0,06001427600,Alameda
6001428302,1,2234426,474770,06001428302,Alameda
6001430700,1,1322604,0,06001430700,Alameda
6001430900,1,1096552,0,06001430900,Alameda
6001435602,1,1143700,0,06001435602,Alameda
6001436100,1,1258238,0,06001436100,Alameda
6001436601,1,1086060,0,06001436601,Alameda
6001436900,1,1207092,0,06001436900,Alameda
6001437400,1,861191,0,06001437400,Alameda
6001437800,1,1276511,0,06001437800,Alameda
6001438300,1,855994,0,06001438300,Alameda
6001440331,1,1857327,0,06001440331,Alameda
6001441501,1,2624983,0,06001441501,Alameda
6001441601,1,1291645,0,06001441601,Alameda
6001442400,1,1582838,0,06001442400,Alameda
6001442700,1,1234034,0,06001442700,Alameda
6001443001,1,768730,0,06001443001,Alameda
6001443321,1,558873,0,06001443321,Alameda
6001450101,1,1768641,0,06001450101,Alameda
6001450501,1,1163207,0,06001450501,Alameda
6001450606,1,2021109,0,06001450606,Alameda
6001450746,1,1733951,0,06001450746,Alameda
6001451401,1,4634217,0,06001451401,Alameda
6001451505,1,1373459,0,06001451505,Alameda
6001983200,1,494544,146456,06001983200,Alameda
6001400900,1,420877,0,06001400900,Alameda
6001402600,1,318842,0,06001402600,Alameda
6001404501,1,1087924,5141,06001404501,Alameda
6001400600,1,297856,0,06001400600,Alameda
6001401200,1,665876,0,06001401200,Alameda
6001402900,1,391799,0,06001402900,Alameda
6001407200,1,715071,0,06001407200,Alameda
6001408700,1,1130613,0,06001408700,Alameda
6001422400,1,475570,0,06001422400,Alameda
6001433600,1,1581330,0,06001433600,Alameda
6001440305,1,928519,0,06001440305,Alameda
6001410200,1,585845,0,06001410200,Alameda
6001422300,1,560047,0,06001422300,Alameda
6001423800,1,1072453,0,06001423800,Alameda
6001431100,1,982922,0,06001431100,Alameda
6001433500,1,1234825,0,06001433500,Alameda
