year,agell,ageul,GEOID,raceCode,sex,Nx
2009,0,0,Contra Costa,Total,Total,2905
2009,0,0,Richmond,Total,Total,346
2009,0,0,San Pablo,Total,Total,134
2009,1,4,Contra Costa,Total,Total,55197
2009,1,4,Richmond,Total,Total,6575
2009,1,4,San Pablo,Total,Total,2537
2009,15,24,Contra Costa,Total,Total,112207
2009,15,24,Richmond,Total,Total,13688
2009,15,24,San Pablo,Total,Total,4531
2009,25,34,Contra Costa,Total,Total,102167
2009,25,34,Richmond,Total,Total,15882
2009,25,34,San Pablo,Total,Total,4660
2009,35,44,Contra Costa,Total,Total,129787
2009,35,44,Richmond,Total,Total,14560
2009,35,44,San Pablo,Total,Total,4641
2009,45,54,Contra Costa,Total,Total,131598
2009,45,54,Richmond,Total,Total,14795
2009,45,54,San Pablo,Total,Total,3418
2009,5,14,Contra Costa,Total,Total,121357
2009,5,14,Richmond,Total,Total,14439
2009,5,14,San Pablo,Total,Total,4619
2009,55,64,Contra Costa,Total,Total,93509
2009,55,64,Richmond,Total,Total,10830
2009,55,64,San Pablo,Total,Total,2599
2009,65,74,Contra Costa,Total,Total,50223
2009,65,74,Richmond,Total,Total,5423
2009,65,74,San Pablo,Total,Total,1442
2009,75,84,Contra Costa,Total,Total,34769
2009,75,84,Richmond,Total,Total,3311
2009,75,84,San Pablo,Total,Total,1165
2009,85,199,Contra Costa,Total,Total,14807
2009,85,199,Richmond,Total,Total,1249
2009,85,199,San Pablo,Total,Total,820
2010,0,0,Contra Costa,Total,Total,2870
2010,0,0,Richmond,Total,Total,370
2010,0,0,San Pablo,Total,Total,116
2010,1,4,Contra Costa,Total,Total,54538
2010,1,4,Richmond,Total,Total,7020
2010,1,4,San Pablo,Total,Total,2213
2010,15,24,Contra Costa,Total,Total,113485
2010,15,24,Richmond,Total,Total,14269
2010,15,24,San Pablo,Total,Total,4885
2010,25,34,Contra Costa,Total,Total,107192
2010,25,34,Richmond,Total,Total,15845
2010,25,34,San Pablo,Total,Total,4352
2010,35,44,Contra Costa,Total,Total,129371
2010,35,44,Richmond,Total,Total,14591
2010,35,44,San Pablo,Total,Total,4337
2010,45,54,Contra Costa,Total,Total,133526
2010,45,54,Richmond,Total,Total,14989
2010,45,54,San Pablo,Total,Total,3386
2010,5,14,Contra Costa,Total,Total,124193
2010,5,14,Richmond,Total,Total,14380
2010,5,14,San Pablo,Total,Total,4192
2010,55,64,Contra Costa,Total,Total,99515
2010,55,64,Richmond,Total,Total,11213
2010,55,64,San Pablo,Total,Total,2571
2010,65,74,Contra Costa,Total,Total,53098
2010,65,74,Richmond,Total,Total,5307
2010,65,74,San Pablo,Total,Total,1394
2010,75,84,Contra Costa,Total,Total,34769
2010,75,84,Richmond,Total,Total,3125
2010,75,84,San Pablo,Total,Total,971
2010,85,199,Contra Costa,Total,Total,15094
2010,85,199,Richmond,Total,Total,1155
2010,85,199,San Pablo,Total,Total,719
2011,0,0,Contra Costa,Total,Total,2888
2011,0,0,Richmond,Total,Total,377
2011,0,0,San Pablo,Total,Total,124
2011,1,4,Contra Costa,Total,Total,54870
2011,1,4,Richmond,Total,Total,7172
2011,1,4,San Pablo,Total,Total,2360
2011,15,24,Contra Costa,Total,Total,115386
2011,15,24,Richmond,Total,Total,14021
2011,15,24,San Pablo,Total,Total,4832
2011,25,34,Contra Costa,Total,Total,109419
2011,25,34,Richmond,Total,Total,16035
2011,25,34,San Pablo,Total,Total,4471
2011,35,44,Contra Costa,Total,Total,128032
2011,35,44,Richmond,Total,Total,14617
2011,35,44,San Pablo,Total,Total,4304
2011,45,54,Contra Costa,Total,Total,135423
2011,45,54,Richmond,Total,Total,14079
2011,45,54,San Pablo,Total,Total,3416
2011,5,14,Contra Costa,Total,Total,124318
2011,5,14,Richmond,Total,Total,14629
2011,5,14,San Pablo,Total,Total,4459
2011,55,64,Contra Costa,Total,Total,103305
2011,55,64,Richmond,Total,Total,12172
2011,55,64,San Pablo,Total,Total,2599
2011,65,74,Contra Costa,Total,Total,55593
2011,65,74,Richmond,Total,Total,5643
2011,65,74,San Pablo,Total,Total,1102
2011,75,84,Contra Costa,Total,Total,33673
2011,75,84,Richmond,Total,Total,3055
2011,75,84,San Pablo,Total,Total,1044
2011,85,199,Contra Costa,Total,Total,16220
2011,85,199,Richmond,Total,Total,1361
2011,85,199,San Pablo,Total,Total,513
2012,0,0,Contra Costa,Total,Total,2870
2012,0,0,Richmond,Total,Total,392
2012,0,0,San Pablo,Total,Total,120
2012,1,4,Contra Costa,Total,Total,54535
2012,1,4,Richmond,Total,Total,7447
2012,1,4,San Pablo,Total,Total,2288
2012,15,24,Contra Costa,Total,Total,116789
2012,15,24,Richmond,Total,Total,14848
2012,15,24,San Pablo,Total,Total,4681
2012,25,34,Contra Costa,Total,Total,110763
2012,25,34,Richmond,Total,Total,16158
2012,25,34,San Pablo,Total,Total,4685
2012,35,44,Contra Costa,Total,Total,127639
2012,35,44,Richmond,Total,Total,14767
2012,35,44,San Pablo,Total,Total,4083
2012,45,54,Contra Costa,Total,Total,136354
2012,45,54,Richmond,Total,Total,13656
2012,45,54,San Pablo,Total,Total,3416
2012,5,14,Contra Costa,Total,Total,124689
2012,5,14,Richmond,Total,Total,14502
2012,5,14,San Pablo,Total,Total,4261
2012,55,64,Contra Costa,Total,Total,107452
2012,55,64,Richmond,Total,Total,12256
2012,55,64,San Pablo,Total,Total,2808
2012,65,74,Contra Costa,Total,Total,58958
2012,65,74,Richmond,Total,Total,5835
2012,65,74,San Pablo,Total,Total,1387
2012,75,84,Contra Costa,Total,Total,34354
2012,75,84,Richmond,Total,Total,3052
2012,75,84,San Pablo,Total,Total,1044
2012,85,199,Contra Costa,Total,Total,16850
2012,85,199,Richmond,Total,Total,1312
2012,85,199,San Pablo,Total,Total,525
2013,0,0,Contra Costa,Total,Total,2827
2013,0,0,Richmond,Total,Total,386
2013,0,0,San Pablo,Total,Total,108
