year,agell,ageul,sex,geoName,nx,raceCode
2009,0,4,Male,Antioch,4387,Total
2009,0,4,Male,Brentwood,1949,Total
2009,0,4,Male,Clayton,267,Total
2009,0,4,Male,Concord,4592,Total
2009,0,4,Male,Danville,1141,Total
2009,0,4,Male,El Cerrito,657,Total
2009,0,4,Male,Hercules,701,Total
2009,0,4,Male,Lafayette,980,Total
2009,0,4,Male,Martinez,819,Total
2009,0,4,Male,Moraga,531,Total
2009,0,4,Male,Oakley,1008,Total
2009,0,4,Male,Orinda,676,Total
2009,0,4,Male,Pinole,635,Total
2009,0,4,Male,Pittsburg,2752,Total
2009,0,4,Male,Pleasant Hill,964,Total
2009,0,4,Male,Richmond,3336,Total
2009,0,4,Male,San Pablo,1505,Total
2009,0,4,Male,San Ramon,1962,Total
2009,0,4,Male,Walnut Creek,1050,Total
2009,5,9,Male,Antioch,3960,Total
2009,5,9,Male,Brentwood,2008,Total
2009,5,9,Male,Clayton,449,Total
2009,5,9,Male,Concord,3638,Total
2009,5,9,Male,Danville,1612,Total
2009,5,9,Male,El Cerrito,500,Total
2009,5,9,Male,Hercules,563,Total
2009,5,9,Male,Lafayette,787,Total
2009,5,9,Male,Martinez,1003,Total
2009,5,9,Male,Moraga,472,Total
2009,5,9,Male,Oakley,1462,Total
2009,5,9,Male,Orinda,489,Total
2009,5,9,Male,Pinole,528,Total
2009,5,9,Male,Pittsburg,2642,Total
2009,5,9,Male,Pleasant Hill,845,Total
2009,5,9,Male,Richmond,3644,Total
2009,5,9,Male,San Pablo,950,Total
2009,5,9,Male,San Ramon,1917,Total
2009,5,9,Male,Walnut Creek,1545,Total
2009,10,14,Male,Antioch,4742,Total
2009,10,14,Male,Brentwood,2528,Total
2009,10,14,Male,Clayton,479,Total
2009,10,14,Male,Concord,4264,Total
2009,10,14,Male,Danville,2057,Total
2009,10,14,Male,El Cerrito,417,Total
2009,10,14,Male,Hercules,780,Total
2009,10,14,Male,Lafayette,922,Total
2009,10,14,Male,Martinez,1024,Total
2009,10,14,Male,Moraga,637,Total
2009,10,14,Male,Oakley,1830,Total
2009,10,14,Male,Orinda,688,Total
2009,10,14,Male,Pinole,618,Total
2009,10,14,Male,Pittsburg,2548,Total
2009,10,14,Male,Pleasant Hill,922,Total
2009,10,14,Male,Richmond,3509,Total
2009,10,14,Male,San Pablo,1373,Total
2009,10,14,Male,San Ramon,1943,Total
2009,10,14,Male,Walnut Creek,1395,Total
2009,15,19,Male,Antioch,3978,Total
2009,15,19,Male,Brentwood,1727,Total
2009,15,19,Male,Clayton,395,Total
2009,15,19,Male,Concord,3860,Total
2009,15,19,Male,Danville,1571,Total
2009,15,19,Male,El Cerrito,505,Total
2009,15,19,Male,Hercules,1060,Total
2009,15,19,Male,Lafayette,891,Total
2009,15,19,Male,Martinez,1261,Total
2009,15,19,Male,Moraga,1137,Total
2009,15,19,Male,Oakley,1441,Total
2009,15,19,Male,Orinda,709,Total
2009,15,19,Male,Pinole,565,Total
2009,15,19,Male,Pittsburg,2501,Total
2009,15,19,Male,Pleasant Hill,1135,Total
2009,15,19,Male,Richmond,3748,Total
2009,15,19,Male,San Pablo,1247,Total
2009,15,19,Male,San Ramon,1603,Total
2009,15,19,Male,Walnut Creek,1707,Total
2009,20,24,Male,Antioch,4220,Total
2009,20,24,Male,Brentwood,938,Total
2009,20,24,Male,Clayton,210,Total
2009,20,24,Male,Concord,4600,Total
2009,20,24,Male,Danville,529,Total
2009,20,24,Male,El Cerrito,474,Total
2009,20,24,Male,Hercules,895,Total
2009,20,24,Male,Lafayette,501,Total
2009,20,24,Male,Martinez,1030,Total
2009,20,24,Male,Moraga,855,Total
2009,20,24,Male,Oakley,1170,Total
2009,20,24,Male,Orinda,257,Total
2009,20,24,Male,Pinole,710,Total
2009,20,24,Male,Pittsburg,2535,Total
2009,20,24,Male,Pleasant Hill,1026,Total
2009,20,24,Male,Richmond,2863,Total
2009,20,24,Male,San Pablo,1221,Total
2009,20,24,Male,San Ramon,1223,Total
