"Year"	"Age"	"Female"	"Male"	"Total"
"2015-2019"	"0"	0.005191	0.006255	0.005735
"2015-2019"	"1"	0.000343	0.000428	0.000386
"2015-2019"	"2"	0.000222	0.00028	0.000251
"2015-2019"	"3"	0.00016	0.000219	0.00019
"2015-2019"	"4"	0.000135	0.000162	0.000149
"2015-2019"	"5"	0.000118	0.000146	0.000132
"2015-2019"	"6"	0.00011	0.000128	0.000119
"2015-2019"	"7"	0.000104	0.000122	0.000113
"2015-2019"	"8"	1e-04	0.000123	0.000112
"2015-2019"	"9"	9.8e-05	0.000119	0.000109
"2015-2019"	"10"	9.5e-05	0.000131	0.000113
"2015-2019"	"11"	0.000108	0.000133	0.000121
"2015-2019"	"12"	0.000114	0.000158	0.000137
"2015-2019"	"13"	0.000138	0.000188	0.000164
"2015-2019"	"14"	0.000166	0.000257	0.000212
"2015-2019"	"15"	0.000193	0.00036	0.000278
"2015-2019"	"16"	0.000236	0.000494	0.000368
"2015-2019"	"17"	0.000277	0.000653	0.000469
"2015-2019"	"18"	0.000361	0.000906	0.00064
"2015-2019"	"19"	0.000386	0.001051	0.000726
"2015-2019"	"20"	0.000422	0.001144	0.000792
"2015-2019"	"21"	0.000468	0.001306	0.000897
"2015-2019"	"22"	0.000485	0.001362	0.000934
"2015-2019"	"23"	0.000527	0.001413	0.000982
"2015-2019"	"24"	0.00054	0.00148	0.001022
"2015-2019"	"25"	0.000585	0.001536	0.001072
"2015-2019"	"26"	0.000611	0.001563	0.001097
"2015-2019"	"27"	0.000667	0.001644	0.001164
"2015-2019"	"28"	0.000708	0.001697	0.00121
"2015-2019"	"29"	0.000737	0.001731	0.001242
"2015-2019"	"30"	0.000807	0.001768	0.001294
"2015-2019"	"31"	0.000849	0.001811	0.001336
"2015-2019"	"32"	0.000911	0.001879	0.001399
"2015-2019"	"33"	0.000968	0.001927	0.001451
"2015-2019"	"34"	0.000998	0.002006	0.001504
"2015-2019"	"35"	0.001062	0.002071	0.001568
"2015-2019"	"36"	0.00113	0.00212	0.001626
"2015-2019"	"37"	0.001182	0.002212	0.001697
"2015-2019"	"38"	0.001259	0.002293	0.001776
"2015-2019"	"39"	0.001343	0.002378	0.001859
"2015-2019"	"40"	0.001408	0.002474	0.001939
"2015-2019"	"41"	0.001485	0.002559	0.002019
"2015-2019"	"42"	0.001601	0.002663	0.002129
"2015-2019"	"43"	0.001731	0.002822	0.002272
"2015-2019"	"44"	0.001842	0.003034	0.002433
"2015-2019"	"45"	0.002031	0.003275	0.002648
"2015-2019"	"46"	0.002218	0.003551	0.002879
"2015-2019"	"47"	0.002367	0.003815	0.003085
"2015-2019"	"48"	0.002597	0.00412	0.003351
"2015-2019"	"49"	0.002833	0.004516	0.003666
"2015-2019"	"50"	0.00311	0.004947	0.004018
"2015-2019"	"51"	0.003405	0.005442	0.00441
"2015-2019"	"52"	0.003702	0.005952	0.00481
"2015-2019"	"53"	0.004033	0.006497	0.005242
"2015-2019"	"54"	0.004385	0.007168	0.005748
"2015-2019"	"55"	0.004764	0.007836	0.006265
"2015-2019"	"56"	0.005169	0.008428	0.006758
"2015-2019"	"57"	0.005596	0.009212	0.007356
"2015-2019"	"58"	0.005995	0.009867	0.007874
"2015-2019"	"59"	0.006416	0.010719	0.008498
"2015-2019"	"60"	0.006908	0.01146	0.009103
"2015-2019"	"61"	0.007385	0.012417	0.009803
"2015-2019"	"62"	0.00794	0.01333	0.01052
"2015-2019"	"63"	0.008512	0.014396	0.011318
"2015-2019"	"64"	0.009109	0.015245	0.012024
"2015-2019"	"65"	0.009751	0.01624	0.012823
"2015-2019"	"66"	0.010467	0.017208	0.01365
"2015-2019"	"67"	0.011383	0.018281	0.014634
"2015-2019"	"68"	0.012379	0.019404	0.015683
"2015-2019"	"69"	0.013583	0.020982	0.017053
"2015-2019"	"70"	0.014943	0.022608	0.018525
"2015-2019"	"71"	0.016419	0.024735	0.020288
"2015-2019"	"72"	0.018243	0.026829	0.022216
"2015-2019"	"73"	0.020085	0.029374	0.024357
"2015-2019"	"74"	0.022045	0.032193	0.026675
"2015-2019"	"75"	0.024493	0.035353	0.029412
"2015-2019"	"76"	0.026739	0.038465	0.032012
"2015-2019"	"77"	0.029632	0.042244	0.035256
"2015-2019"	"78"	0.032741	0.045899	0.038554
"2015-2019"	"79"	0.036552	0.050877	0.042817
"2015-2019"	"80"	0.040925	0.056344	0.047588
"2015-2019"	"81"	0.045385	0.062361	0.052621
"2015-2019"	"82"	0.051165	0.069019	0.058658
"2015-2019"	"83"	0.057493	0.076716	0.065438
"2015-2019"	"84"	0.064925	0.086184	0.073582
"2015-2019"	"85"	0.073952	0.096344	0.082913
"2015-2019"	"86"	0.083793	0.108181	0.093359
"2015-2019"	"87"	0.096189	0.122668	0.106344
"2015-2019"	"88"	0.108289	0.137207	0.119061
"2015-2019"	"89"	0.122119	0.153971	0.133555
"2015-2019"	"90"	0.138297	0.172653	0.150148
"2015-2019"	"91"	0.155562	0.192855	0.167904
"2015-2019"	"92"	0.173784	0.21619	0.187207
"2015-2019"	"93"	0.194005	0.241482	0.208321
"2015-2019"	"94"	0.216593	0.266581	0.230919
"2015-2019"	"95"	0.241896	0.296798	0.256785
"2015-2019"	"96"	0.266701	0.326547	0.281975
"2015-2019"	"97"	0.294797	0.357865	0.309808
"2015-2019"	"98"	0.323712	0.393024	0.339036
"2015-2019"	"99"	0.350496	0.422097	0.36509
"2015-2019"	"100"	0.383992	0.457864	0.397808
"2015-2019"	"101"	0.417423	0.494644	0.430498
"2015-2019"	"102"	0.455047	0.525431	0.465923
"2015-2019"	"103"	0.477517	0.5715	0.490746
"2015-2019"	"104"	0.523438	0.571797	0.529678
"2015-2019"	"105"	0.55369	0.573561	0.556104
"2015-2019"	"106"	0.569235	0.614032	0.57433
"2015-2019"	"107"	0.595899	0.632824	0.599807
"2015-2019"	"108"	0.649765	0.635275	0.648288
"2015-2019"	"109"	0.638514	0.534906	0.627491
"2015-2019"	"110+"	0.712903	0.334262	0.644186
