"Year"	"startage"	"Female"	"Male"	"Total"
"2015-2019"	"0"	0.005191	0.006255	0.005735
"2015-2019"	"1"	0.000214	0.000271	0.000244
"2015-2019"	"5"	0.000106	0.000128	0.000117
"2015-2019"	"10"	0.000124	0.000173	0.000149
"2015-2019"	"15"	0.000291	0.000695	0.000497
"2015-2019"	"20"	0.000489	0.001344	0.000927
"2015-2019"	"25"	0.000661	0.001634	0.001156
"2015-2019"	"30"	0.000906	0.001877	0.001396
"2015-2019"	"35"	0.001193	0.002212	0.001703
"2015-2019"	"40"	0.001614	0.002711	0.002159
"2015-2019"	"45"	0.00241	0.003857	0.003127
"2015-2019"	"50"	0.003739	0.006017	0.004859
"2015-2019"	"55"	0.005583	0.009197	0.007341
"2015-2019"	"60"	0.007941	0.013305	0.010509
"2015-2019"	"65"	0.011452	0.018339	0.014698
"2015-2019"	"70"	0.018102	0.02677	0.022113
"2015-2019"	"75"	0.029607	0.041904	0.035093
"2015-2019"	"80"	0.051123	0.068698	0.058518
"2015-2019"	"85"	0.094498	0.11965	0.104152
"2015-2019"	"90"	0.168759	0.206674	0.180963
"2015-2019"	"95"	0.278348	0.334635	0.292368
"2015-2019"	"100"	0.422326	0.491807	0.434085
"2015-2019"	"105"	0.573691	0.594342	0.576073
"2015-2019"	"110+"	0.712903	0.334262	0.644186
