"Year"	"Age"	"Female"	"Male"	"Total"
"2017"	"0"	1916944.67	2005797.1	3922741.77
"2017"	"1"	1951451.71	2041243.53	3992695.24
"2017"	"2"	1957207.94	2049790.25	4006998.19
"2017"	"3"	1952801.21	2044254.27	3997055.48
"2017"	"4"	1953776.21	2042552.46	3996328.67
"2017"	"5"	1965909.33	2056675.99	4022585.32
"2017"	"6"	1977836.48	2065885.94	4043722.42
"2017"	"7"	1979460.39	2061951.39	4041411.78
"2017"	"8"	2010181.03	2094297.42	4104478.45
"2017"	"9"	2044586.21	2133482.59	4178068.8
"2017"	"10"	2039886.83	2130856.65	4170743.48
"2017"	"11"	2029205.24	2117949.58	4147154.82
"2017"	"12"	2029644.2	2115067.71	4144711.91
"2017"	"13"	2025668.9	2108573.96	4134242.86
"2017"	"14"	2015225.1	2096854.57	4112079.67
"2017"	"15"	2036294.65	2120660.12	4156954.77
"2017"	"16"	2075885.21	2168082.03	4243967.24
"2017"	"17"	2076633.29	2173148.62	4249781.91
"2017"	"18"	2065667.79	2161931.36	4227599.15
"2017"	"19"	2074394.92	2170119.17	4244514.09
"2017"	"20"	2086615.3	2186498.9	4273114.2
"2017"	"21"	2115640.56	2226994.19	4342634.75
"2017"	"22"	2160844.12	2281019.74	4441863.86
"2017"	"23"	2200212.15	2328108.44	4528320.59
"2017"	"24"	2250695.65	2377583.7	4628279.35
"2017"	"25"	2312718.16	2421548.83	4734266.99
"2017"	"26"	2341859	2432309.5	4774168.5
"2017"	"27"	2298561.03	2378339.79	4676900.82
"2017"	"28"	2229022.29	2300136.31	4529158.6
"2017"	"29"	2185621.56	2250693.92	4436315.48
"2017"	"30"	2171907.33	2232878.38	4404785.71
"2017"	"31"	2187947.12	2239510.41	4427457.53
"2017"	"32"	2168396.73	2203946.59	4372343.32
"2017"	"33"	2155221.25	2177299.28	4332520.53
"2017"	"34"	2173898.37	2186422.88	4360321.25
"2017"	"35"	2163550.2	2167123.64	4330673.84
"2017"	"36"	2167768.43	2175640.59	4343409.02
"2017"	"37"	2119839.98	2125804.53	4245644.51
"2017"	"38"	2036616.22	2029615.75	4066231.97
"2017"	"39"	2009406.58	1993435.96	4002842.54
"2017"	"40"	1971412.7	1949665.58	3921078.28
"2017"	"41"	1968746.03	1950664.76	3919410.79
"2017"	"42"	1968728.85	1946031.03	3914759.88
"2017"	"43"	1957763.53	1921142.88	3878906.41
"2017"	"44"	2017135.95	1976225.77	3993361.72
"2017"	"45"	2118144.24	2076512.84	4194657.08
