"Year"	"startage"	"Female"	"Male"	"Total"
"2017"	"0"	1916944.67	2005797.1	3922741.77
"2017"	"1"	7815237.07	8177840.51	15993077.58
"2017"	"5"	9977973.44	10412293.33	20390266.77
"2017"	"10"	10139630.27	10569302.47	20708932.74
"2017"	"15"	10328875.86	10793941.3	21122817.16
"2017"	"20"	10814007.78	11400204.97	22214212.75
"2017"	"25"	11367782.04	11783028.35	23150810.39
"2017"	"30"	10857370.8	11040057.54	21897428.34
"2017"	"35"	10497181.41	10491620.47	20988801.88
"2017"	"40"	9883787.06	9743730.02	19627517.08
"2017"	"45"	10549096.61	10353066.54	20902163.15
"2017"	"50"	10965572.33	10596780.65	21562352.98
"2017"	"55"	11275797.34	10667417.36	21943214.7
"2017"	"60"	10276506.82	9413725.01	19690231.83
"2017"	"65"	8879423.68	7918359.3	16797782.98
"2017"	"70"	6615007.74	5688277.59	12303285.33
"2017"	"75"	4737972.08	3805729.15	8543701.23
"2017"	"80"	3435545.83	2478781.06	5914326.89
"2017"	"85"	2267718.98	1412467.65	3680186.63
"2017"	"90"	1183469.94	551871.22	1735341.16
"2017"	"95"	352991.71	115333.47	468325.18
"2017"	"100"	50306.08	9958.31	60264.39
"2017"	"105"	3353.91	422.45	3776.36
"2017"	"110+"	103.89	24.52	128.41
