"","year","GEOID","sex","raceName","lAge","population","deaths","life_expectancy","LE_lci","LE_uci"
"1",2017,"6001","FEMALE","Asian",0,12234.9513737,36,89.8883945785012,89.4834286083696,90.2933605486328
"2",2017,"6001","FEMALE","Asian",50,84691.7963578,107,40.7310166919776,40.338241807834,41.1237915761213
"3",2017,"6001","FEMALE","Black",0,4557.9383336,29,79.6631912377361,79.1985953219801,80.1277871534922
"4",2017,"6001","FEMALE","Black",50,36528.7873476,198,32.4384172002195,32.053362256616,32.823472143823
"5",2017,"6001","FEMALE","Latino",0,14419.5892834,44,87.307368379688,86.736166870227,87.8785698891489
"6",2017,"6001","FEMALE","Latino",50,51084.7334685,91,38.4052257104561,37.8383476267149,38.9721037941972
"7",2017,"6001","FEMALE","Total",0,47611.643386848,157,85.1979840700746,85.0355055189495,85.3604626211996
"8",2017,"6001","FEMALE","Total",50,285900.022557021,663,36.612550272993,36.465172606274,36.7599279397121
"9",2017,"6001","FEMALE","White",0,12091.9860109,29,84.4373520858336,84.2124970969406,84.6622070747266
"10",2017,"6001","FEMALE","White",50,102509.3196178,236,35.6669880222281,35.4796637188046,35.8543123256517
"11",2017,"6001","MALE","Asian",0,12718.3438913,32,86.4098538268315,85.9821124799836,86.8375951736794
"12",2017,"6001","MALE","Asian",50,75414.1038337,164,37.884385517865,37.473085940812,38.2956850949181
"13",2017,"6001","MALE","Black",0,4726.79444586,36,73.2380254942241,72.7271189175908,73.7489320708573
"14",2017,"6001","MALE","Black",50,31077.0578287,266,28.3325595632301,27.9376512296478,28.7274678968124
"15",2017,"6001","MALE","Latino",0,14944.1081393,52,81.6692329831077,81.1162891961965,82.222176770019
"16",2017,"6001","MALE","Latino",50,50244.043324,203,34.0036478023986,33.4534792239851,34.5538163808122
"17",2017,"6001","MALE","Total",0,49436.708983539,172,80.8826253004209,80.709932610499,81.0553179903427
"18",2017,"6001","MALE","Total",50,271581.65951995,1057,33.3984929307167,33.2468906804988,33.5500951809345
"19",2017,"6001","MALE","White",0,12568.4403798,32,80.5177270771292,80.2715264123579,80.7639277419004
"20",2017,"6001","MALE","White",50,105337.6045489,381,32.7233881131967,32.5338115443291,32.9129646820644
"21",2017,"6001","TOTAL","Asian",0,24953.295265,68,88.2388318398245,87.9424416228062,88.5352220568427
"22",2017,"6001","TOTAL","Asian",50,160105.9001915,271,39.4396542247321,39.1541915897357,39.7251168597286
"23",2017,"6001","TOTAL","Black",0,9284.73277946,65,76.5067495982198,76.1557417138683,76.8577574825714
"24",2017,"6001","TOTAL","Black",50,67605.8451763,464,30.5350745071866,30.2563990550672,30.8137499593059
"25",2017,"6001","TOTAL","Latino",0,29363.6974227,96,84.493817176049,84.0910144692899,84.8966198828082
"26",2017,"6001","TOTAL","Latino",50,101328.7767925,294,36.3462758766384,35.9468189557354,36.7457327975414
"27",2017,"6001","TOTAL","Total",0,97048.352370387,329,83.1100612319715,82.9903301990574,83.2297922648856
"28",2017,"6001","TOTAL","Total",50,557481.682076971,1720,35.0993701797065,34.9927508506322,35.2059895087808
"29",2017,"6001","TOTAL","White",0,24660.4263907,61,82.4687143709393,82.2988210852684,82.6386076566102
"30",2017,"6001","TOTAL","White",50,207846.9241667,617,34.2455289636624,34.1107366935742,34.3803212337506
"31",2017,"6005","FEMALE","Total",0,680.5173067261,0,85.9819087226771,85.1409291433246,86.8228883020296
"32",2017,"6005","FEMALE","Total",50,5585.1448741617,19,35.9819087226771,35.1409291433246,36.8228883020296
"33",2017,"6005","FEMALE","White",0,452.680956821,0,85.3539677418363,84.5121314754436,86.195804008229
"34",2017,"6005","FEMALE","White",50,4649.80031005,18,35.3539677418363,34.5121314754435,36.195804008229
"35",2017,"6005","MALE","Total",0,710.5072733501,0,78.8748745566355,78.0127118488009,79.7370372644701
"36",2017,"6005","MALE","Total",50,7365.8231109814,39,31.2858832130263,30.6006434277243,31.9711229983283
"37",2017,"6005","MALE","White",0,477.670735274,0,78.4534184105456,77.4736370880785,79.4331997330126
"38",2017,"6005","MALE","White",50,5659.10108259,33,30.4997801033052,29.7967172210972,31.2028429855132
"39",2017,"6005","TOTAL","Total",0,1391.0245800762,0,81.4917816297659,80.8325279065599,82.1510353529719
"40",2017,"6005","TOTAL","Total",50,12950.9679851431,58,33.4773926473965,32.9369295325199,34.0178557622731
"41",2017,"6005","TOTAL","White",0,930.351692095,0,81.199646467,80.4982509224169,81.901042011583
