"","county","Ndeaths","SMR","aRate"
"1","Alameda",2,0,0.1224
"2","Butte",1,0,0.5826
"3","Contra Costa",3,0,0.2233
"4","Fresno",5,0,0.5399
"5","Imperial",1,0,0.4604
"6","Kern",2,0,0.2041
"7","Kings",1,0,0.7321
"8","Lassen",1,0,3.41
"9","Los Angeles",31,1.107,0.2763
"10","Merced",1,0,0.3206
"11","Orange",7,0.8036,0.1932
"12","Riverside",5,0,0.1855
"13","Sacramento",8,1.929,0.4761
"14","San Bernardino",4,0,0.193
"15","San Diego",15,1.657,0.407
"16","San Francisco",6,2.507,0.6173
"17","San Joaquin",2,0,0.2886
"18","San Mateo",2,0,0.1667
"19","Santa Barbara",1,0,0.2307
"20","Santa Clara",5,0,0.2135
"21","Santa Cruz",1,0,0.4256
"22","Stanislaus",1,0,0.1594
"23","Tuolumne",1,0,1.026
"24","Ventura",1,0,0.1223
"25","Yolo",1,0,0.5696
