,year,CAUSE,Ndeaths,YLL,m.YLL,Level,pop,YLLper,YLLrateLCI,YLLrateUCI,cDeathRate,rateLCI,rateUCI,causeName,county,stateRate,SMR,aRate,aLCI,aUCI,YLL.adj.rate
1625,2006,135,11,388.79,35.34454545,gbd36,1464839,26.5414834,23.90323466,29.17973214,0.750935768,0.307169243,1.194702294,Multiple sclerosis,Alameda,0.830417629,0.904286881,0.841258526,0.413640668,1.556883348,28.4451897
1764,2010,135,11,371.43,33.76636364,gbd36,1515338,24.51136314,22.01862266,27.00410362,0.725910655,0.296932754,1.154888556,Multiple sclerosis,Alameda,0.857137125,0.846901428,0.765098007,0.380069981,1.396379114,25.10092393
1773,2010,178,11,144.23,13.11181818,gbd36,1515338,9.518008524,7.96466905,11.071348,0.725910655,0.296932754,1.154888556,Skin diseases,Alameda,0.712495235,1.018828785,0.77292792,0.385158278,1.407100795,9.433263873
2023,2000,48,11,150.53,13.68454545,gbd36,35205,427.5813095,359.2758726,495.8867463,31.24556171,12.78095401,49.71016941,Lower respiratory infections,Amador,24.67880568,1.266088891,29.44768687,14.59521468,56.16296061,391.8830745
2058,2001,155,11,193.84,17.62181818,gbd36,35784,541.6946121,465.4374031,617.9518212,30.73999553,12.57415286,48.90583819,Chronic obstructive pulmonary disease,Amador,35.94034922,0.855305978,21.22844878,10.51245363,43.43175796,382.1689167
2071,2002,48,11,130.69,11.88090909,gbd36,36535,357.7117832,296.3835917,419.0399748,30.10811551,12.31568321,47.9005478,Lower respiratory infections,Amador,23.24097716,1.295475457,24.47839008,12.06874297,48.38653365,278.7909644
2130,2004,132,11,102.16,9.287272727,gbd36,37147,275.015479,221.6863136,328.3446445,29.61208173,12.11278128,47.11138218,Alzheimer’s disease and other dementias,Amador,27.41606139,1.080099775,22.91960077,11.32953126,45.63047321,206.4074433
2214,2007,208,11,356.06,32.36909091,gbd36,38085,934.9087567,837.8005968,1032.016917,28.88276224,11.81445414,45.95107034,Self-harm,Amador,9.53422402,3.029377344,24.31702426,11.91406122,47.57764991,858.1818011
2251,2009,110,11,381.44,34.67636364,gbd36,37905,1006.305237,905.3184144,1107.292059,29.01991822,11.87055761,46.16927883,Mental and substance use disorders,Amador,8.290808552,3.50025188,22.84008359,11.20307653,45.86628813,835.1617647
2281,2010,157,11,188.64,17.14909091,gbd36,38069,495.5212903,424.809226,566.2333546,28.89490136,11.81941963,45.97038309,Other respiratory diseases,Amador,9.391008626,3.076868792,19.69892366,9.815221498,40.8769126,345.6822345
2284,2010,168,11,230.57,20.96090909,gbd36,38069,605.6634007,527.4865768,683.8402245,28.89490136,11.81941963,45.97038309,Genitourinary diseases,Amador,14.07847728,2.052416663,20.08256958,9.860408443,41.67917929,463.6248509
2314,2011,208,11,300.16,27.28727273,gbd36,37894,792.1042909,702.494792,881.7137898,29.02834222,11.87400343,46.182681,Self-harm,Amador,10.45522179,2.776444422,22.33952959,10.77309523,45.64963854,707.755044
2342,2012,208,11,408.31,37.11909091,gbd36,37746,1081.730514,976.8071608,1186.653868,29.14216076,11.92056075,46.36376077,Self-harm,Amador,10.05481147,2.898329903,24.27399721,11.78030378,48.60821827,969.5429289
2412,2015,168,11,152.29,13.84454545,gbd36,37314,408.1309964,343.310556,472.9514368,29.47955191,12.05857014,46.90053369,Genitourinary diseases,Amador,21.80502214,1.351961568,16.62777957,8.237635062,36.8262192,250.3262978
2585,2005,103,11,186.44,16.94909091,gbd36,213698,87.24461623,74.72136248,99.76786999,5.147451076,2.105557778,8.189344374,Other neoplasms,Butte,3.334668868,1.543616856,4.397098544,2.156782551,8.225448512,80.70054672
2638,2006,209,11,645.44,58.67636364,gbd36,215684,299.2526103,276.1661101,322.3391105,5.100053782,2.08616998,8.113937584,Interpersonal violence,Butte,6.988198855,0.729809481,5.143977469,2.524188492,9.438592982,291.1272433
2650,2007,103,11,175.78,15.98,gbd36,217115,80.96170232,68.99311226,92.93029239,5.066439445,2.072420082,8.060458807,Other neoplasms,Butte,3.633127546,1.394511858,3.681769202,1.837599197,7.023036943,58.08067733
2667,2007,185,11,720.86,65.53272727,gbd36,217115,332.0175944,307.780323,356.2548658,5.066439445,2.072420082,8.060458807,Congenital anomalies,Butte,3.477187584,1.457050942,5.27820215,2.611002024,9.637148175,359.0908408
2735,2009,209,11,566.64,51.51272727,gbd36,219287,258.4010908,237.1251478,279.6770339,5.016257234,2.051893118,7.98062135,Interpersonal violence,Butte,5.636886751,0.88989853,5.508737302,2.725742487,10.02546806,282.777215
2812,2012,103,11,180.38,16.39818182,gbd36,221797,81.32661848,69.45837043,93.19486654,4.959489984,2.028672552,7.890307416,Other neoplasms,Butte,3.598702459,1.378132825,3.964054626,1.972071892,7.500407333,67.45816456
2842,2013,63,11,208.97,18.99727273,gbd36,222229,94.03363197,81.2842442,106.7830197,4.94984903,2.024728933,7.874969126,Nutritional deficiencies,Butte,1.039781845,4.760468798,4.01037167,1.982340931,7.59554813,83.65606106
3081,2006,132,11,92.18,8.38,gbd36,45316,203.416012,161.8905116,244.9415124,24.27398711,9.92924102,38.61873321,Alzheimer’s disease and other dementias,Calaveras,37.0018646,0.656020646,21.71166815,10.7586477,43.35996093,174.1671815
3099,2007,48,11,176.11,16.01,gbd36,45638,385.8845699,328.8926227,442.8765171,24.10272142,9.859185023,38.34625781,Lower respiratory infections,Calaveras,17.81545676,1.352910663,18.32508792,9.02515345,38.04567082,274.4464955
3103,2007,104,11,203.37,18.48818182,gbd36,45638,445.6154959,384.3713008,506.859691,24.10272142,9.859185023,38.34625781,Diabetes mellitus,Calaveras,18.96175228,1.271123104,18.5373465,9.145676771,38.34790473,320.6629178
3115,2007,167,11,250.35,22.75909091,gbd36,45638,548.5560279,480.6051167,616.5069391,24.10272142,9.859185023,38.34625781,Other digestive diseases,Calaveras,8.765467363,2.749736029,19.94688201,9.719512495,40.71238045,490.3537663
3142,2008,168,11,159.78,14.52545455,gbd36,45702,349.6127084,295.4033717,403.8220451,24.06896854,9.845378453,38.29255862,Genitourinary diseases,Calaveras,13.15110377,1.830186193,18.81132713,9.263755885,38.6770241,251.5692626
3202,2010,208,11,423.04,38.45818182,gbd36,45535,929.0435928,840.5129808,1017.574205,24.15724168,9.881486462,38.4329969,Self-harm,Calaveras,10.19189613,2.370240177,23.53810635,10.88886973,46.90675401,1036.853902
3234,2012,48,11,180.39,16.39909091,gbd36,45305,398.1679726,340.0636844,456.2722609,24.27988081,9.931651828,38.62810979,Lower respiratory infections,Calaveras,15.3017144,1.586742516,16.44365232,8.117653355,34.34886585,273.3407413
3254,2012,208,11,406.77,36.97909091,gbd36,45305,897.8479197,810.5957141,985.1001252,24.27988081,9.931651828,38.62810979,Self-harm,Calaveras,10.05481147,2.414752467,23.49767078,10.61607694,47.06086605,1060.995564
3440,2005,132,11,112.49,10.22636364,gbd36,20565,546.9973256,445.9147415,648.0799096,53.48893752,21.87957627,85.09829876,Alzheimer’s disease and other dementias,Colusa,31.70158537,1.687263804,62.00326149,30.79829194,112.9931801,607.6632474
3483,2007,155,11,190.02,17.27454545,gbd36,21119,899.7585113,771.8279228,1027.6891,52.08579952,21.30562461,82.86597443,Chronic obstructive pulmonary disease,Colusa,32.55862269,1.599754388,57.60635699,28.56168938,105.4941387,1013.764411
