comID,comName,yearG,sex,county,Ndeaths,mean.age,pop,YLLper,YLLrateLCI,YLLrateUCI,cDeathRate,rateLCI,rateUCI,aRate,aLCI,aUCI,YLL.adj.rate
1.1,Livermore Central and West/Spring Town,2011-2015,Female,Alameda,888,78.68,26970,11240,11060,11420,658.5,615.2,701.8,571.2,533.4,611.2,10280
1.1,Livermore Central and West/Spring Town,2011-2015,Male,Alameda,780,71.18,27860,13110,12920,13300,559.9,520.6,599.2,763.4,708.5,821.8,15010
1.1,Livermore Central and West/Spring Town,2011-2015,Total,Alameda,1668,75.17,54830,12190,12060,12320,608.4,579.2,637.6,643,612.3,675,12410
1.2,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,2011-2015,Female,Alameda,425,76.99,18930,8194,8012,8377,449,406.3,491.7,514,466,566.1,8392
1.2,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,2011-2015,Male,Alameda,468,70.86,19120,11510,11300,11730,489.5,445.1,533.8,619.3,561.8,681.5,12640
1.2,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,2011-2015,Total,Alameda,893,73.78,38050,9862,9721,10000,469.3,438.6,500.1,561.2,524.2,600.2,10370
10,Oroville/Palermo/Thermalito,2011-2015,Female,Butte,1311,76.4,24350,20210,19960,20470,1077,1019,1135,727.7,687.4,770.6,15700
10,Oroville/Palermo/Thermalito,2011-2015,Male,Butte,1455,70.67,24340,28210,27910,28500,1196,1134,1257,1081,1025,1139,25730
10,Oroville/Palermo/Thermalito,2011-2015,Total,Butte,2766,73.39,48690,24210,24010,24400,1136,1094,1179,885.6,852.2,920.3,20560
100,Adin/Lookout/Newell,2011-2015,Female,Modoc,7,75,999,2694,2239,3149,140.1,36.32,244,311.4,180.1,541.1,7671
100,Adin/Lookout/Newell,2011-2015,Male,Modoc,12,70.67,1215,4675,4132,5219,197.5,85.77,309.3,594.3,332.4,1019,9773
100,Adin/Lookout/Newell,2011-2015,Total,Modoc,19,72.26,2214,3781,3419,4144,171.6,94.46,248.8,368.1,265.3,509.6,7465
102,Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker,2011-2015,Female,Mono,37,75.97,2771,4972,4601,5343,267.1,181,353.1,323.7,233.3,450.1,5877
102,Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker,2011-2015,Male,Mono,39,73.21,3231,5134,4785,5484,241.4,165.6,317.2,310,233.4,408.6,6910
102,Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker,2011-2015,Total,Mono,76,74.55,6002,5059,4805,5314,253.2,196.3,310.2,309.4,251.4,380.3,6323
103,Mammoth Lakes,2011-2015,Female,Mono,18,73.89,3883,1980,1782,2178,92.71,49.88,135.5,294.5,160.3,508.6,4157
103,Mammoth Lakes,2011-2015,Male,Mono,49,59.9,4332,7558,7192,7924,226.2,162.9,289.6,NA,NA,NA,NA
103,Mammoth Lakes,2011-2015,Total,Mono,67,63.66,8215,4922,4707,5136,163.1,124.1,202.2,442.7,307.8,626.2,7589
104,Big Sur/Lucia,2011-2015,Female,Monterey,11,81.36,593,5391,4555,6227,371,151.8,590.2,NA,NA,NA,NA
104,Big Sur/Lucia,2011-2015,Male,Monterey,9,73.22,710,5361,4599,6123,253.5,87.89,419.2,769.7,255.9,1834,10080
104,Big Sur/Lucia,2011-2015,Total,Monterey,20,77.7,1303,5375,4812,5938,307,172.4,441.5,474.9,205.4,976.9,7233
105,King City/San Lucas,2011-2015,Female,Monterey,146,71.26,7255,9520,9203,9838,402.5,337.2,467.8,519.9,428.6,626.7,12170
105,King City/San Lucas,2011-2015,Male,Monterey,179,61.84,9056,12630,12310,12960,395.3,337.4,453.2,737.2,621.2,871.7,18240
105,King City/San Lucas,2011-2015,Total,Monterey,325,66.07,16310,11250,11020,11480,398.5,355.2,441.8,616.3,543.4,697.3,15110
106,Bradley/San Ardo,2011-2015,Female,Monterey,21,71.95,1418,6708,6105,7311,296.2,169.5,422.9,466.3,296.1,710.7,10130
106,Bradley/San Ardo,2011-2015,Male,Monterey,48,65.54,2148,12550,11880,13220,446.9,320.5,573.4,690.9,494.3,959.8,16500
