"","county","year","sex","CAUSE","Level","Ndeaths","YLL","m.YLL","mean.age","pop","YLLper","YLLrateLCI","YLLrateUCI","cDeathRate","rateLCI","rateUCI","SMR","aRate","aLCI","aUCI","YLL.adj.rate"
"1","Alameda",2000,"Total",0,"gbd36",19680,448700,22.8,71.79,1449000,30970,30880,31060,1359,1340,1378,1.012,1607,1585,1630,34540
"2","Alameda",2000,"Total",3,"gbd36",6,82.44,13.74,81.67,1449000,5.69,4.462,6.919,0.4141,0.08277,0.7455,0.6519,0.5179,0.19,1.132,7.179
"3","Alameda",2000,"Total",10,"gbd36",146,7049,48.28,44.01,1449000,486.5,475.2,497.9,10.08,8.443,11.71,1.179,9.582,8.083,11.31,454.6
"4","Alameda",2000,"Total",13,"gbd36",8,115,14.38,80.25,1449000,7.938,6.487,9.389,0.5522,0.1695,0.9348,0.4967,0.6796,0.2934,1.346,9.767
"5","Alameda",2000,"Total",14,"gbd36",2,183.9,91.94,0,1449000,12.69,10.86,14.53,0.138,-0.05327,0.3294,0,0.1411,0.01709,0.5562,12.97
"6","Alameda",2000,"Total",19,"gbd36",14,656.3,46.88,45.57,1449000,45.3,41.83,48.76,0.9663,0.4601,1.473,1.235,1.009,0.5481,1.727,45.67
"7","Alameda",2000,"Total",20,"gbd36",8,509.7,63.72,28.5,1449000,35.18,32.13,38.24,0.5522,0.1695,0.9348,2.608,0.5784,0.2493,1.171,36.65
"8","Alameda",2000,"Total",21,"gbd36",42,1437,34.22,58.67,1449000,99.21,94.08,104.3,2.899,2.022,3.776,0.728,3.141,2.258,4.272,103.1
"9","Alameda",2000,"Total",41,"gbd36",2,30.44,15.22,79,1449000,2.101,1.355,2.847,0.138,-0.05327,0.3294,0,0.1697,0.02055,0.6228,2.583
"10","Alameda",2000,"Total",46,"gbd36",174,4503,25.88,68.14,1449000,310.8,301.7,319.9,12.01,10.23,13.79,1.262,13.96,11.95,16.22,340.2
"11","Alameda",2000,"Total",48,"gbd36",568,8301,14.61,81.45,1449000,573,560.6,585.3,39.21,35.98,42.43,0.7943,47.74,43.88,51.84,673.2
"12","Alameda",2000,"Total",51,"gbd36",4,260.4,65.1,27,1449000,17.97,15.79,20.16,0.2761,0.005527,0.5467,0,0.2498,0.0671,0.7008,16.42
"13","Alameda",2000,"Total",58,"gbd36",96,8826,91.94,0,1449000,609.2,596.5,621.9,6.626,5.301,7.952,0.8217,6.773,5.486,8.294,622.7
"14","Alameda",2000,"Total",63,"gbd36",10,137.3,13.73,82.6,1449000,9.478,7.893,11.06,0.6902,0.2624,1.118,0.4395,0.8669,0.4156,1.598,12.05
"15","Alameda",2000,"Total",70,"gbd36",4792,116300,24.28,69.59,1449000,8031,7985,8077,330.8,321.4,340.1,1.061,392,380.9,403.3,9133
"16","Alameda",2000,"Total",103,"gbd36",104,1988,19.11,75.63,1449000,137.2,131.2,143.2,7.179,5.799,8.558,1.039,8.772,7.165,10.64,161.5
"17","Alameda",2000,"Total",104,"gbd36",536,12140,22.64,71.44,1449000,837.6,822.7,852.6,37,33.86,40.13,1.048,44.02,40.36,47.93,954
"18","Alameda",2000,"Total",105,"gbd36",178,4832,27.15,67.27,1449000,333.5,324.1,342.9,12.29,10.48,14.09,1.048,14.24,12.21,16.52,361.3
"19","Alameda",2000,"Total",110,"gbd36",242,11390,47.08,45.46,1449000,786.3,771.9,800.8,16.7,14.6,18.81,1.092,16.39,14.37,18.63,746.6
"20","Alameda",2000,"Total",132,"gbd36",630,6760,10.73,85.93,1449000,466.6,455.5,477.8,43.49,40.09,46.88,1.092,53.69,49.58,58.06,574.1
"21","Alameda",2000,"Total",133,"gbd36",104,1507,14.49,80.48,1449000,104,98.76,109.3,7.179,5.799,8.558,0.824,8.852,7.232,10.73,127.7
"22","Alameda",2000,"Total",135,"gbd36",30,1128,37.62,55.2,1449000,77.89,73.35,82.44,2.071,1.33,2.812,1.24,2.249,1.511,3.238,80.3
"23","Alameda",2000,"Total",138,"gbd36",114,3585,31.45,62.05,1449000,247.4,239.3,255.5,7.869,6.424,9.313,0.9063,8.959,7.377,10.79,264.2
"24","Alameda",2000,"Total",139,"gbd36",2,88.64,44.32,48,1449000,6.118,4.845,7.392,0.138,-0.05327,0.3294,0,0.1351,0.01636,0.5426,5.986
"25","Alameda",2000,"Total",147,"gbd36",8066,140700,17.44,77.81,1449000,9711,9660,9762,556.7,544.6,568.9,1.018,673.7,659,688.6,11330
"26","Alameda",2000,"Total",155,"gbd36",782,13800,17.65,77,1449000,952.8,936.9,968.7,53.98,50.19,57.76,0.7589,66.34,61.76,71.17,1156
"27","Alameda",2000,"Total",156,"gbd36",50,1577,31.53,62.32,1449000,108.8,103.5,114.2,3.451,2.495,4.408,1.057,3.936,2.917,5.209,117.7
