"","county","GEOID","yearG","CAUSE","Ndeaths","YLL","m.YLL","Level","popTot","YLLper","cDeathRate"
"1","Alameda","06001400100","2001-2005",69,1,5.6,5.6,"gbd3",2952,37.940379403794,6.77506775067751
"2","Alameda","06001400100","2006-2010",69,11,289.75,26.3409090909091,"gbd3",2952,1963.07588075881,74.5257452574526
"3","Alameda","06001400100","2011-2015",69,8,131.28,16.41,"gbd3",2952,889.430894308943,54.2005420054201
"4","Alameda","06001400200","2011-2015",69,4,167.45,41.8625,"gbd3",1984,1688.00403225806,40.3225806451613
"5","Alameda","06001400200","2006-2010",69,5,67.02,13.404,"gbd3",1984,675.604838709677,50.4032258064516
"6","Alameda","06001400200","2001-2005",69,2,21.02,10.51,"gbd3",1984,211.895161290323,20.1612903225806
"7","Alameda","06001400300","2006-2010",69,14,239.75,17.125,"gbd3",5377,891.761205132974,52.0736470150642
"8","Alameda","06001400300","2011-2015",69,8,158.11,19.76375,"gbd3",5377,588.097452110843,29.7563697228938
"9","Alameda","06001400300","2001-2005",69,5,114.82,22.964,"gbd3",5377,427.078296447833,18.5977310768086
"10","Alameda","06001400400","2011-2015",69,15,313.83,20.922,"gbd3",4105,1529.01339829476,73.0816077953715
"11","Alameda","06001400400","2001-2005",69,1,7.6,7.6,"gbd3",4105,37.0280146163216,4.8721071863581
"12","Alameda","06001400400","2006-2010",69,10,261.47,26.147,"gbd3",4105,1273.90986601705,48.721071863581
"13","Alameda","06001400500","2001-2005",69,4,76.18,19.045,"gbd3",3651,417.310325938099,21.9118049849356
"14","Alameda","06001400500","2006-2010",69,14,234.29,16.735,"gbd3",3651,1283.42919748014,76.6913174472747
"15","Alameda","06001400500","2011-2015",69,16,438.49,27.405625,"gbd3",3651,2402.02684196111,87.6472199397425
"16","Alameda","06001400600","2011-2015",69,4,68.88,17.22,"gbd3",1665,827.387387387387,48.048048048048
"17","Alameda","06001400600","2006-2010",69,2,39.59,19.795,"gbd3",1665,475.555555555556,24.024024024024
"18","Alameda","06001400600","2001-2005",69,3,85.25,28.4166666666667,"gbd3",1665,1024.02402402402,36.036036036036
"19","Alameda","06001400700","2006-2010",69,18,252.84,14.0466666666667,"gbd3",4544,1112.85211267606,79.2253521126761
"20","Alameda","06001400700","2011-2015",69,23,516.38,22.4513043478261,"gbd3",4544,2272.79929577465,101.232394366197
"21","Alameda","06001400700","2001-2005",69,6,142.14,23.69,"gbd3",4544,625.616197183099,26.4084507042254
"22","Alameda","06001400800","2006-2010",69,24,646.99,26.9579166666667,"gbd3",3527,3668.78366884037,136.092996881202
"23","Alameda","06001400800","2011-2015",69,24,478.13,19.9220833333333,"gbd3",3527,2711.25602495038,136.092996881202
"24","Alameda","06001400800","2001-2005",69,3,68.37,22.79,"gbd3",3527,387.694924865325,17.0116246101503
"25","Alameda","06001400900","2011-2015",69,15,354.93,23.662,"gbd3",2175,3263.72413793103,137.931034482759
"26","Alameda","06001400900","2001-2005",69,1,15.22,15.22,"gbd3",2175,139.954022988506,9.19540229885057
"27","Alameda","06001400900","2006-2010",69,15,353.89,23.5926666666667,"gbd3",2175,3254.16091954023,137.931034482759
"28","Alameda","06001401000","2006-2010",69,41,888.32,22.208,"gbd3",5987,2967.49624185736,136.963420744947
"29","Alameda","06001401000","2001-2005",69,10,197.29,19.729,"gbd3",5987,659.061299482211,33.4057123768164
"30","Alameda","06001401000","2011-2015",69,17,414.89,24.4052941176471,"gbd3",5987,1385.96960080174,56.7897110405879
"31","Alameda","06001401100","2006-2010",69,13,216.63,16.6638461538462,"gbd3",4210,1029.12114014252,61.7577197149644
"32","Alameda","06001401100","2011-2015",69,9,205.95,22.8833333333333,"gbd3",4210,978.384798099763,42.7553444180523
"33","Alameda","06001401100","2001-2005",69,3,32.8,10.9333333333333,"gbd3",4210,155.819477434679,14.2517814726841
"34","Alameda","06001401200","2006-2010",69,6,83.35,13.8916666666667,"gbd3",2496,667.86858974359,48.0769230769231
"35","Alameda","06001401200","2001-2005",69,3,60.29,20.0966666666667,"gbd3",2496,483.092948717949,24.0384615384615
"36","Alameda","06001401200","2011-2015",69,11,220.88,20.08,"gbd3",2496,1769.87179487179,88.1410256410256
"37","Alameda","06001401300","2001-2005",69,4,43.07,10.7675,"gbd3",4018,214.385266301643,19.9104031856645
"38","Alameda","06001401300","2006-2010",69,27,643.62,23.8377777777778,"gbd3",4018,3203.68342458935,134.395221503235
"39","Alameda","06001401300","2011-2015",69,29,629.13,21.6941379310345,"gbd3",4018,3131.55798904928,144.350423096068
"40","Alameda","06001401400","2006-2010",69,19,387.63,20.4015789473684,"gbd3",4190,1850.26252983294,90.6921241050119
"41","Alameda","06001401400","2001-2005",69,3,103.27,34.4233333333333,"gbd3",4190,492.935560859189,14.3198090692124
"42","Alameda","06001401400","2011-2015",69,17,353.2,20.7764705882353,"gbd3",4190,1685.91885441527,81.145584725537
"43","Alameda","06001401500","2006-2010",69,12,243,20.25,"gbd3",2213,2196.11387257117,108.450067781292
"44","Alameda","06001401500","2011-2015",69,10,151.8,15.18,"gbd3",2213,1371.89335743335,90.3750564844103
"45","Alameda","06001401500","2001-2005",69,4,103.62,25.905,"gbd3",2213,936.46633529146,36.1500225937641
"46","Alameda","06001401600","2001-2005",69,4,98.3,24.575,"gbd3",1966,1000,40.6917599186165
"47","Alameda","06001401600","2006-2010",69,8,206.06,25.7575,"gbd3",1966,2096.23601220753,81.383519837233
"48","Alameda","06001401600","2011-2015",69,5,90.03,18.006,"gbd3",1966,915.86978636826,50.8646998982706
"49","Alameda","06001401700","2006-2010",69,5,148.53,29.706,"gbd3",2806,1058.66001425517,35.6379187455453
"50","Alameda","06001401700","2001-2005",69,1,16.89,16.89,"gbd3",2806,120.384889522452,7.12758374910905
"51","Alameda","06001401700","2011-2015",69,10,155.45,15.545,"gbd3",2806,1107.982893799,71.2758374910905
"52","Alameda","06001401800","2001-2005",69,2,33.18,16.59,"gbd3",1947,340.832049306626,20.5444273240883
"53","Alameda","06001401800","2011-2015",69,10,226.77,22.677,"gbd3",1947,2329.42989214176,102.722136620442
"54","Alameda","06001401800","2006-2010",69,9,302.3,33.5888888888889,"gbd3",1947,3105.29019003595,92.4499229583975
"55","Alameda","06001402200","2011-2015",69,14,277.46,19.8185714285714,"gbd3",2452,2263.13213703099,114.192495921697
"56","Alameda","06001402200","2001-2005",69,1,5.6,5.6,"gbd3",2452,45.6769983686786,8.15660685154976
"57","Alameda","06001402200","2006-2010",69,10,109.89,10.989,"gbd3",2452,896.329526916803,81.5660685154975
"58","Alameda","06001402400","2006-2010",69,11,282.74,25.7036363636364,"gbd3",2958,1911.69709263016,74.3745774171738
"59","Alameda","06001402400","2001-2005",69,4,89.24,22.31,"gbd3",2958,603.380662609871,27.0453008789723
"60","Alameda","06001402400","2011-2015",69,10,323.08,32.308,"gbd3",2958,2184.44895199459,67.6132521974307
"61","Alameda","06001402500","2006-2010",69,11,280.4,25.4909090909091,"gbd3",1907,2940.74462506555,115.364446775039
"62","Alameda","06001402500","2001-2005",69,2,71.18,35.59,"gbd3",1907,746.5128474043,20.9753539590981
"63","Alameda","06001402500","2011-2015",69,10,285.82,28.582,"gbd3",1907,2997.5878342947,104.87676979549
"64","Alameda","06001402600","2006-2010",69,10,197.31,19.731,"gbd3",1234,3197.89303079417,162.074554294976
"65","Alameda","06001402600","2011-2015",69,7,129.96,18.5657142857143,"gbd3",1234,2106.3209076175,113.452188006483
"66","Alameda","06001402600","2001-2005",69,1,5.6,5.6,"gbd3",1234,90.7617504051864,16.2074554294976
"67","Alameda","06001402700","2006-2010",69,3,94.62,31.54,"gbd3",1831,1033.53358820317,32.7689787001638
