"","comID","yearG","sex","CAUSE","county","Ndeaths","YLL","m.YLL","mean.age","Level","pop","YLLper","YLLrateLCI","YLLrateUCI","cDeathRate","rateLCI","rateUCI","comName","oDeaths","aRate","aLCI","aUCI","YLL.adj.rate"
"1","1.1","2011-2015","Total","0","Alameda",1668,33420,20.04,75.17,"lev0",54830,12190,12060,12320,608.4,579.2,637.6,"Livermore Central and West/Spring Town",1668,643,612.3,675,12410
"2","1.2","2011-2015","Total","0","Alameda",893,18760,21.01,73.78,"lev0",38050,9862,9721,10000,469.3,438.6,500.1,"Altamont/Livermore East/Midway/Mountain House/Scotts Corner",908,561.2,524.2,600.2,10370
"3","10","2011-2015","Total","0","Butte",2766,58930,21.31,73.39,"lev0",48690,24210,24010,24400,1136,1094,1179,"Oroville/Palermo/Thermalito",2768,885.6,852.2,920.3,20560
"4","100","2011-2015","Total","0","Modoc",19,418.6,22.03,72.26,"lev0",2214,3781,3419,4144,171.6,94.46,248.8,"Adin/Lookout/Newell",45,368.1,265.3,509.6,7465
"5","102","2011-2015","Total","0","Mono",76,1518,19.98,74.55,"lev0",6002,5059,4805,5314,253.2,196.3,310.2,"Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker",107,309.4,251.4,380.3,6323
"6","103","2011-2015","Total","0","Mono",67,2022,30.17,63.66,"lev0",8215,4922,4707,5136,163.1,124.1,202.2,"Mammoth Lakes",67,442.7,307.8,626.2,7589
"7","104","2011-2015","Total","0","Monterey",20,350.2,17.51,77.7,"lev0",1303,5375,4812,5938,307,172.4,441.5,"Big Sur/Lucia",20,474.9,205.4,976.9,7233
"8","105","2011-2015","Total","0","Monterey",325,9174,28.23,66.07,"lev0",16310,11250,11020,11480,398.5,355.2,441.8,"King City/San Lucas",325,616.3,543.4,697.3,15110
"9","106","2011-2015","Total","0","Monterey",69,1824,26.43,67.49,"lev0",3566,10230,9760,10700,387,295.7,478.3,"Bradley/San Ardo",88,509,404.8,636.3,12810
"10","107","2011-2015","Total","0","Monterey",803,21350,26.59,67.87,"lev0",55280,7724,7620,7827,290.5,270.4,310.6,"Chualar/Gonzalez/Greenfield/Soledad",803,500,463.7,538.5,10540
"11","108","2011-2015","Total","0","Monterey",1456,32480,22.31,72.38,"lev0",54710,11870,11740,12000,532.3,504.9,559.6,"Carmel Valley/Castroville/Marina/Moss Landing/Ord",1456,595.5,564.6,627.9,12020
"12","109.1","2011-2015","Total","0","Monterey",895,20460,22.86,71.75,"lev0",42760,9570,9439,9702,418.6,391.2,446.1,"Aromas/Las Lomas/Pajaro/Prunedale",1047,548.2,514.8,583.2,11620
"13","109.2","2011-2015","Total","0","Monterey",3717,92770,24.96,69.74,"lev0",151900,12210,12130,12290,489.3,473.6,505,"Salinas/Spreckels",3717,717.9,694.4,742.2,15410
"14","11","2011-2015","Total","0","Butte",318,7655,24.07,69.92,"lev0",5000,30620,29930,31300,1272,1132,1412,"Berry Creek/Brownsville/Concow/Feather Falls/Forbestown",318,867.6,765.2,987.4,21940
"15","110","2011-2015","Total","0","Monterey",4096,66260,16.18,79.71,"lev0",94710,13990,13890,14100,865,838.5,891.5,"Carmel/Del Rey Oaks/Monterey/Pacific Grove/Sand City/Seaside",4096,503.8,487.7,520.5,10070
"16","111.1","2011-2015","Total","0","Napa",445,7269,16.34,79.72,"lev0",13880,10480,10240,10720,641.4,581.8,701,"Angwin/Deer Park/St. Helena",445,376.6,339.4,418.1,7889
"17","111.2","2011-2015","Total","0","Napa",227,3784,16.67,78.99,"lev0",6496,11650,11280,12020,698.9,608,789.8,"Calistoga",227,462.1,402.8,531.7,8432
"18","111.3","2011-2015","Total","0","Napa",44,1186,26.96,66.82,"lev0",1639,14480,13650,15300,536.9,378.3,695.6,"Berryessa",44,573.5,394.6,819.2,15860
"19","112.1","2011-2015","Total","0","Napa",2393,44860,18.75,76.57,"lev0",64290,13960,13830,14090,744.4,714.6,774.3,"Napa Central",2393,668.4,641.6,696.1,13010
