year,state,countyFIPS,zip,GEOID,stateFIPS,county
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,31,60304,17031813100,6,Kings
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,999,89145,32003003006,6,NA
2015,CA,999,89183,32003002845,6,NA
2015,CA,57,89048,32023960401,6,Nevada
2015,CA,999,20657,24009861003,6,NA
2015,CA,999,43616,39095009800,6,NA
2015,CA,999,85120,4021000308,6,NA
2015,CA,41,94940,17023060100,6,Marin
2015,CA,999,15213,42003040500,6,NA
2015,CA,999,60601,17031320100,6,NA
2015,CA,999,30327,13121010206,6,NA
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,57,89101,32003000522,6,Nevada
2015,CA,999,97013,41005022905,6,NA
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,999,5661,50015953500,6,NA
2015,CA,999,98006,53033024800,6,NA
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,999,11937,36103201001,6,NA
2015,CA,115,95901,26147637200,6,Yuba
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,57,89104,32003001502,6,Nevada
2015,CA,999,80202,8031001701,6,NA
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,7,57717,46019967700,6,Butte
2015,CA,999,33477,12099000406,6,NA
2015,CA,81,89015,32003005200,6,San Mateo
2015,CA,999,85120,4021000309,6,NA
2015,CA,999,48105,26161402300,6,NA
2015,CA,999,85268,4013216820,6,NA
2015,CA,999,97527,41033361100,6,NA
2015,CA,57,89081,32003003625,6,Nevada
2015,CA,999,89506,32031002615,6,NA
2015,CA,37,60153,17031817700,6,Los Angeles
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,999,98031,53033029408,6,NA
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,11,97544,41033361400,6,Colusa
2015,CA,999,89519,32031001013,6,NA
2015,CA,999,89029,32003005704,6,NA
2015,CA,999,89169,32003002501,6,NA
2015,CA,81,89011,32003005436,6,San Mateo
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,999,97415,41015950400,6,NA
2015,CA,999,89183,32003002843,6,NA
2015,CA,999,87002,35061971000,6,NA
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,999,46201,18097355300,6,NA
2015,CA,999,96818,15003007000,6,NA
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,999,30316,13089023700,6,NA
2015,CA,81,89002,32003005359,6,San Mateo
2015,CA,13,94801,48157674800,6,Contra Costa
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,999,89434,32031003101,6,NA
2015,CA,999,97128,41071030701,6,NA
2015,CA,999,52136,19191950100,6,NA
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,57,89102,32003001004,6,Nevada
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,37,84780,49053270801,6,Los Angeles
2015,CA,999,89130,32003003303,6,NA
2015,CA,999,85086,4013610300,6,NA
2015,CA,999,39452,28039950302,6,NA
2015,CA,999,74012,40143007518,6,NA
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,999,47220,18163010404,6,NA
2015,CA,999,8210,34009020700,6,NA
2015,CA,999,89705,32005002000,6,NA
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,999,98007,53033023201,6,NA
2015,CA,999,55734,27137013400,6,NA
2015,CA,87,95007,18047969700,6,Santa Cruz
2015,CA,57,89048,32023960405,6,Nevada
2015,CA,37,91367,6037930401,6,Los Angeles
2015,CA,37,91367,6037930401,6,Los Angeles
2014,CA,999,48101,26163576300,6,NA
2014,CA,999,96789,15003008907,6,NA
2014,CA,999,60611,17031081201,6,NA
2014,CA,999,98116,53033009702,6,NA
2014,CA,37,91363,6037930401,6,Los Angeles
2014,CA,999,60617,17031510300,6,NA
2014,CA,79,93465,19027960600,6,San Luis Obispo
2014,CA,999,89134,32003003211,6,NA
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,999,80219,8031004602,6,NA
2014,CA,81,89015,32003005432,6,San Mateo
2014,CA,999,83241,16029960100,6,NA
2014,CA,999,47303,18035001200,6,NA
2014,CA,999,77049,48201252200,6,NA
2014,CA,37,91607,1081041800,6,Los Angeles
2014,CA,999,79924,48141000109,6,NA
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,37,90805,36059416801,6,Los Angeles
2014,CA,37,90031,29159480200,6,Los Angeles
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,999,89130,32003003307,6,NA
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,105,96093,37021002702,6,Trinity
2014,CA,1,11373,36081027100,6,Alameda
2014,CA,999,97206,41051000702,6,NA
2014,CA,999,97209,41051005100,6,NA
2014,CA,999,97423,41011000900,6,NA
2014,CA,999,89030,32003004500,6,NA
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,59,32820,12095016601,6,Orange
2014,CA,999,86426,4015952003,6,NA
2014,CA,999,85342,4013040518,6,NA
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,115,95901,26147637200,6,Yuba
2014,CA,999,89156,32003007200,6,NA
2014,CA,999,49650,26019000100,6,NA
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,25,92251,29099700114,6,Imperial
2014,CA,999,89503,32031002401,6,NA
2014,CA,999,68801,31079000200,6,NA
2014,CA,21,46953,18053000800,6,Glenn
2014,CA,57,89506,32031002619,6,Nevada
2014,CA,999,7026,34003021400,6,NA
2014,CA,999,55987,27169670200,6,NA
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,59,92865,34013017400,6,Orange
2014,CA,999,86314,4025000500,6,NA
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,77,95206,19139050100,6,San Joaquin
2014,CA,999,98038,53033032002,6,NA
2014,CA,37,91364,6037930401,6,Los Angeles
2014,CA,999,3062,33011011000,6,NA
2014,CA,999,89406,32001950700,6,NA
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,81,89015,32003005432,6,San Mateo
2014,CA,999,97504,41029000601,6,NA
2014,CA,71,92346,17119403604,6,San Bernardino
2014,CA,999,7093,34003013001,6,NA
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,95,95420,17103000300,6,Solano
2014,CA,999,36693,1097003709,6,NA
2014,CA,999,33434,12099007010,6,NA
2014,CA,65,92503,34005700703,6,Riverside
2014,CA,87,95017,40081961600,6,Santa Cruz
2014,CA,999,89139,32003002985,6,NA
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,17,96150,32005001700,6,El Dorado
2014,CA,999,85346,4012020502,6,NA
2014,CA,999,85037,4013082009,6,NA
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,99,95319,8019014900,6,Stanislaus
2014,CA,999,97220,41051008100,6,NA
2014,CA,77,87402,35045000204,6,San Joaquin
2014,CA,999,89146,32003002947,6,NA
2014,CA,1,60126,17043843000,6,Alameda
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,37,91607,1017954700,6,Los Angeles
2014,CA,19,93612,35009000301,6,Fresno
2014,CA,999,85346,4012020502,6,NA
2014,CA,999,89130,32003003410,6,NA
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,999,89502,32031002211,6,NA
2014,CA,999,77082,48201452000,6,NA
2014,CA,63,29601,45045000700,6,Plumas
2014,CA,999,85022,4013103614,6,NA
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,99,95363,22101040700,6,Stanislaus
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,999,89148,32003005856,6,NA
2014,CA,999,89706,32510000900,6,NA
2014,CA,999,96732,15009031103,6,NA
2014,CA,999,57047,46125965100,6,NA
2014,CA,37,91367,6037930401,6,Los Angeles
2014,CA,999,60610,17031080100,6,NA
2013,CA,999,89115,32003004709,6,NA
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,999,89131,32003003318,6,NA
2013,CA,999,37764,47155080102,6,NA
2013,CA,999,2140,25017354900,6,NA
2013,CA,999,20147,51107611005,6,NA
2013,CA,999,68154,31055007405,6,NA
2013,CA,999,76501,48027020402,6,NA
2013,CA,63,21619,24035811000,6,Plumas
2013,CA,7,95965,53047970300,6,Butte
2013,CA,999,30126,13067031313,6,NA
2013,CA,999,98407,53053060300,6,NA
2013,CA,999,89523,32031001202,6,NA
2013,CA,999,60076,17031807200,6,NA
2013,CA,999,85359,4012020502,6,NA
2013,CA,37,91365,6037930401,6,Los Angeles
2013,CA,999,85006,4013111601,6,NA
2013,CA,999,78550,48061010100,6,NA
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,999,45356,39109315001,6,NA
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,999,11436,36081018401,6,NA
2013,CA,999,44460,39029950500,6,NA
2013,CA,999,89131,32003003310,6,NA
2013,CA,999,89122,32003001718,6,NA
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,999,89029,32003005702,6,NA
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,999,85375,4013040522,6,NA
2013,CA,999,89117,32003005808,6,NA
2013,CA,57,89107,32003000103,6,Nevada
2013,CA,7,27705,37135010901,6,Butte
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,999,97401,41039004501,6,NA
2013,CA,999,83716,16001010100,6,NA
2013,CA,29,86301,4025000401,6,Kern
2013,CA,999,14850,36109000500,6,NA
2013,CA,999,97507,41029000202,6,NA
2013,CA,999,96822,15003003101,6,NA
2013,CA,999,19343,42029301700,6,NA
2013,CA,999,96731,15003010100,6,NA
2013,CA,999,85051,4013105602,6,NA
2013,CA,999,77845,48041002011,6,NA
2013,CA,999,85118,4021000316,6,NA
2013,CA,999,86406,4015953200,6,NA
2013,CA,999,77362,48339690402,6,NA
2013,CA,999,97526,41033360701,6,NA
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,999,53216,55079004900,6,NA
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,999,77082,48201451700,6,NA
2013,CA,999,86440,4015955000,6,NA
2013,CA,999,89147,32003005848,6,NA
2013,CA,999,85704,4019004621,6,NA
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,57,89147,32003002950,6,Nevada
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,999,96744,15003010702,6,NA
2013,CA,999,89121,32003002201,6,NA
2013,CA,999,22101,51059470400,6,NA
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,999,28756,37149920200,6,NA
2013,CA,999,85705,4019004506,6,NA
2013,CA,999,89108,32003003420,6,NA
2013,CA,999,78240,48029181303,6,NA
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,73,91977,42029301100,6,San Diego
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,37,91364,6037930401,6,Los Angeles
2013,CA,999,83651,16027021002,6,NA
2013,CA,81,89105,32003005421,6,San Mateo
2013,CA,999,98045,53033032800,6,NA
2013,CA,999,30318,13121008301,6,NA
2013,CA,81,11377,36081025100,6,San Mateo
2013,CA,999,43021,39041011750,6,NA
2013,CA,999,89107,32003000109,6,NA
2013,CA,37,91367,6037930401,6,Los Angeles
2013,CA,999,86442,4015951502,6,NA
2013,CA,105,96093,37021002804,6,Trinity
2012,CA,57,89108,32003003413,6,Nevada
2012,CA,37,91367,6037930401,6,Los Angeles
2012,CA,999,89144,32003003250,6,NA
2012,CA,999,98226,53073000200,6,NA
2012,CA,57,89410,32005002500,6,Nevada
2012,CA,37,91367,6037930401,6,Los Angeles
2012,CA,999,97358,41043030200,6,NA
2012,CA,999,98665,53011041007,6,NA
2012,CA,999,11901,36103190401,6,NA
2012,CA,999,60610,17031080201,6,NA
2012,CA,37,91367,6037930401,6,Los Angeles
2012,CA,999,61615,17143003401,6,NA
2012,CA,27,85209,4013422642,6,Inyo
2012,CA,999,89106,32003003616,6,NA
2012,CA,999,80229,8001009002,6,NA
2012,CA,999,85032,4013103210,6,NA
2012,CA,999,89031,32003003640,6,NA
2012,CA,999,89110,32003000513,6,NA
2012,CA,999,89122,32003001718,6,NA
2012,CA,37,90802,53049950600,6,Los Angeles
2012,CA,999,95716,4019001802,6,NA
2012,CA,999,76541,48027022200,6,NA
2012,CA,37,91367,6037930401,6,Los Angeles
2012,CA,37,91367,6037930401,6,Los Angeles
2012,CA,999,60164,17031811701,6,NA
2012,CA,37,80215,8059010902,6,Los Angeles
2012,CA,37,91364,6037930401,6,Los Angeles
2012,CA,37,91367,6037930401,6,Los Angeles
2012,CA,37,91367,6037930401,6,Los Angeles
2012,CA,999,98382,53009002000,6,NA
2012,CA,105,96093,37021002702,6,Trinity
2012,CA,37,91364,6037930401,6,Los Angeles
2012,CA,999,86406,4015953300,6,NA
2012,CA,999,30004,13117130305,6,NA
2012,CA,999,74107,40143004600,6,NA
2012,CA,999,85616,4003001300,6,NA
2012,CA,999,52732,19045000600,6,NA
2012,CA,999,8022,34005701401,6,NA
2012,CA,999,14559,36055014901,6,NA
2012,CA,999,85375,4013040512,6,NA
2012,CA,75,94123,42007605100,6,San Francisco
2012,CA,999,78210,48029121204,6,NA
2012,CA,999,89107,32003002207,6,NA
2012,CA,77,95206,29039870300,6,San Joaquin
2012,CA,999,89156,32003006202,6,NA
2012,CA,999,89506,32031002617,6,NA
2012,CA,999,10033,36061026500,6,NA
2012,CA,73,92057,36059413100,6,San Diego
2012,CA,999,89183,32003002836,6,NA
2012,CA,37,91367,6037930401,6,Los Angeles
2012,CA,999,67846,20055960300,6,NA
2012,CA,37,91367,6037930401,6,Los Angeles
2012,CA,37,91367,6037930401,6,Los Angeles
2012,CA,999,83712,16001000701,6,NA
2012,CA,37,91367,6037930401,6,Los Angeles
2012,CA,61,68507,31109001001,6,Placer
2012,CA,999,53211,55079080300,6,NA
2012,CA,11,50271,19079960100,6,Colusa
2012,CA,999,89502,32031000700,6,NA
2012,CA,37,46208,18097351500,6,Los Angeles
2012,CA,999,66210,20091053101,6,NA
2012,CA,37,91367,6037930401,6,Los Angeles
2012,CA,999,98513,53067012330,6,NA
2012,CA,999,89108,32003003413,6,NA
2012,CA,999,96720,15001020600,6,NA
2012,CA,81,89015,32003005336,6,San Mateo
2012,CA,57,89144,32003003250,6,Nevada
2012,CA,37,91367,6037930401,6,Los Angeles
2012,CA,999,54141,55083101100,6,NA
2012,CA,999,79924,48141000206,6,NA
2012,CA,999,89502,32031002212,6,NA
2012,CA,37,91367,6037930401,6,Los Angeles
2012,CA,37,91367,6037930401,6,Los Angeles
2012,CA,999,55401,27053126100,6,NA
2012,CA,999,97124,41067032603,6,NA
2012,CA,999,84604,49049001504,6,NA
2012,CA,999,10027,36061020500,6,NA
2012,CA,37,91367,6037930401,6,Los Angeles
2011,CA,999,97420,41011000700,6,NA
2011,CA,999,28208,37119003902,6,NA
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,81,89014,32003005102,6,San Mateo
2011,CA,999,32561,12113010900,6,NA
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,27,85205,4013420705,6,Inyo
2011,CA,999,55106,27123034400,6,NA
2011,CA,57,89131,32003003320,6,Nevada
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,999,24153,51161030100,6,NA
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,57,89451,32031003309,6,Nevada
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,999,89130,32003003303,6,NA
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,999,98103,53033002700,6,NA
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,21,95988,38069956100,6,Glenn
2011,CA,999,89115,32003004712,6,NA
2011,CA,999,89122,32003005005,6,NA
2011,CA,999,89122,32003005012,6,NA
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,999,86442,4015951900,6,NA
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,999,98024,53033032601,6,NA
2011,CA,999,80907,8041000203,6,NA
2011,CA,57,89509,32031000400,6,Nevada
2011,CA,37,90267,17197883509,6,Los Angeles
2011,CA,57,89408,32019960101,6,Nevada
2011,CA,999,84078,49047968402,6,NA
2011,CA,999,85367,4027011112,6,NA
2011,CA,999,98282,53029971400,6,NA
2011,CA,37,97624,41035970200,6,Los Angeles
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,999,55804,27137000200,6,NA
2011,CA,999,98296,53061041608,6,NA
2011,CA,65,92503,34005700703,6,Riverside
2011,CA,65,92571,36121970600,6,Riverside
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,999,84119,49035113520,6,NA
2011,CA,57,89134,32003003211,6,Nevada
2011,CA,37,91506,53071920000,6,Los Angeles
2011,CA,999,80020,8014030600,6,NA
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,91,89439,32031002302,6,Sierra
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,999,98531,53041970100,6,NA
2011,CA,59,12550,36071000100,6,Orange
2011,CA,59,92660,37031970704,6,Orange
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,999,79707,48329010104,6,NA
2011,CA,999,89031,32003003637,6,NA
2011,CA,37,90022,48215024600,6,Los Angeles
2011,CA,999,97015,41005022103,6,NA
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,999,89141,32003005837,6,NA
2011,CA,999,99508,2020000801,6,NA
2011,CA,999,89110,32003000515,6,NA
2011,CA,999,85022,4013619200,6,NA
2011,CA,49,96115,19025950400,6,Modoc
2011,CA,999,38104,47157003200,6,NA
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,999,87410,35045000611,6,NA
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,37,91367,6037930401,6,Los Angeles
2011,CA,999,31528,13127000503,6,NA
2011,CA,999,84604,49049001504,6,NA
2011,CA,999,85743,4019004427,6,NA
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,113,97756,41017000700,6,Yolo
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,57,89145,32003003254,6,Nevada
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,999,89031,32003003634,6,NA
2010,CA,115,95901,53061052903,6,Yuba
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,999,85040,4013116000,6,NA
2010,CA,13,94520,51011040200,6,Contra Costa
2010,CA,999,86409,4015953900,6,NA
2010,CA,999,98034,53033022203,6,NA
2010,CA,999,89519,32031001103,6,NA
2010,CA,57,89030,32003004000,6,Nevada
2010,CA,109,95310,37177960100,6,Tuolumne
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,999,85334,4012020602,6,NA
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,999,85281,4013319101,6,NA
2010,CA,999,89131,32003003310,6,NA
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,999,7093,34017015001,6,NA
2010,CA,81,89052,32003005347,6,San Mateo
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,999,98022,53033031302,6,NA
2010,CA,57,89701,32510000100,6,Nevada
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,999,11779,36103145808,6,NA
2010,CA,999,96817,15003005800,6,NA
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,999,79849,48141010406,6,NA
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,999,98249,53029971800,6,NA
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,999,89142,32003004912,6,NA
2010,CA,99,95319,8019014900,6,Stanislaus
2010,CA,37,91307,6037930401,6,Los Angeles
2010,CA,999,89145,32003003005,6,NA
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,37,90292,17119400700,6,Los Angeles
2010,CA,999,89447,32019960900,6,NA
2010,CA,999,89117,32003005805,6,NA
2010,CA,999,96821,15003000200,6,NA
2010,CA,999,89460,32005001100,6,NA
2010,CA,37,91367,6037930401,6,Los Angeles
2010,CA,999,85375,4013040522,6,NA
2010,CA,999,89141,32003005839,6,NA
2010,CA,999,97501,41029000700,6,NA
2009,CA,999,89108,32003003428,6,NA
2009,CA,37,91367,6037930401,6,Los Angeles
2009,CA,37,91367,6037930401,6,Los Angeles
2009,CA,37,91367,6037930401,6,Los Angeles
2009,CA,37,91364,6037930401,6,Los Angeles
2009,CA,999,96815,15003001901,6,NA
2009,CA,57,89701,32510001001,6,Nevada
2009,CA,999,48035,26099241900,6,NA
2009,CA,999,74604,40071000202,6,NA
2009,CA,37,91367,6037930401,6,Los Angeles
2009,CA,37,91367,6037930401,6,Los Angeles
2009,CA,37,91367,6037930401,6,Los Angeles
2009,CA,37,91367,6037930401,6,Los Angeles
2009,CA,999,89108,32003003422,6,NA
2009,CA,59,32751,12095015602,6,Orange
2009,CA,37,91367,6037930401,6,Los Angeles
2009,CA,1,94609,24023000500,6,Alameda
2009,CA,999,97415,41015950400,6,NA
2009,CA,999,27048,37157040602,6,NA
2009,CA,999,60611,17031081300,6,NA
2009,CA,37,91367,6037930401,6,Los Angeles
2009,CA,19,93612,35009000400,6,Fresno
2009,CA,999,89142,32003004912,6,NA
