"","GEOID","moe","label","yearG","comID","county","pop"
"361","06001990000",12,"Total","2011-2015",NA,NA,0
"645","06013990000",12,"Total","2011-2015",NA,NA,0
"653","06015990000",12,"Total","2011-2015",NA,NA,0
"696","06017990000",12,"Total","2011-2015",NA,NA,0
"932","06023990100",12,"Total","2011-2015",NA,NA,0
"3515","06037990100",12,"Total","2011-2015",NA,NA,0
"3516","06037990200",12,"Total","2011-2015",NA,NA,0
"3517","06037990300",12,"Total","2011-2015",NA,NA,0
"3596","06041990100",12,"Total","2011-2015",NA,NA,0
"3623","06045990100",12,"Total","2011-2015",NA,NA,0
"3773","06053990000",12,"Total","2011-2015",NA,NA,0
"4416","06059990100",12,"Total","2011-2015",NA,NA,0
"4501","06061990000",12,"Total","2011-2015",NA,NA,0
"6286","06073990100",12,"Total","2011-2015",NA,NA,0
"6483","06075990100",12,"Total","2011-2015",NA,NA,0
"6676","06079990000",12,"Total","2011-2015",NA,NA,0
"6834","06081990100",12,"Total","2011-2015",NA,NA,0
"6924","06083990000",12,"Total","2011-2015",NA,NA,0
"7349","06087990100",12,"Total","2011-2015",NA,NA,0
"7608","06097990100",12,"Total","2011-2015",NA,NA,0
"8002","06111990100",12,"Total","2011-2015",NA,NA,0
