MSSA_ID,changeCode,changeSystem,adjustedID,adjustedID2,adjustedMSSA_NAME,CNTY_FIPS,COUNTY,MSSA_NAME,DEFINITION,POPDENSITY,AREA_SQMI,POP,POP_CIV
1.1,0,1.1,1.1,1.1,Livermore Central and West/Spring Town,1,Alameda,Livermore Central and West/Spring Town,Urban,1657.610562,31.352961,51971,51731
1.2,0,1.2,1.2,1.2,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,1,Alameda,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,Rural,111.10332,326.470891,36272,36228
2a,0,2a,2a,2a,Berkeley South and West/Emeryville/Oakland Northwest,1,Alameda,Berkeley South and West/Emeryville/Oakland Northwest,Urban,7246.479672,11.67215,84582,73765
2b,0,2b,2b,2b,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,1,Alameda,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,Urban,7095.027191,14.948216,106058,104466
2c,0,2c,2c,2c,Oakland West Central,1,Alameda,Oakland West Central,Urban,7859.963359,9.953863,78237,76915
2d,0,2d,2d,2d,Fruitvale/Melrose/Oakland Airport,1,Alameda,Fruitvale/Melrose/Oakland Airport,Urban,6426.660195,19.90863,127946,126849
2e,0,2e,2e,2e,Alameda/Jack London Square/Oakland Inner Harbor,1,Alameda,Alameda/Jack London Square/Oakland Inner Harbor,Urban,4145.275764,16.137647,66895,66228
2f,0,2f,2f,2f,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,1,Alameda,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,1062.89155,94.625834,100577,99039
2g,0,2g,2g,2g,San Leandro West/San Lorenzo West/Hayward West,1,Alameda,San Leandro West/San Lorenzo West/Hayward West,Urban,2528.508067,37.486137,94784,94258
2h,0,2h,2h,2h,Ashland/Brookfield Village/Castro Valley South/Elmhurst/Hayward Northeast/San Leandro North Central/San Lorenzo East,1,Alameda,Ashland/Brookfield Village/Castro Valley South/Elmhurst/Hayward Northeast/San Leandro North Central/San Lorenzo East,Urban,9853.839947,10.68487,105287,104062
2i,0,2i,2i,2i,Fremont South/Mission San Jose/Newark South/Warm Springs,1,Alameda,Fremont South/Mission San Jose/Newark South/Warm Springs,Urban,1319.889319,67.626882,89260,88393
2j,0,2j,2j,2j,Centerville/Fremont West/Irvington/Newark East Central,1,Alameda,Centerville/Fremont West/Irvington/Newark East Central,Urban,9829.183167,8.645581,84979,84306
2k,0,2k,2k,2k,Dublin/Pleasanton/Santa Rita/Sunol,1,Alameda,Dublin/Pleasanton/Santa Rita/Sunol,Urban,1723.370579,61.053032,105217,99129
2l,0,2l,2l,2l,Fremont East/Niles/Union City Central,1,Alameda,Fremont East/Niles/Union City Central,Urban,4394.826707,25.621715,112603,111763
2m,0,2m,2m,2m,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,1,Alameda,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,6827.28128,17.241709,117714,116000
2n,0,2n,2n,2n,Hayward Central,1,Alameda,Hayward Central,Urban,8187.484226,14.118866,115598,114392
3,2,"3,4,5,6",4plusALPINE,4plus,Alpine Village/Bear Valley/Kirkwood/Markleeville/Mesa Valley/Woodfords/Ione/Jackson/Pine Grove/Sutter Creek/Plymouth/Pioneer,3,Alpine,Alpine Village/Bear Valley/Kirkwood/Markleeville/Mesa Valley/Woodfords,Frontier,1.582376,743.185778,1176,1176
