year,county,Ndeaths,GEOID
2005,NA,1,4013061045
2005,Los Angeles,1,4013092311
2005,Inyo,1,4013422615
2005,Inyo,1,4013422633
2005,Los Angeles,1,4019004715
2005,Alameda,21,6001400100
2005,Alameda,16,6001400200
2005,Alameda,26,6001400300
2005,Alameda,14,6001400400
2005,Alameda,32,6001400500
2005,Alameda,19,6001400600
2005,Alameda,59,6001400700
2005,Alameda,32,6001400800
2005,Alameda,23,6001400900
2005,Alameda,62,6001401000
2005,Alameda,24,6001401100
2005,Alameda,14,6001401200
2005,Alameda,43,6001401300
2005,Alameda,29,6001401400
2005,Alameda,35,6001401500
2005,Alameda,19,6001401600
2005,Alameda,12,6001401700
2005,Alameda,13,6001401800
2005,Alameda,12,6001402200
2005,Alameda,28,6001402400
2005,Alameda,23,6001402500
2005,Alameda,10,6001402600
2005,Alameda,16,6001402700
2005,Alameda,31,6001402800
2005,Alameda,17,6001402900
2005,Alameda,34,6001403000
2005,Alameda,8,6001403100
2005,Alameda,18,6001403300
2005,Alameda,45,6001403400
2005,Alameda,42,6001403501
2005,Alameda,10,6001403502
2005,Alameda,24,6001403600
2005,Alameda,32,6001403701
2005,Alameda,23,6001403702
2005,Alameda,13,6001403800
2005,Alameda,21,6001403900
2005,Alameda,11,6001404000
2005,Alameda,27,6001404101
2005,Alameda,51,6001404102
2005,Alameda,13,6001404200
2005,Alameda,33,6001404300
2005,Alameda,18,6001404400
2005,Alameda,16,6001404501
2005,Alameda,27,6001404502
2005,Alameda,26,6001404600
2005,Alameda,13,6001404700
2005,Alameda,23,6001404800
2005,Alameda,23,6001404900
2005,Alameda,21,6001405000
2005,Alameda,25,6001405100
2005,Alameda,22,6001405200
2005,Alameda,11,6001405301
2005,Alameda,14,6001405302
2005,Alameda,19,6001405401
2005,Alameda,22,6001405402
2005,Alameda,17,6001405500
2005,Alameda,15,6001405600
2005,Alameda,17,6001405700
2005,Alameda,28,6001405800
2005,Alameda,19,6001405901
2005,Alameda,26,6001405902
2005,Alameda,23,6001406000
2005,Alameda,25,6001406100
2005,Alameda,25,6001406201
2005,Alameda,25,6001406202
2005,Alameda,25,6001406300
2005,Alameda,71,6001406400
2005,Alameda,26,6001406500
2005,Alameda,28,6001406601
2005,Alameda,11,6001406602
2005,Alameda,40,6001406700
2005,Alameda,26,6001406800
2005,Alameda,27,6001406900
2005,Alameda,44,6001407000
2005,Alameda,19,6001407101
2005,Alameda,30,6001407102
2005,Alameda,51,6001407200
2005,Alameda,12,6001407300
2005,Alameda,25,6001407400
2005,Alameda,37,6001407500
2005,Alameda,33,6001407600
2005,Alameda,37,6001407700
2005,Alameda,17,6001407800
