Name,Label,Concept,Required,Attributes,Limit,Predicate Type,Group,Valid Value
B01001_001E,Estimate!!Total,SEX BY AGE,not required,"B01001_001M,B01001_001MA,B01001_001EA",0,(not a predicate),B01001,N/A
B01001_002E,Estimate!!Total!!Male,SEX BY AGE,not required,"B01001_002M,B01001_002MA,B01001_002EA",0,int,B01001,N/A
B01001_003E,Estimate!!Total!!Male!!Under 5 years,SEX BY AGE,not required,"B01001_003M,B01001_003MA,B01001_003EA",0,int,B01001,N/A
B01001_004E,Estimate!!Total!!Male!!5 to 9 years,SEX BY AGE,not required,"B01001_004M,B01001_004MA,B01001_004EA",0,int,B01001,N/A
B01001_005E,Estimate!!Total!!Male!!10 to 14 years,SEX BY AGE,not required,"B01001_005M,B01001_005MA,B01001_005EA",0,int,B01001,N/A
B01001_006E,Estimate!!Total!!Male!!15 to 17 years,SEX BY AGE,not required,"B01001_006M,B01001_006MA,B01001_006EA",0,int,B01001,N/A
B01001_007E,Estimate!!Total!!Male!!18 and 19 years,SEX BY AGE,not required,"B01001_007M,B01001_007MA,B01001_007EA",0,int,B01001,N/A
B01001_008E,Estimate!!Total!!Male!!20 years,SEX BY AGE,not required,"B01001_008M,B01001_008MA,B01001_008EA",0,int,B01001,N/A
B01001_009E,Estimate!!Total!!Male!!21 years,SEX BY AGE,not required,"B01001_009M,B01001_009MA,B01001_009EA",0,int,B01001,N/A
B01001_010E,Estimate!!Total!!Male!!22 to 24 years,SEX BY AGE,not required,"B01001_010M,B01001_010MA,B01001_010EA",0,int,B01001,N/A
B01001_011E,Estimate!!Total!!Male!!25 to 29 years,SEX BY AGE,not required,"B01001_011M,B01001_011MA,B01001_011EA",0,int,B01001,N/A
B01001_012E,Estimate!!Total!!Male!!30 to 34 years,SEX BY AGE,not required,"B01001_012M,B01001_012MA,B01001_012EA",0,int,B01001,N/A
B01001_013E,Estimate!!Total!!Male!!35 to 39 years,SEX BY AGE,not required,"B01001_013M,B01001_013MA,B01001_013EA",0,int,B01001,N/A
B01001_014E,Estimate!!Total!!Male!!40 to 44 years,SEX BY AGE,not required,"B01001_014M,B01001_014MA,B01001_014EA",0,int,B01001,N/A
B01001_015E,Estimate!!Total!!Male!!45 to 49 years,SEX BY AGE,not required,"B01001_015M,B01001_015MA,B01001_015EA",0,int,B01001,N/A
B01001_016E,Estimate!!Total!!Male!!50 to 54 years,SEX BY AGE,not required,"B01001_016M,B01001_016MA,B01001_016EA",0,int,B01001,N/A
B01001_017E,Estimate!!Total!!Male!!55 to 59 years,SEX BY AGE,not required,"B01001_017M,B01001_017MA,B01001_017EA",0,int,B01001,N/A
B01001_018E,Estimate!!Total!!Male!!60 and 61 years,SEX BY AGE,not required,"B01001_018M,B01001_018MA,B01001_018EA",0,int,B01001,N/A
B01001_019E,Estimate!!Total!!Male!!62 to 64 years,SEX BY AGE,not required,"B01001_019M,B01001_019MA,B01001_019EA",0,int,B01001,N/A
B01001_020E,Estimate!!Total!!Male!!65 and 66 years,SEX BY AGE,not required,"B01001_020M,B01001_020MA,B01001_020EA",0,int,B01001,N/A
B01001_021E,Estimate!!Total!!Male!!67 to 69 years,SEX BY AGE,not required,"B01001_021M,B01001_021MA,B01001_021EA",0,int,B01001,N/A
B01001_022E,Estimate!!Total!!Male!!70 to 74 years,SEX BY AGE,not required,"B01001_022M,B01001_022MA,B01001_022EA",0,int,B01001,N/A
B01001_023E,Estimate!!Total!!Male!!75 to 79 years,SEX BY AGE,not required,"B01001_023M,B01001_023MA,B01001_023EA",0,int,B01001,N/A
B01001_024E,Estimate!!Total!!Male!!80 to 84 years,SEX BY AGE,not required,"B01001_024M,B01001_024MA,B01001_024EA",0,int,B01001,N/A
B01001_025E,Estimate!!Total!!Male!!85 years and over,SEX BY AGE,not required,"B01001_025M,B01001_025MA,B01001_025EA",0,int,B01001,N/A
B01001_026E,Estimate!!Total!!Female,SEX BY AGE,not required,"B01001_026M,B01001_026MA,B01001_026EA",0,int,B01001,N/A
B01001_027E,Estimate!!Total!!Female!!Under 5 years,SEX BY AGE,not required,"B01001_027M,B01001_027MA,B01001_027EA",0,int,B01001,N/A
B01001_028E,Estimate!!Total!!Female!!5 to 9 years,SEX BY AGE,not required,"B01001_028M,B01001_028MA,B01001_028EA",0,int,B01001,N/A
B01001_029E,Estimate!!Total!!Female!!10 to 14 years,SEX BY AGE,not required,"B01001_029M,B01001_029MA,B01001_029EA",0,int,B01001,N/A
B01001_030E,Estimate!!Total!!Female!!15 to 17 years,SEX BY AGE,not required,"B01001_030M,B01001_030MA,B01001_030EA",0,int,B01001,N/A
B01001_031E,Estimate!!Total!!Female!!18 and 19 years,SEX BY AGE,not required,"B01001_031M,B01001_031MA,B01001_031EA",0,int,B01001,N/A
B01001_032E,Estimate!!Total!!Female!!20 years,SEX BY AGE,not required,"B01001_032M,B01001_032MA,B01001_032EA",0,int,B01001,N/A
B01001_033E,Estimate!!Total!!Female!!21 years,SEX BY AGE,not required,"B01001_033M,B01001_033MA,B01001_033EA",0,int,B01001,N/A
B01001_034E,Estimate!!Total!!Female!!22 to 24 years,SEX BY AGE,not required,"B01001_034M,B01001_034MA,B01001_034EA",0,int,B01001,N/A
B01001_035E,Estimate!!Total!!Female!!25 to 29 years,SEX BY AGE,not required,"B01001_035M,B01001_035MA,B01001_035EA",0,int,B01001,N/A
B01001_036E,Estimate!!Total!!Female!!30 to 34 years,SEX BY AGE,not required,"B01001_036M,B01001_036MA,B01001_036EA",0,int,B01001,N/A
B01001_037E,Estimate!!Total!!Female!!35 to 39 years,SEX BY AGE,not required,"B01001_037M,B01001_037MA,B01001_037EA",0,int,B01001,N/A
